qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVol1.0.SUPER__1,242898603,146965902,146994975,-,mMyoOcc1.0.SUPER__1,232672419,96020768,96050000,8075532,9339872,7,144200000_153539872_89662422_98733134
mMyoVol1.0.SUPER__1,242898603,200580000,200970000,-,mMyoOcc1.0.SUPER__1,232672419,42755855,43117921,320625,390000,6,200580000_200970000_42755855_43117921
mMyoVol1.0.SUPER__1,242898603,153729550,153816963,+,mMyoOcc1.0.SUPER__1,232672419,89540000,89586771,560314,727576,5,153705000_154395000_88859195_89586771
mMyoVol1.0.SUPER__1,242898603,103006516,103200426,-,mMyoOcc1.0.SUPER__1,232672419,131596448,131780000,3897207,4862464,5,103006384_107868848_127187056_131780100
mMyoVol1.0.SUPER__3,218117916,150977421,151125000,-,mMyoOcc1.0.SUPER__2,212937769,65891026,66039744,131193,153615,6,150973960_151125000_65891026_66044641
mMyoVol1.0.SUPER__3,218117916,186640091,186810000,-,mMyoOcc1.0.SUPER__2,212937769,30819504,30979616,155079,180000,7,186630000_186810000_30819504_30989560
mMyoVol1.0.SUPER__3,218117916,113000896,113792836,-,mMyoOcc1.0.SUPER__2,212937769,101895000,102749744,710392,876163,6,112995000_113793464_101894368_102770531
mMyoVol1.0.SUPER__3,218117916,111781170,111869012,-,mMyoOcc1.0.SUPER__2,212937769,103820145,103910000,81140,90495,8,111781040_111869616_103819541_103910036
mMyoVol1.0.SUPER__1,242898603,241710167,242893995,-,mMyoOcc1.0.SUPER__1,232672419,1773582,2910000,26251742,29571712,8,213322283_242893995_1773582_30795536
mMyoVol1.0.SUPER__1,242898603,4048869,5276384,-,mMyoOcc1.0.SUPER__1,232672419,227616096,228779360,1068653,1270000,6,4015000_5285000_227595866_228817971
mMyoVol1.0.SUPER__3,218117916,112200000,112848592,-,mMyoOcc1.0.SUPER__2,212937769,102772633,103379698,480974,648592,4,112200000_112848592_102772633_103379698
mMyoVol1.0.SUPER__3,218117916,78486596,78541170,-,mMyoOcc1.0.SUPER__2,212937769,135990000,136040000,5966631,7084800,6,76080200_83165000_131533275_138444360
mMyoVol1.0.SUPER__3,218117916,216966822,218040000,-,mMyoOcc1.0.SUPER__2,212937769,81896,1124616,10271489,11639808,8,206400192_218040000_81896_11336851
mMyoVol1.0.SUPER__3,218117916,83858332,84561222,-,mMyoOcc1.0.SUPER__2,212937769,129900560,130569872,550212,715000,5,83850000_84565000_129899689_130585823
mMyoVol1.0.SUPER__2,219449921,159470645,159678834,+,mMyoOcc1.0.SUPER__3,212757328,58795896,58983160,184057,235000,6,159460000_159695000_58784258_58989905
mMyoVol1.0.SUPER__1,242898603,1225000,2610000,-,mMyoOcc1.0.SUPER__1,232672419,229600103,230948228,1154095,1385000,6,1225000_2610000_229600103_230948228
mMyoVol1.0.SUPER__3,218117916,84650000,84694938,+,mMyoOcc1.0.SUPER__2,212937769,130860253,130894155,29953,45000,4,84650000_84695000_130860253_130894155
mMyoVol1.0.SUPER__3,218117916,107411902,108110886,-,mMyoOcc1.0.SUPER__2,212937769,107395000,108074872,561257,701440,5,107411128_108112568_107393371_108075646
