qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVol1.0.SUPER__1,242898603,155667844,155692310,-,mMyoEvo1.0.SUPER__1,230788764,141370000,141395000,35130,41260,7,155655320_155694744_141367343_141408603
mMyoVol1.0.SUPER__1,242898603,66042838,66082349,-,mMyoEvo1.0.SUPER__1,230788764,64470200,64512312,38472,43619,8,66042632_66083848_64468725_64512344
mMyoVol1.0.SUPER__1,242898603,77795438,77823400,+,mMyoEvo1.0.SUPER__1,230788764,76178850,76205000,85596,119200,4,77750256_77865000_76178850_76298050
mMyoVol1.0.SUPER__3,218117916,117886120,117928626,-,mMyoEvo1.0.SUPER__2,217004436,116680000,116719744,38511,44104,8,117885000_117929104_116679797_116720863
mMyoVol1.0.SUPER__3,218117916,150445982,150638464,+,mMyoEvo1.0.SUPER__2,217004436,148685768,148860000,202301,278784,5,150360384_150639168_148618434_148860731
mMyoVol1.0.SUPER__1,242898603,131831437,131871702,+,mMyoEvo1.0.SUPER__1,230788764,127539472,127580000,48337,70782,5,131825000_131880000_127518031_127588813
mMyoVol1.0.SUPER__1,242898603,108031792,108245000,+,mMyoEvo1.0.SUPER__1,230788764,106948048,107154237,163410,213208,5,108031792_108245000_106948048_107154237
mMyoVol1.0.SUPER__3,218117916,111873349,111908677,+,mMyoEvo1.0.SUPER__2,217004436,110975000,111012760,33778,40186,7,111870896_111908784_110972633_111012819
mMyoVol1.0.SUPER__1,242898603,107765000,108024511,+,mMyoEvo1.0.SUPER__1,230788764,106612122,106872784,193811,262739,4,107765000_108025000_106612122_106874861
mMyoVol1.0.SUPER__1,242898603,108265213,108477822,+,mMyoEvo1.0.SUPER__1,230788764,107231980,107405000,109953,213248,2,108265128_108478376_107231980_107405553
mMyoVol1.0.SUPER__1,242898603,107270564,107698862,+,mMyoEvo1.0.SUPER__1,230788764,106180512,106610000,335134,430737,5,107270512_107700000_106180394_106611131
mMyoVol1.0.SUPER__1,242898603,2951092,3548129,+,mMyoEvo1.0.SUPER__1,230788764,2375000,2965000,570168,669616,6,2915384_3585000_2343785_2999784
mMyoVol1.0.SUPER__3,218117916,84265000,84561244,+,mMyoEvo1.0.SUPER__2,217004436,83813785,84148368,243747,335515,4,84265000_84565000_83813785_84149300
mMyoVol1.0.SUPER__1,242898603,77466280,77639720,+,mMyoEvo1.0.SUPER__1,230788764,75955953,76147174,106370,191221,2,77466280_77639720_75955953_76147174
mMyoVol1.0.SUPER__3,218117916,57890256,58316880,+,mMyoEvo1.0.SUPER__2,217004436,57445439,57827033,298970,426624,4,57890256_58316880_57445439_57827033
mMyoVol1.0.SUPER__2,219449921,105524893,105585000,+,mMyoEvo1.0.SUPER__3,215147351,104225000,104285136,45721,60904,4,105524096_105585000_104224300_104285136
mMyoVol1.0.SUPER__1,242898603,109168840,109924680,+,mMyoEvo1.0.SUPER__1,230788764,107566280,108382548,622590,816268,5,109168840_109924680_107566280_108382548
mMyoVol1.0.SUPER__2,219449921,106730256,107078299,+,mMyoEvo1.0.SUPER__3,215147351,105519023,105875000,285522,357165,5,106730256_107079056_105519023_105876188
mMyoVol1.0.SUPER__3,218117916,112252753,113109286,+,mMyoEvo1.0.SUPER__2,217004436,111110256,111915000,4496416,5632384,5,112252360_117884744_111109863_116677628
mMyoVol1.0.SUPER__1,242898603,106131119,107177606,+,mMyoEvo1.0.SUPER__1,230788764,105090000,106170000,843821,1081694,5,106130128_107178320_105089020_106170714
mMyoVol1.0.SUPER__3,218117916,216990000,218040000,+,mMyoEvo1.0.SUPER__2,217004436,215855998,216908131,903312,1052133,6,216990000_218040000_215855998_216908131
mMyoVol1.0.SUPER__1,242898603,137695869,139490552,-,mMyoEvo1.0.SUPER__1,230788764,127975501,129720000,1527442,1795328,6,137695224_139490552_127975501_129720667
mMyoVol1.0.SUPER__2,219449921,99146065,99314889,+,mMyoEvo1.0.SUPER__3,215147351,98245000,98400000,582120,755492,5,98610000_99317200_97646820_98402312
mMyoVol1.0.SUPER__2,219449921,105691888,106668549,+,mMyoEvo1.0.SUPER__3,215147351,104425694,105513896,757577,1089654,4,105691792_106670000_104425694_105515348
mMyoVol1.0.SUPER__2,219449921,24378381,24491585,+,mMyoEvo1.0.SUPER__3,215147351,24330256,24448528,35599597,40223872,7,50512_40274384_46241_40249094
mMyoVol1.0.SUPER__2,219449921,100620000,102495328,+,mMyoEvo1.0.SUPER__3,215147351,99638551,101463513,1525920,1875328,5,100620000_102495328_99638551_101463513
mMyoVol1.0.SUPER__2,219449921,70850208,70900000,-,mMyoEvo1.0.SUPER__3,215147351,70424982,70479325,44439,54343,6,70850208_70900000_70424982_70479325
mMyoVol1.0.SUPER__2,219449921,102895000,103967328,+,mMyoEvo1.0.SUPER__3,215147351,101650557,102852512,818063,1201959,4,102895000_103967384_101650557_102852516
mMyoVol1.0.SUPER__2,219449921,80672133,80806513,-,mMyoEvo1.0.SUPER__3,215147351,80025256,80160680,118536,140976,6,80670000_80810000_80021816_80162792
mMyoVol1.0.SUPER__2,219449921,40410602,41737744,+,mMyoEvo1.0.SUPER__3,215147351,40255512,41566330,1178763,1327488,8,40410256_41737744_40255106_41566330
mMyoVol1.0.SUPER__3,218117916,106910000,108114224,+,mMyoEvo1.0.SUPER__2,217004436,105930709,107148731,940078,1218022,4,106910000_108114224_105930709_107148731
mMyoVol1.0.SUPER__2,219449921,84752677,84857504,+,mMyoEvo1.0.SUPER__3,215147351,83965288,84074392,88725,109104,6,84752560_84857520_83965288_84074392
mMyoVol1.0.SUPER__2,219449921,99415504,100617565,+,mMyoEvo1.0.SUPER__3,215147351,98411920,99585000,897197,1212416,4,99406536_100618952_98403961_99586363
mMyoVol1.0.SUPER__4,121843818,89930676,90497824,-,mMyoEvo1.0.SUPER__4,126131752,34092808,34694104,428003,601346,4,89930656_90497824_34092808_34694154
mMyoVol1.0.SUPER__2,219449921,96591861,98389879,+,mMyoEvo1.0.SUPER__3,215147351,95715640,97475000,1417761,1798976,5,96591024_98390000_95714817_97475121
mMyoVol1.0.SUPER__4,121843818,97406294,97955000,-,mMyoEvo1.0.SUPER__4,126131752,26901237,27415000,416882,550000,5,97405000_97955000_26901237_27416295
