"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoCai1.0.SUPER__1",234393516,232253745,232844678,"-","mMyoYum1.0.SCAF__1",240344003,65000,675000,7470,775000,13,"SUPER__1 95.0009","65000 675000 232253745 232844678"
"mMyoCai1.0.SUPER__1",234393516,233256777,234393409,"+","mMyoYum1.0.SCAF__1",240344003,695000,1815000,10923,1158516,13,"SUPER__1 94.6133","695000 1815000 233256777 234393409"
"mMyoCai1.0.SUPER__1",234393516,231575386,231683640,"+","mMyoYum1.0.SCAF__1",240344003,3022160,3125000,1065,110000,11,"SUPER__1 91.4832","3022160 3125000 231575386 231683640"
"mMyoCai1.0.SUPER__1",234393516,230502405,231574160,"-","mMyoYum1.0.SCAF__1",240344003,3135000,4225000,10913,1161093,13,"SUPER__1 94.7183","3135000 4225000 230502405 231574160"
"mMyoCai1.0.SUPER__1",234393516,225075000,230280000,"-","mMyoYum1.0.SCAF__1",240344003,4371935,9557424,50777,5205000,14,"SUPER__1 96.008","4371935 9557424 225075000 230280000"
"mMyoCai1.0.SUPER__1",234393516,191321813,222795000,"-","mMyoYum1.0.SCAF__1",240344003,18266192,49520000,289719,31475000,15,"SUPER__1 96.5725","18266192 49520000 191321813 222795000"
"mMyoCai1.0.SUPER__1",234393516,158860000,189902638,"-","mMyoYum1.0.SCAF__1",240344003,49520000,80244076,297333,31045000,15,"SUPER__1 96.5285","49520000 80244076 158860000 189902638"
"mMyoCai1.0.SUPER__1",234393516,157040509,158134153,"-","mMyoYum1.0.SCAF__1",240344003,80685000,81735000,11896,1225000,14,"SUPER__1 95.793","80685000 81735000 157040509 158134153"
"mMyoCai1.0.SUPER__1",234393516,154915369,157135000,"-","mMyoYum1.0.SCAF__1",240344003,81761766,84015000,21811,2253562,14,"SUPER__1 96.2366","81761766 84015000 154915369 157135000"
"mMyoCai1.0.SUPER__1",234393516,133135170,154585000,"-","mMyoYum1.0.SCAF__1",240344003,84465711,106000000,208595,21548219,14,"SUPER__1 96.3854","84465711 106000000 133135170 154585000"
"mMyoCai1.0.SUPER__1",234393516,131055000,131500374,"-","mMyoYum1.0.SCAF__1",240344003,106005000,106484652,4653,483621,13,"SUPER__1 94.539","106005000 106484652 131055000 131500374"
"mMyoCai1.0.SUPER__1",234393516,127790000,131055000,"-","mMyoYum1.0.SCAF__1",240344003,106538515,109838257,32055,3299742,14,"SUPER__1 96.3539","106538515 109838257 127790000 131055000"
"mMyoCai1.0.SUPER__1",234393516,126935000,127778372,"-","mMyoYum1.0.SCAF__1",240344003,109900000,110627438,8121,845000,13,"SUPER__1 95.4886","109900000 110627438 126935000 127778372"
"mMyoCai1.0.SUPER__1",234393516,126330000,126935000,"-","mMyoYum1.0.SCAF__1",240344003,110717929,111260846,5703,605000,13,"SUPER__1 94.9751","110717929 111260846 126330000 126935000"
"mMyoCai1.0.SUPER__1",234393516,125851507,126107609,"-","mMyoYum1.0.SCAF__1",240344003,111340000,111614279,2638,275062,12,"SUPER__1 93.5723","111340000 111614279 125851507 126107609"
"mMyoCai1.0.SUPER__1",234393516,124015000,124879914,"-","mMyoYum1.0.SCAF__1",240344003,112190000,113005339,8942,935000,14,"SUPER__1 95.5353","112190000 113005339 124015000 124879914"
"mMyoCai1.0.SUPER__1",234393516,105560000,109303923,"-","mMyoYum1.0.SCAF__1",240344003,127690000,131332851,35995,3745000,14,"SUPER__1 95.5363","127690000 131332851 105560000 109303923"
"mMyoCai1.0.SUPER__1",234393516,101095000,102880000,"-","mMyoYum1.0.SCAF__1",240344003,133341024,135112096,17323,1785000,14,"SUPER__1 96.0741","133341024 135112096 101095000 102880000"
"mMyoCai1.0.SUPER__1",234393516,91100000,100610000,"-","mMyoYum1.0.SCAF__1",240344003,139252756,148681089,90845,9510000,14,"SUPER__1 96.2376","139252756 148681089 91100000 100610000"
"mMyoCai1.0.SUPER__1",234393516,90395000,91045000,"-","mMyoYum1.0.SCAF__1",240344003,150086267,150737283,6245,651016,14,"SUPER__1 95.6434","150086267 150737283 90395000 91045000"
"mMyoCai1.0.SUPER__1",234393516,89960000,90365000,"-","mMyoYum1.0.SCAF__1",240344003,150933456,151359793,4166,426337,13,"SUPER__1 94.6206","150933456 151359793 89960000 90365000"
"mMyoCai1.0.SUPER__1",234393516,72655358,77460000,"-","mMyoYum1.0.SCAF__1",240344003,163005000,167810000,45985,4805430,14,"SUPER__1 96.317","163005000 167810000 72655358 77460000"
"mMyoCai1.0.SUPER__1",234393516,31315000,43330000,"-","mMyoYum1.0.SCAF__1",240344003,197278092,209143491,114738,12015000,14,"SUPER__1 96.1386","197278092 209143491 31315000 43330000"
"mMyoCai1.0.SUPER__1",234393516,2910000,31314144,"-","mMyoYum1.0.SCAF__1",240344003,209200834,237505000,275334,28405000,14,"SUPER__1 96.3043","209200834 237505000 2910000 31314144"
"mMyoCai1.0.SUPER__10",86584055,1150000,2730057,"+","mMyoYum1.0.SCAF__10",84518507,1148604,2710000,15645,1635000,13,"SUPER__10 94.7738","1148604 2710000 1150000 2730057"
"mMyoCai1.0.SUPER__10",86584055,3985000,18842907,"+","mMyoYum1.0.SCAF__10",84518507,3940055,18785000,142957,14860000,15,"SUPER__10 96.4632","3940055 18785000 3985000 18842907"
"mMyoCai1.0.SUPER__10",86584055,29765000,39440000,"+","mMyoYum1.0.SCAF__10",84518507,29663697,39282534,93100,9675000,15,"SUPER__10 96.7313","29663697 39282534 29765000 39440000"
"mMyoCai1.0.SUPER__10",86584055,39994498,40915000,"+","mMyoYum1.0.SCAF__10",84518507,39495000,40381542,9204,950000,14,"SUPER__10 96.1336","39495000 40381542 39994498 40915000"
"mMyoCai1.0.SUPER__10",86584055,40995000,47895000,"+","mMyoYum1.0.SCAF__10",84518507,40628099,47517908,66636,6900000,15,"SUPER__10 96.485","40628099 47517908 40995000 47895000"
"mMyoCai1.0.SUPER__10",86584055,52020000,57816357,"+","mMyoYum1.0.SCAF__10",84518507,51548992,57330000,56496,5870000,14,"SUPER__10 96.3608","51548992 57330000 52020000 57816357"
"mMyoCai1.0.SUPER__10",86584055,57895000,61880000,"-","mMyoYum1.0.SCAF__10",84518507,57345007,61352414,38488,4007407,14,"SUPER__10 95.8762","57345007 61352414 57895000 61880000"
"mMyoCai1.0.SUPER__10",86584055,61890000,68345000,"-","mMyoYum1.0.SCAF__10",84518507,61480872,67949313,60782,6468441,14,"SUPER__10 95.6686","61480872 67949313 61890000 68345000"
"mMyoCai1.0.SUPER__10",86584055,69335000,84692377,"+","mMyoYum1.0.SCAF__10",84518507,68898006,84410000,150420,15514579,14,"SUPER__10 95.9909","68898006 84410000 69335000 84692377"
"mMyoCai1.0.SUPER__12",82222849,1280000,1374651,"+","mMyoYum1.0.SCAF__12",62293450,2801,99626,935,96825,10,"SUPER__12 89.8126","2801 99626 1280000 1374651"
"mMyoCai1.0.SUPER__12",82222849,40888,1280000,"+","mMyoYum1.0.SCAF__12",62293450,145000,1393057,12091,1268331,13,"SUPER__12 95.1317","145000 1393057 40888 1280000"
"mMyoCai1.0.SUPER__12",82222849,1380338,16504992,"+","mMyoYum1.0.SCAF__12",62293450,1405000,16418003,147089,15130000,14,"SUPER__12 96.41","1405000 16418003 1380338 16504992"
"mMyoCai1.0.SUPER__12",82222849,16505000,24065000,"+","mMyoYum1.0.SCAF__12",62293450,16485833,24038633,69409,7560000,15,"SUPER__12 96.7475","16485833 24038633 16505000 24065000"
"mMyoCai1.0.SUPER__12",82222849,24065000,54811901,"+","mMyoYum1.0.SCAF__12",62293450,24129670,54380000,295464,30750000,15,"SUPER__12 96.6952","24129670 54380000 24065000 54811901"
"mMyoCai1.0.SUPER__12",82222849,55317337,62985000,"+","mMyoYum1.0.SCAF__12",62293450,54680000,62292822,78996,8070000,15,"SUPER__12 96.5456","54680000 62292822 55317337 62985000"
"mMyoCai1.0.SUPER__22",17873087,16050000,17821528,"-","mMyoYum1.0.SCAF__22",17375685,50000,1810876,16536,1780000,12,"SUPER__22 94.3554","50000 1810876 16050000 17821528"
"mMyoCai1.0.SUPER__22",17873087,4718812,16015000,"-","mMyoYum1.0.SCAF__22",17375685,1954410,13185000,109428,11310000,14,"SUPER__22 95.8432","1954410 13185000 4718812 16015000"
"mMyoCai1.0.SUPER__22",17873087,2050000,4685101,"-","mMyoYum1.0.SCAF__22",17375685,13130000,15749074,25453,2655000,13,"SUPER__22 95.1132","13130000 15749074 2050000 4685101"
