"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoThy1#0#SUPER__1",230758872,63034,2878481,"+","mMyoVel1.0.SUPER__1",234804448,40000,2935000,27424,2897001,13,"SUPER__1 95.4495","40000 2935000 63034 2878481"
"mMyoThy1#0#SUPER__1",230758872,3059588,31470000,"+","mMyoVel1.0.SUPER__1",234804448,2835000,31019110,273798,28525000,15,"SUPER__1 96.6223","2835000 31019110 3059588 31470000"
"mMyoThy1#0#SUPER__1",230758872,31472721,43371158,"+","mMyoVel1.0.SUPER__1",234804448,31110000,42870000,114155,12000000,15,"SUPER__1 96.5584","31110000 42870000 31472721 43371158"
"mMyoThy1#0#SUPER__1",230758872,72655929,88871235,"+","mMyoVel1.0.SUPER__1",234804448,71950000,88045000,158719,16230000,15,"SUPER__1 96.6321","71950000 88045000 72655929 88871235"
"mMyoThy1#0#SUPER__1",230758872,89745000,90860000,"+","mMyoVel1.0.SUPER__1",234804448,88282812,89363249,10746,1115000,14,"SUPER__1 95.9839","88282812 89363249 89745000 90860000"
"mMyoThy1#0#SUPER__1",230758872,90960000,100415000,"+","mMyoVel1.0.SUPER__1",234804448,91192081,100545832,90697,9455000,15,"SUPER__1 96.5381","91192081 100545832 90960000 100415000"
"mMyoThy1#0#SUPER__1",230758872,101132096,102924001,"+","mMyoVel1.0.SUPER__1",234804448,102575000,104349778,19695,2010000,14,"SUPER__1 96.3145","102575000 104349778 101132096 102924001"
"mMyoThy1#0#SUPER__1",230758872,103399076,103681688,"-","mMyoVel1.0.SUPER__1",234804448,108325000,108570000,3180,325000,12,"SUPER__1 94.0935","108325000 108570000 103399076 103681688"
"mMyoThy1#0#SUPER__1",230758872,103707898,121590000,"+","mMyoVel1.0.SUPER__1",234804448,108945000,126775990,176491,17885000,15,"SUPER__1 96.4988","108945000 126775990 103707898 121590000"
"mMyoThy1#0#SUPER__1",230758872,121630000,122440000,"+","mMyoVel1.0.SUPER__1",234804448,126863357,127563367,7932,810000,14,"SUPER__1 95.9225","126863357 127563367 121630000 122440000"
"mMyoThy1#0#SUPER__1",230758872,122895000,123055000,"+","mMyoVel1.0.SUPER__1",234804448,127938039,128105648,1611,167609,11,"SUPER__1 91.7896","127938039 128105648 122895000 123055000"
"mMyoThy1#0#SUPER__1",230758872,123130110,123320000,"+","mMyoVel1.0.SUPER__1",234804448,128215623,128449070,2272,233447,12,"SUPER__1 93.3339","128215623 128449070 123130110 123320000"
"mMyoThy1#0#SUPER__1",230758872,123623675,123690000,"+","mMyoVel1.0.SUPER__1",234804448,128525000,128597343,1066,110000,10,"SUPER__1 89.6969","128525000 128597343 123623675 123690000"
"mMyoThy1#0#SUPER__1",230758872,123690892,124124814,"+","mMyoVel1.0.SUPER__1",234804448,128675877,129055000,4259,435000,13,"SUPER__1 95.1166","128675877 129055000 123690892 124124814"
"mMyoThy1#0#SUPER__1",230758872,124125815,125225000,"+","mMyoVel1.0.SUPER__1",234804448,129146128,130188156,10771,1100000,14,"SUPER__1 96.1996","129146128 130188156 124125815 125225000"
"mMyoThy1#0#SUPER__1",230758872,127777671,134105000,"+","mMyoVel1.0.SUPER__1",234804448,132810000,138961656,61326,6330000,15,"SUPER__1 96.7933","132810000 138961656 127777671 134105000"
"mMyoThy1#0#SUPER__1",230758872,134110000,150325000,"+","mMyoVel1.0.SUPER__1",234804448,139015135,155070000,156632,16215000,15,"SUPER__1 96.7124","139015135 155070000 134110000 150325000"
"mMyoThy1#0#SUPER__1",230758872,150376008,150465000,"+","mMyoVel1.0.SUPER__1",234804448,155310000,155403605,891,94187,10,"SUPER__1 90.9622","155310000 155403605 150376008 150465000"
"mMyoThy1#0#SUPER__1",230758872,150520000,152755000,"+","mMyoVel1.0.SUPER__1",234804448,155415487,157584406,21693,2235000,15,"SUPER__1 96.5462","155415487 157584406 150520000 152755000"
"mMyoThy1#0#SUPER__1",230758872,152720000,153758206,"+","mMyoVel1.0.SUPER__1",234804448,157608518,158620000,10153,1040000,14,"SUPER__1 95.9972","157608518 158620000 152720000 153758206"
"mMyoThy1#0#SUPER__1",230758872,153787944,153910000,"+","mMyoVel1.0.SUPER__1",234804448,158565000,158716966,1623,167592,10,"SUPER__1 90.9947","158565000 158716966 153787944 153910000"
"mMyoThy1#0#SUPER__1",230758872,154092316,154212081,"+","mMyoVel1.0.SUPER__1",234804448,159010000,159130000,2490,265000,12,"SUPER__1 93.33","159010000 159130000 154092316 154212081"
"mMyoThy1#0#SUPER__1",230758872,154515000,225755000,"+","mMyoVel1.0.SUPER__1",234804448,159149441,229587389,695605,71240000,15,"SUPER__1 96.8381","159149441 229587389 154515000 225755000"
"mMyoThy1#0#SUPER__1",230758872,225905000,227159796,"-","mMyoVel1.0.SUPER__1",234804448,229660000,230913762,12561,1315000,13,"SUPER__1 95.129","229660000 230913762 225905000 227159796"
"mMyoThy1#0#SUPER__2",217270064,215460000,216090000,"+","mMyoVel1.0.SUPER__2",216113371,3937,640717,5951,636780,12,"SUPER__2 94.2456","3937 640717 215460000 216090000"
"mMyoThy1#0#SUPER__2",217270064,216220000,217204515,"-","mMyoVel1.0.SUPER__2",216113371,865000,1854399,9651,989734,13,"SUPER__2 95.3842","865000 1854399 216220000 217204515"
"mMyoThy1#0#SUPER__2",217270064,127780000,149023581,"-","mMyoVel1.0.SUPER__2",216113371,68060948,89048124,208103,21255000,15,"SUPER__2 96.7631","68060948 89048124 127780000 149023581"
"mMyoThy1#0#SUPER__2",217270064,116722185,121105000,"-","mMyoVel1.0.SUPER__2",216113371,95746975,100065000,41937,4385000,14,"SUPER__2 96.3869","95746975 100065000 116722185 121105000"
"mMyoThy1#0#SUPER__2",217270064,112705714,116660000,"-","mMyoVel1.0.SUPER__2",216113371,100123092,104040000,38982,3960000,15,"SUPER__2 96.852","100123092 104040000 112705714 116660000"
"mMyoThy1#0#SUPER__2",217270064,111975000,112615000,"-","mMyoVel1.0.SUPER__2",216113371,104047058,104721772,6633,674714,14,"SUPER__2 96.2759","104047058 104721772 111975000 112615000"
"mMyoThy1#0#SUPER__2",217270064,110375000,111130000,"-","mMyoVel1.0.SUPER__2",216113371,106124694,106862409,7203,755000,14,"SUPER__2 95.8449","106124694 106862409 110375000 111130000"
"mMyoThy1#0#SUPER__2",217270064,107560212,110020000,"-","mMyoVel1.0.SUPER__2",216113371,107050173,109605000,25128,2560067,14,"SUPER__2 96.4418","107050173 109605000 107560212 110020000"
"mMyoThy1#0#SUPER__2",217270064,107490594,107554023,"+","mMyoVel1.0.SUPER__2",216113371,109605000,109662734,631,65000,10,"SUPER__2 88.9985","109605000 109662734 107490594 107554023"
"mMyoThy1#0#SUPER__2",217270064,104981085,107490000,"-","mMyoVel1.0.SUPER__2",216113371,109670077,112193504,24495,2523427,15,"SUPER__2 96.4652","109670077 112193504 104981085 107490000"
"mMyoThy1#0#SUPER__2",217270064,84069037,104970000,"-","mMyoVel1.0.SUPER__2",216113371,112306778,133085000,201618,20910000,15,"SUPER__2 96.4857","112306778 133085000 84069037 104970000"
"mMyoThy1#0#SUPER__2",217270064,82840000,83630000,"-","mMyoVel1.0.SUPER__2",216113371,133278407,134062790,7410,790000,13,"SUPER__2 94.9747","133278407 134062790 82840000 83630000"
"mMyoThy1#0#SUPER__2",217270064,77730844,80715000,"-","mMyoVel1.0.SUPER__2",216113371,136275930,139259103,29259,2985000,15,"SUPER__2 96.5609","136275930 139259103 77730844 80715000"
