"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoCai1.0.SUPER__1",234393516,2899490,31313302,"+","mMyoVel1.0.SUPER__1",234804448,2830000,31020000,298043,31240000,14,"SUPER__1 96.1885","2830000 31020000 2899490 31313302"
"mMyoCai1.0.SUPER__1",234393516,31315000,43335000,"+","mMyoVel1.0.SUPER__1",234804448,31112981,42841464,116889,12020000,14,"SUPER__1 96.1395","31112981 42841464 31315000 43335000"
"mMyoCai1.0.SUPER__1",234393516,43440000,46485000,"+","mMyoVel1.0.SUPER__1",234804448,43031715,45993430,28750,3045000,14,"SUPER__1 96.0689","43031715 45993430 43440000 46485000"
"mMyoCai1.0.SUPER__1",234393516,48690000,68005000,"+","mMyoVel1.0.SUPER__1",234804448,48257926,67348468,183797,19315000,14,"SUPER__1 96.2646","48257926 67348468 48690000 68005000"
"mMyoCai1.0.SUPER__1",234393516,68117760,72654598,"+","mMyoVel1.0.SUPER__1",234804448,67450000,71900000,43950,4545000,14,"SUPER__1 96.3015","67450000 71900000 68117760 72654598"
"mMyoCai1.0.SUPER__1",234393516,72655000,77460000,"+","mMyoVel1.0.SUPER__1",234804448,71950760,76723173,46790,4805000,14,"SUPER__1 96.2905","71950760 76723173 72655000 77460000"
"mMyoCai1.0.SUPER__1",234393516,77516510,88950000,"+","mMyoVel1.0.SUPER__1",234804448,76730000,88067969,109840,11435000,14,"SUPER__1 96.2633","76730000 88067969 77516510 88950000"
"mMyoCai1.0.SUPER__1",234393516,89875000,91030000,"+","mMyoVel1.0.SUPER__1",234804448,88182995,89325698,10888,1155000,14,"SUPER__1 95.7228","88182995 89325698 89875000 91030000"
"mMyoCai1.0.SUPER__1",234393516,91160000,100635307,"+","mMyoVel1.0.SUPER__1",234804448,91191949,100580000,93311,9640000,14,"SUPER__1 96.2325","91191949 100580000 91160000 100635307"
"mMyoCai1.0.SUPER__1",234393516,101035546,102879745,"+","mMyoVel1.0.SUPER__1",234804448,102515000,104360000,19064,1960000,14,"SUPER__1 96.037","102515000 104360000 101035546 102879745"
"mMyoCai1.0.SUPER__1",234393516,105560000,105858882,"-","mMyoVel1.0.SUPER__1",234804448,108325000,108568824,2835,300000,12,"SUPER__1 93.7982","108325000 108568824 105560000 105858882"
"mMyoCai1.0.SUPER__1",234393516,105861550,123890000,"+","mMyoVel1.0.SUPER__1",234804448,108945000,126772390,174164,18030000,14,"SUPER__1 96.0544","108945000 126772390 105861550 123890000"
"mMyoCai1.0.SUPER__1",234393516,124015000,124879616,"+","mMyoVel1.0.SUPER__1",234804448,126788161,127565000,8831,910000,14,"SUPER__1 95.6613","126788161 127565000 124015000 124879616"
"mMyoCai1.0.SUPER__1",234393516,125701063,125839252,"+","mMyoVel1.0.SUPER__1",234804448,127995000,128107763,1425,150000,11,"SUPER__1 91.3579","127995000 128107763 125701063 125839252"
"mMyoCai1.0.SUPER__1",234393516,125891138,126107594,"+","mMyoVel1.0.SUPER__1",234804448,128215407,128450000,2237,236000,12,"SUPER__1 93.1937","128215407 128450000 125891138 126107594"
"mMyoCai1.0.SUPER__1",234393516,126330000,126935000,"+","mMyoVel1.0.SUPER__1",234804448,128528437,129056290,5754,605000,13,"SUPER__1 94.9339","128528437 129056290 126330000 126935000"
"mMyoCai1.0.SUPER__1",234393516,126935000,127778009,"+","mMyoVel1.0.SUPER__1",234804448,129147424,129875000,8193,845000,14,"SUPER__1 95.5464","129147424 129875000 126935000 127778009"
"mMyoCai1.0.SUPER__1",234393516,127790685,131512252,"+","mMyoVel1.0.SUPER__1",234804448,129940000,133740000,36993,3803529,14,"SUPER__1 96.3342","129940000 133740000 127790685 131512252"
"mMyoCai1.0.SUPER__1",234393516,138458267,154585000,"+","mMyoVel1.0.SUPER__1",234804448,139015000,155037259,208896,21485000,14,"SUPER__1 96.3808","139015000 155037259 138458267 154585000"
"mMyoCai1.0.SUPER__1",234393516,154685996,154783367,"+","mMyoVel1.0.SUPER__1",234804448,155135000,155235000,1299,133602,10,"SUPER__1 89.1771","155135000 155235000 154685996 154783367"
"mMyoCai1.0.SUPER__1",234393516,154915252,155502159,"+","mMyoVel1.0.SUPER__1",234804448,155415297,155990000,5702,590000,14,"SUPER__1 95.6404","155415297 155990000 154915252 155502159"
"mMyoCai1.0.SUPER__1",234393516,155554896,157130280,"+","mMyoVel1.0.SUPER__1",234804448,155990000,157585000,15566,1606317,14,"SUPER__1 96.1417","155990000 157585000 155554896 157130280"
"mMyoCai1.0.SUPER__1",234393516,158340000,158524313,"+","mMyoVel1.0.SUPER__1",234804448,159003609,159215000,2090,221309,11,"SUPER__1 92.1877","159003609 159215000 158340000 158524313"
"mMyoCai1.0.SUPER__1",234393516,159770000,208085000,"+","mMyoVel1.0.SUPER__1",234804448,160089426,207784299,463892,48315000,15,"SUPER__1 96.5756","160089426 207784299 159770000 208085000"
"mMyoCai1.0.SUPER__1",234393516,230502194,231693377,"+","mMyoVel1.0.SUPER__1",234804448,229685000,230895000,14002,1465000,13,"SUPER__1 94.9355","229685000 230895000 230502194 231693377"
"mMyoCai1.0.SUPER__1",234393516,232255458,232838562,"+","mMyoVel1.0.SUPER__1",234804448,231145000,231720000,5840,610000,13,"SUPER__1 94.9427","231145000 231720000 232255458 232838562"
"mMyoCai1.0.SUPER__1",234393516,233265000,234393409,"+","mMyoVel1.0.SUPER__1",234804448,231750000,232877483,10718,1128516,13,"SUPER__1 94.6484","231750000 232877483 233265000 234393409"
"mMyoCai1.0.SUPER__4",126198552,112856159,117401266,"-","mMyoVel1.0.SUPER__4",118339641,6660000,11105000,75901,7805000,15,"SUPER__4 96.9392","6660000 11105000 112856159 117401266"
"mMyoCai1.0.SUPER__4",126198552,107041616,109660000,"-","mMyoVel1.0.SUPER__4",118339641,14186817,16745000,25869,2645000,15,"SUPER__4 96.6807","14186817 16745000 107041616 109660000"
"mMyoCai1.0.SUPER__4",126198552,102557433,106940514,"-","mMyoVel1.0.SUPER__4",118339641,16745000,21035000,42428,4460000,15,"SUPER__4 96.6919","16745000 21035000 102557433 106940514"
"mMyoCai1.0.SUPER__4",126198552,102220000,102355000,"-","mMyoVel1.0.SUPER__4",118339641,21282740,21413559,1328,135000,12,"SUPER__4 92.9898","21282740 21413559 102220000 102355000"
"mMyoCai1.0.SUPER__4",126198552,101916665,102130000,"-","mMyoVel1.0.SUPER__4",118339641,21415031,21654356,2315,239325,12,"SUPER__4 93.9218","21415031 21654356 101916665 102130000"
"mMyoCai1.0.SUPER__4",126198552,101371697,101852602,"-","mMyoVel1.0.SUPER__4",118339641,21655000,22140000,4621,487147,13,"SUPER__4 95.1811","21655000 22140000 101371697 101852602"
"mMyoCai1.0.SUPER__4",126198552,100185000,101295000,"-","mMyoVel1.0.SUPER__4",118339641,22141348,23258854,10875,1117506,14,"SUPER__4 95.9655","22141348 23258854 100185000 101295000"
"mMyoCai1.0.SUPER__4",126198552,100001507,100125000,"-","mMyoVel1.0.SUPER__4",118339641,23265935,23389022,1443,155000,10,"SUPER__4 91.0153","23265935 23389022 100001507 100125000"
"mMyoCai1.0.SUPER__4",126198552,99070000,99400000,"-","mMyoVel1.0.SUPER__4",118339641,23637817,23995328,3508,357511,13,"SUPER__4 94.5796","23637817 23995328 99070000 99400000"
"mMyoCai1.0.SUPER__4",126198552,97184847,98496597,"-","mMyoVel1.0.SUPER__4",118339641,24435000,25720000,12687,1350000,14,"SUPER__4 95.6756","24435000 25720000 97184847 98496597"
"mMyoCai1.0.SUPER__4",126198552,94260000,97180000,"-","mMyoVel1.0.SUPER__4",118339641,25810432,28748229,27781,2937797,14,"SUPER__4 95.8766","25810432 28748229 94260000 97180000"
"mMyoCai1.0.SUPER__4",126198552,92841414,94065000,"-","mMyoVel1.0.SUPER__4",118339641,29022956,30220000,12011,1230000,14,"SUPER__4 95.9196","29022956 30220000 92841414 94065000"
"mMyoCai1.0.SUPER__4",126198552,90185000,92835000,"-","mMyoVel1.0.SUPER__4",118339641,30336299,32943429,25358,2650000,14,"SUPER__4 96.0288","30336299 32943429 90185000 92835000"
"mMyoCai1.0.SUPER__4",126198552,85378100,90125000,"-","mMyoVel1.0.SUPER__4",118339641,32989584,37680000,45224,4750000,14,"SUPER__4 96.077","32989584 37680000 85378100 90125000"
"mMyoCai1.0.SUPER__4",126198552,85065000,85354458,"-","mMyoVel1.0.SUPER__4",118339641,37730000,38058053,3182,328853,12,"SUPER__4 93.6698","37730000 38058053 85065000 85354458"
"mMyoCai1.0.SUPER__4",126198552,84496554,84939455,"-","mMyoVel1.0.SUPER__4",118339641,38405000,38830000,4264,445000,12,"SUPER__4 93.9537","38405000 38830000 84496554 84939455"
"mMyoCai1.0.SUPER__4",126198552,83386473,84457799,"-","mMyoVel1.0.SUPER__4",118339641,38870000,39825000,10510,1075000,13,"SUPER__4 95.0454","38870000 39825000 83386473 84457799"
"mMyoCai1.0.SUPER__4",126198552,82260563,83380000,"-","mMyoVel1.0.SUPER__4",118339641,39882591,40985000,10918,1120000,13,"SUPER__4 95.3309","39882591 40985000 82260563 83380000"
"mMyoCai1.0.SUPER__4",126198552,75859216,82240000,"-","mMyoVel1.0.SUPER__4",118339641,41035942,47265000,60174,6385000,14,"SUPER__4 96.4505","41035942 47265000 75859216 82240000"
"mMyoCai1.0.SUPER__4",126198552,75220000,75739349,"-","mMyoVel1.0.SUPER__4",118339641,47375000,47933827,5336,565009,13,"SUPER__4 95.1064","47375000 47933827 75220000 75739349"
"mMyoCai1.0.SUPER__4",126198552,74621018,74994795,"-","mMyoVel1.0.SUPER__4",118339641,48031774,48379228,3586,375000,12,"SUPER__4 94.2651","48031774 48379228 74621018 74994795"
"mMyoCai1.0.SUPER__4",126198552,72690135,73050000,"-","mMyoVel1.0.SUPER__4",118339641,48692935,49010000,3404,360000,12,"SUPER__4 94.0585","48692935 49010000 72690135 73050000"
"mMyoCai1.0.SUPER__4",126198552,71417325,71528118,"-","mMyoVel1.0.SUPER__4",118339641,49580000,49688621,1112,115000,10,"SUPER__4 89.8416","49580000 49688621 71417325 71528118"
"mMyoCai1.0.SUPER__4",126198552,71290000,71380000,"-","mMyoVel1.0.SUPER__4",118339641,49741070,49851542,1067,110472,10,"SUPER__4 90.4127","49741070 49851542 71290000 71380000"
"mMyoCai1.0.SUPER__4",126198552,69361653,69505000,"-","mMyoVel1.0.SUPER__4",118339641,51382164,51520000,1361,145000,11,"SUPER__4 91.4461","51382164 51520000 69361653 69505000"
"mMyoCai1.0.SUPER__4",126198552,69060000,69263307,"-","mMyoVel1.0.SUPER__4",118339641,51545611,51717877,1911,205000,11,"SUPER__4 92.2908","51545611 51717877 69060000 69263307"
"mMyoCai1.0.SUPER__4",126198552,68432092,68858152,"-","mMyoVel1.0.SUPER__4",118339641,51720000,52110000,4060,430000,12,"SUPER__4 93.8664","51720000 52110000 68432092 68858152"
"mMyoCai1.0.SUPER__4",126198552,68010575,68108221,"-","mMyoVel1.0.SUPER__4",118339641,52175000,52255000,952,100000,10,"SUPER__4 89.8052","52175000 52255000 68010575 68108221"
"mMyoCai1.0.SUPER__4",126198552,67346494,67543539,"-","mMyoVel1.0.SUPER__4",118339641,52295767,52460000,1958,200000,11,"SUPER__4 92.6816","52295767 52460000 67346494 67543539"
"mMyoCai1.0.SUPER__4",126198552,65887267,67005000,"-","mMyoVel1.0.SUPER__4",118339641,52562265,53704838,10868,1142573,13,"SUPER__4 95.1879","52562265 53704838 65887267 67005000"
"mMyoCai1.0.SUPER__4",126198552,63606627,65823977,"-","mMyoVel1.0.SUPER__4",118339641,53710000,55774297,20734,2220000,13,"SUPER__4 95.3196","53710000 55774297 63606627 65823977"
"mMyoCai1.0.SUPER__4",126198552,56908290,63535499,"-","mMyoVel1.0.SUPER__4",118339641,55775000,62385000,63455,6635000,14,"SUPER__4 96.2305","55775000 62385000 56908290 63535499"
"mMyoCai1.0.SUPER__4",126198552,53000782,56855000,"-","mMyoVel1.0.SUPER__4",118339641,62428361,66094600,37137,3855000,14,"SUPER__4 96.2947","62428361 66094600 53000782 56855000"
"mMyoCai1.0.SUPER__4",126198552,43130000,52852387,"-","mMyoVel1.0.SUPER__4",118339641,66115000,75745192,93525,9725000,14,"SUPER__4 96.4076","66115000 75745192 43130000 52852387"
"mMyoCai1.0.SUPER__4",126198552,20961869,42265000,"-","mMyoVel1.0.SUPER__4",118339641,76590088,97975000,209748,21395431,15,"SUPER__4 96.674","76590088 97975000 20961869 42265000"
"mMyoCai1.0.SUPER__4",126198552,15595000,20820000,"-","mMyoVel1.0.SUPER__4",118339641,98090161,103423449,52152,5333288,14,"SUPER__4 96.3118","98090161 103423449 15595000 20820000"
"mMyoCai1.0.SUPER__4",126198552,13985616,15535000,"-","mMyoVel1.0.SUPER__4",118339641,103435613,104995000,15099,1559815,15,"SUPER__4 96.5465","103435613 104995000 13985616 15535000"
"mMyoCai1.0.SUPER__4",126198552,13380000,13897144,"-","mMyoVel1.0.SUPER__4",118339641,105015000,105617712,5934,620871,13,"SUPER__4 95.4088","105015000 105617712 13380000 13897144"
"mMyoCai1.0.SUPER__4",126198552,8040000,13270000,"-","mMyoVel1.0.SUPER__4",118339641,105651199,110723796,50327,5230000,15,"SUPER__4 96.7449","105651199 110723796 8040000 13270000"
"mMyoCai1.0.SUPER__4",126198552,3970000,7954749,"-","mMyoVel1.0.SUPER__4",118339641,110810000,114603107,39264,3990000,15,"SUPER__4 96.8931","110810000 114603107 3970000 7954749"
"mMyoCai1.0.SUPER__4",126198552,2300000,3184343,"-","mMyoVel1.0.SUPER__4",118339641,115290000,116108819,8426,885000,13,"SUPER__4 95.3764","115290000 116108819 2300000 3184343"
