qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoAui1.0.SUPER__1,234041302,77420174,77545000,-,mMyoOcc1.0.SUPER__1,232672419,156593846,156709840,100882,125000,6,77420000_77545000_156593846_156709840
mMyoAui1.0.SUPER__1,234041302,145780302,145863849,-,mMyoOcc1.0.SUPER__1,232672419,87310000,87405000,109195,141833,6,145755320_145872440_87301752_87443585
mMyoAui1.0.SUPER__1,234041302,107970074,108035000,-,mMyoOcc1.0.SUPER__1,232672419,127122890,127187260,52170,65000,5,107970000_108035000_127122890_127187260
mMyoAui1.0.SUPER__1,234041302,107776021,107893611,-,mMyoOcc1.0.SUPER__1,232672419,127190000,127319616,94923,131288,4,107775832_107895000_127188443_127319731
mMyoAui1.0.SUPER__1,234041302,129593654,129635000,-,mMyoOcc1.0.SUPER__1,232672419,103477151,103520000,62344,72117,7,129565000_129635000_103477151_103549268
mMyoAui1.0.SUPER__1,234041302,108527120,108648712,-,mMyoOcc1.0.SUPER__1,232672419,126615000,126742421,93580,128171,4,108527120_108649232_126614250_126742421
mMyoAui1.0.SUPER__1,234041302,81345000,81444624,-,mMyoOcc1.0.SUPER__1,232672419,153250000,153337654,67748,123950,3,81345000_81444624_153213704_153337654
mMyoAui1.0.SUPER__1,234041302,108145000,108440000,-,mMyoOcc1.0.SUPER__1,232672419,126840226,127116916,207956,295000,4,108145000_108440000_126840226_127116916
mMyoAui1.0.SUPER__1,234041302,3520256,4110000,+,mMyoOcc1.0.SUPER__1,232672419,228998613,229573727,516720,589744,7,3520256_4110000_228998613_229573727
mMyoAui1.0.SUPER__2,216233548,116030576,116307232,-,mMyoOcc1.0.SUPER__2,212937769,114250000,114507146,230571,278144,6,116030576_116308720_114247618_114507146
mMyoAui1.0.SUPER__1,234041302,109155000,109969872,-,mMyoOcc1.0.SUPER__1,232672419,125502019,126192581,615479,814872,5,109155000_109969872_125502019_126192581
