qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoLuc1.0.SUPER__1,244374582,179010815,179047396,+,mMyoEvo1.0.SUPER__1,230788764,64470000,64510000,36543,43298,7,179010000_179049552_64469116_64512414
mMyoLuc1.0.SUPER__1,244374582,137982344,138044872,-,mMyoEvo1.0.SUPER__1,230788764,106790465,106856288,54297,66015,6,137982152_138044872_106790465_106856480
mMyoLuc1.0.SUPER__1,244374582,87654138,87740000,+,mMyoEvo1.0.SUPER__1,230788764,141440000,141541781,84369,105885,6,87650000_87740000_141435896_141541781
mMyoLuc1.0.SUPER__1,244374582,138050000,138183720,-,mMyoEvo1.0.SUPER__1,230788764,106611976,106720824,94556,133720,5,138050000_138183720_106611921_106720824
mMyoLuc1.0.SUPER__2,212563729,114995568,115029017,-,mMyoEvo1.0.SUPER__2,217004436,116680000,116713444,28872,33792,6,114995568_115029360_116679793_116713444
mMyoLuc1.0.SUPER__1,244374582,137475240,137601808,-,mMyoEvo1.0.SUPER__1,230788764,107295176,107404638,90683,172680,2,137475240_137622184_107231958_107404638
mMyoLuc1.0.SUPER__1,244374582,137720544,137980000,-,mMyoEvo1.0.SUPER__1,230788764,106970597,107229073,204798,259456,5,137720544_137980000_106970597_107229073
mMyoLuc1.0.SUPER__2,212563729,108720210,108916736,+,mMyoEvo1.0.SUPER__2,217004436,110822949,111012512,167126,196608,7,108720128_108916736_110822949_111012565
mMyoLuc1.0.SUPER__1,244374582,138252712,138665000,-,mMyoEvo1.0.SUPER__1,230788764,106180726,106610000,333753,431187,5,138250792_138665000_106180726_106611913
mMyoLuc1.0.SUPER__1,244374582,111730066,112289847,+,mMyoEvo1.0.SUPER__1,230788764,128180000,128775000,1520903,1737840,7,111546024_113234600_127982569_129720409
mMyoLuc1.0.SUPER__1,244374582,239678125,240260000,+,mMyoEvo1.0.SUPER__1,230788764,2375384,2975989,517614,603880,7,239675000_240260000_2372109_2975989
mMyoLuc1.0.SUPER__2,212563729,56360896,56484416,+,mMyoEvo1.0.SUPER__2,217004436,57623349,57735701,100216,123520,6,56360896_56484416_57623349_57735701
