qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoOcc1.0.SUPER__1,232672419,100573430,100575000,-,mMyoYum1.0.SUPER__1,240344003,135858444,135860000,89818,105000,7,100470000_100575000_135858444_135957044
mMyoOcc1.0.SUPER__1,232672419,42758652,43131083,-,mMyoYum1.0.SUPER__1,240344003,196500000,196888336,354817,412647,7,42736280_43132312_196498808_196911455
mMyoOcc1.0.SUPER__1,232672419,227615688,227723611,-,mMyoYum1.0.SUPER__1,240344003,3022224,3127149,97511,108032,9,227615688_227723720_3022207_3127149
mMyoOcc1.0.SUPER__1,232672419,231746287,231784744,-,mMyoYum1.0.SUPER__1,240344003,2016666,2055000,37936,39744,13,231745000_231784744_2016666_2056290
mMyoOcc1.0.SUPER__1,232672419,220665000,220920000,-,mMyoYum1.0.SUPER__1,240344003,17304207,17558419,237360,255000,10,220665000_220920000_17304207_17558419
mMyoOcc1.0.SUPER__1,232672419,157206280,157257685,-,mMyoYum1.0.SUPER__1,240344003,80280000,80334616,60049,95000,3,157205000_157300000_80252247_80335911
mMyoOcc1.0.SUPER__1,232672419,228997343,229570000,-,mMyoYum1.0.SUPER__1,240344003,74322,675000,541627,625929,7,228970000_229570000_74322_700251
mMyoOcc1.0.SUPER__1,232672419,230723096,230951730,-,mMyoYum1.0.SUPER__1,240344003,2115000,2346032,187301,234308,5,230723064_230955000_2111790_2346098
mMyoOcc1.0.SUPER__1,232672419,153145493,153214774,-,mMyoYum1.0.SUPER__1,240344003,84300000,84374616,85320,126933,4,153145000_153250000_84248162_84375095
mMyoOcc1.0.SUPER__1,232672419,111270256,111480000,+,mMyoYum1.0.SUPER__1,240344003,127442569,127687043,187846,244474,6,111270256_111480000_127442569_127687043
mMyoOcc1.0.SUPER__2,212937769,136472368,136508240,-,mMyoYum1.0.SUPER__2,217333615,139816984,139853180,29078,36259,5,136472368_136508336_139816921_139853180
mMyoOcc1.0.SUPER__2,212937769,208350000,208435000,+,mMyoYum1.0.SUPER__108,94119,56,93069,80138,93013,8,208350000_208435000_56_93069
mMyoOcc1.0.SUPER__2,212937769,114250518,114526175,-,mMyoYum1.0.SUPER__2,217333615,117145000,117425000,247807,283073,7,114250320_114529104_117142125_117425198
mMyoOcc1.0.SUPER__1,232672419,125425216,126195264,-,mMyoYum1.0.SUPER__1,240344003,112191023,113009935,698992,818912,7,125425216_126195264_112191023_113009935
mMyoOcc1.0.SUPER__2,212937769,65890323,66046712,+,mMyoYum1.0.SUPER__2,217333615,67211024,67365114,145982,211328,4,65835384_66046712_67186554_67365114
mMyoOcc1.0.SUPER__1,232672419,227727371,228790000,+,mMyoYum1.0.SUPER__1,240344003,3135000,4285358,953864,1151922,6,227725768_228790000_3133436_4285358
mMyoOcc1.0.SUPER__2,212937769,103695824,103909619,+,mMyoYum1.0.SUPER__2,217333615,106293165,106475000,150666,215904,4,103694096_103910000_106293165_106475381
mMyoOcc1.0.SUPER__2,212937769,103920000,104399232,+,mMyoYum1.0.SUPER__2,217333615,106541434,107044252,438660,502818,7,103920000_104399232_106541434_107044252
mMyoOcc1.0.SUPER__2,212937769,104554697,104700000,-,mMyoYum1.0.SUPER__2,217333615,107070735,107230000,127910,160641,6,104553312_104700000_107070735_107231376
mMyoOcc1.0.SUPER__2,212937769,102771456,103304272,+,mMyoYum1.0.SUPER__2,217333615,104912176,105516719,461640,604578,5,102771408_103304272_104912141_105516719
mMyoOcc1.0.SUPER__3,212757328,40940000,41049184,+,mMyoYum1.0.SUPER__3,215164148,173943657,174053308,103161,109651,11,40940000_41049184_173943657_174053308
mMyoOcc1.0.SUPER__3,212757328,24350000,24459928,-,mMyoYum1.0.SUPER__3,215164148,190676172,190786472,95513,110300,7,24350000_24459928_190676172_190786472
mMyoOcc1.0.SUPER__2,212937769,156343618,159145000,+,mMyoYum1.0.SUPER__2,217333615,160015256,162819230,2531672,2807448,8,156340128_159145000_160011782_162819230
mMyoOcc1.0.SUPER__3,212757328,855752,918505,-,mMyoYum1.0.SUPER__137,58935,5000,58850,37119,67456,2,855752_923208_491_58850
mMyoOcc1.0.SUPER__1,232672419,107782186,109897653,-,mMyoYum1.0.SUPER__1,240344003,129135000,131335000,1799365,2202519,6,107780000_109897952_129134656_131337175
mMyoOcc1.0.SUPER__3,212757328,51644,854126,-,mMyoYum1.0.SUPER__3,215164148,214292840,215105000,716195,812978,7,51032_854232_214292738_215105716
mMyoOcc1.0.SUPER__2,212937769,205320896,208348352,+,mMyoYum1.0.SUPER__2,217333615,209741950,212812224,2736690,3070344,8,205320896_208348352_209741950_212812294
mMyoOcc1.0.SUPER__3,212757328,142894946,143174431,+,mMyoYum1.0.SUPER__3,215164148,70581408,70880000,265253,349568,5,142875000_143224568_70565700_70890008
mMyoOcc1.0.SUPER__3,212757328,116455921,116630000,-,mMyoYum1.0.SUPER__3,215164148,97311433,97500000,157654,189338,6,116455152_116630000_97311433_97500771
mMyoOcc1.0.SUPER__3,212757328,115675000,116398512,-,mMyoYum1.0.SUPER__3,215164148,97665000,98404169,592072,740652,5,115675000_116400000_97663517_98404169
mMyoOcc1.0.SUPER__3,212757328,116402768,116452428,-,mMyoYum1.0.SUPER__3,215164148,97557998,97610000,49737,54370,10,116400344_116452440_97557998_97612368
mMyoOcc1.0.SUPER__3,212757328,134342099,135604515,-,mMyoYum1.0.SUPER__3,215164148,78205752,79475000,1061230,1271106,6,134340360_135604616_78205651_79476757
mMyoOcc1.0.SUPER__3,212757328,53905000,53959330,-,mMyoYum1.0.SUPER__3,215164148,160780000,160834385,1947562,2494867,5,53905000_56350000_158339518_160834385
