qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoLuc1.0.SUPER__1,244374582,167673013,167783262,+,mMyoCai1.0.SUPER__1,234393516,158105000,158255000,95203,154812,4,167671376_167787216_158103369_158258181
mMyoLuc1.0.SUPER__3,211792393,143845000,143919498,+,mMyoCai1.0.SUPER__2,217612966,67365875,67440000,72724,87440,6,143845000_143929864_67365875_67453315
mMyoLuc1.0.SUPER__1,244374582,137723425,137980000,+,mMyoCai1.0.SUPER__1,234393516,125845000,126104210,191444,261541,4,137721024_137980000_125842669_126104210
mMyoLuc1.0.SUPER__1,244374582,167846800,168103680,+,mMyoCai1.0.SUPER__1,234393516,158290896,158520382,186470,260992,4,167842688_168103680_158277634_158520382
mMyoLuc1.0.SUPER__1,244374582,239678488,240245602,+,mMyoCai1.0.SUPER__1,234393516,232255256,232835000,552247,710000,5,239675000_240385000_232251665_232889660
mMyoLuc1.0.SUPER__1,244374582,138776543,138848908,+,mMyoCai1.0.SUPER__1,234393516,126937062,127010000,42994,90097,2,138776408_138856792_126937062_127027159
mMyoLuc1.0.SUPER__3,211792393,145425232,145447922,-,mMyoCai1.0.SUPER__2,217612966,67500192,67524356,40285,47512,7,145425232_145469776_67476844_67524356
mMyoLuc1.0.SUPER__1,244374582,138068840,138664563,+,mMyoCai1.0.SUPER__1,234393516,126305965,126935000,463693,629470,4,138068840_138665000_126305965_126935435
mMyoLuc1.0.SUPER__3,211792393,67412154,67470000,+,mMyoCai1.0.SUPER__2,217612966,148795000,148853943,50450,60417,6,67410000_67470000_148793526_148853943
mMyoLuc1.0.SUPER__3,211792393,49702176,49747494,+,mMyoCai1.0.SUPER__2,217612966,166998484,167035000,32175,46080,5,49702176_49748256_166998484_167035732
mMyoLuc1.0.SUPER__1,244374582,168127599,168920520,+,mMyoCai1.0.SUPER__1,234393516,158858456,159715825,689256,857408,6,168127560_168920520_158858417_159715825
mMyoLuc1.0.SUPER__3,211792393,77824791,78096247,-,mMyoCai1.0.SUPER__2,217612966,138050184,138323336,469064,588928,6,77820176_78409104_137783920_138327906
mMyoLuc1.0.SUPER__3,211792393,82120000,82345000,-,mMyoCai1.0.SUPER__2,217612966,133847268,134055475,189444,225000,7,82120000_82345000_133847268_134055475
mMyoLuc1.0.SUPER__3,211792393,69516792,69828672,+,mMyoCai1.0.SUPER__2,217612966,146417738,146715000,254618,323208,5,69516792_69840000_146417738_146726920
mMyoLuc1.0.SUPER__1,244374582,238205216,239435345,-,mMyoCai1.0.SUPER__1,234393516,230475000,231681852,1067603,1253760,7,238205216_239458976_230452615_231681852
mMyoLuc1.0.SUPER__1,244374582,240642872,241771960,+,mMyoCai1.0.SUPER__1,234393516,233255856,234393490,969167,1137634,6,240642872_241771960_233255856_234393490
mMyoLuc1.0.SUPER__3,211792393,101996448,102656521,-,mMyoCai1.0.SUPER__2,217612966,112155000,112900795,560159,747099,5,101996448_102657824_112153696_112900795
mMyoLuc1.0.SUPER__3,211792393,43067,297293,-,mMyoCai1.0.SUPER__2,217612966,217266520,217574872,8101354,9326974,7,41472_9280000_208251850_217578824
mMyoLuc1.0.SUPER__2,212563729,108720210,108858341,-,mMyoCai1.0.SUPER__3,217383104,106335000,106493976,121305,161952,5,108720000_108861160_106332190_106494142
mMyoLuc1.0.SUPER__2,212563729,108274655,108711288,-,mMyoCai1.0.SUPER__3,217383104,106575269,107020000,359855,445476,5,108273912_108711288_106575269_107020745
mMyoLuc1.0.SUPER__3,211792393,99480847,99830000,-,mMyoCai1.0.SUPER__2,217612966,115300869,115657184,270887,373003,4,99470576_99830000_115300869_115673872
mMyoLuc1.0.SUPER__1,244374582,45707517,47809557,+,mMyoCai1.0.SUPER__1,234393516,46490000,48688656,26522129,30966514,7,45704736_75848352_46487451_77453965
mMyoLuc1.0.SUPER__2,212563729,146310000,146602198,-,mMyoCai1.0.SUPER__3,217383104,66860000,67148368,215042,294872,4,146310000_146604872_66859504_67148368
mMyoLuc1.0.SUPER__3,211792393,210560864,211739360,-,mMyoCai1.0.SUPER__2,217612966,77848,1253998,999230,1178496,6,210560864_211739360_77848_1253998
mMyoLuc1.0.SUPER__3,211792393,102670488,103962040,-,mMyoCai1.0.SUPER__2,217612966,110665000,112092211,13853803,16971947,6,102670488_118975000_95120264_112092211
mMyoLuc1.0.SUPER__3,211792393,96229468,97139232,-,mMyoCai1.0.SUPER__2,217612966,118613781,119520000,663334,912128,4,96227104_97139232_118613781_119520625
mMyoLuc1.0.SUPER__3,211792393,100756905,101925000,-,mMyoCai1.0.SUPER__2,217612966,112907508,114180000,903298,1274071,4,100755336_101925000_112907508_114181579
mMyoLuc1.0.SUPER__3,211792393,99835000,100715000,-,mMyoCai1.0.SUPER__2,217612966,114242654,115195249,608323,952595,3,99835000_100715000_114242654_115195249
mMyoLuc1.0.SUPER__3,211792393,97140000,99202952,-,mMyoCai1.0.SUPER__2,217612966,116381374,118533743,1705909,2152369,5,97140000_99202952_116381374_118533743
mMyoLuc1.0.SUPER__2,212563729,43932767,43959616,-,mMyoCai1.0.SUPER__3,217383104,172407121,172434872,30437,38366,6,43926464_43959616_172407121_172445487
mMyoLuc1.0.SUPER__2,212563729,211447812,212524325,-,mMyoCai1.0.SUPER__3,217383104,32080,1105698,936469,1122688,6,211441041_212563729_465_1105698
mMyoLuc1.0.SUPER__2,212563729,56357525,56476454,-,mMyoCai1.0.SUPER__3,217383104,159680480,159818464,112872,159154,4,56345480_56484360_159669332_159828486
mMyoLuc1.0.SUPER__3,211792393,23805000,27655889,-,mMyoCai1.0.SUPER__2,217612966,189360000,193291775,3494407,3959040,8,23805000_27677568_189332735_193291775
mMyoLuc1.0.SUPER__2,212563729,81990000,82411712,-,mMyoCai1.0.SUPER__3,217383104,133545000,133979727,323649,438018,4,81990000_82415000_133541709_133979727
mMyoLuc1.0.SUPER__4,121730464,53673057,53903080,-,mMyoCai1.0.SUPER__4,126198552,70761708,70960000,214386,308113,4,53615000_53903080_70761708_71069821
mMyoLuc1.0.SUPER__4,121730464,52875000,53547688,-,mMyoCai1.0.SUPER__4,126198552,71070728,71763630,476224,693112,3,52875000_53547824_71070518_71763630
mMyoLuc1.0.SUPER__4,121730464,52260196,52867824,-,mMyoCai1.0.SUPER__4,126198552,71978096,72684104,415711,706201,3,52260000_52867824_71978096_72684297
mMyoLuc1.0.SUPER__4,121730464,51836528,52150000,-,mMyoCai1.0.SUPER__4,126198552,72699816,73053790,245958,353974,4,51836528_52150000_72699816_73053790
mMyoLuc1.0.SUPER__4,121730464,50905961,51220000,-,mMyoCai1.0.SUPER__4,126198552,74622056,74960000,245818,338673,4,50905248_51220000_74622056_74960729
mMyoLuc1.0.SUPER__4,121730464,50350000,50893125,-,mMyoCai1.0.SUPER__4,126198552,75180160,75671556,383461,544488,4,50350000_50894488_75178893_75671556
mMyoLuc1.0.SUPER__1,244374582,138860000,143213336,+,mMyoCai1.0.SUPER__1,234393516,127094521,131510000,3445725,4416949,5,138860000_143214816_127094521_131511470
mMyoLuc1.0.SUPER__4,121730464,47750636,48075000,+,mMyoCai1.0.SUPER__4,126198552,85065000,85361861,232932,325000,4,47750000_48075000_85064351_85361861
mMyoLuc1.0.SUPER__4,121730464,47527674,47588858,+,mMyoCai1.0.SUPER__4,126198552,85005000,85064264,50751,62976,5,47526024_47589000_85003484_85064463
mMyoLuc1.0.SUPER__4,121730464,47325761,47475000,+,mMyoCai1.0.SUPER__4,126198552,84850000,84998846,104034,150000,3,47325000_47475000_84849243_84998846
mMyoLuc1.0.SUPER__4,121730464,55965256,56017588,+,mMyoCai1.0.SUPER__4,126198552,68343529,68400000,47056,59200,6,55965256_56020000_68343529_68402729
mMyoLuc1.0.SUPER__4,121730464,81060736,81115000,+,mMyoCai1.0.SUPER__4,126198552,42265896,42322823,48356,56987,7,81060640_81115000_42265836_42322823
mMyoLuc1.0.SUPER__4,121730464,106707454,106747995,-,mMyoCai1.0.SUPER__4,126198552,15540000,15594400,5949548,7050427,6,101785552_108528976_13843031_20893458
mMyoLuc1.0.SUPER__4,121730464,53907102,55962417,-,mMyoCai1.0.SUPER__4,126198552,68410000,70562140,1453974,2152783,3,53907016_55963080_68409357_70562140
mMyoLuc1.0.SUPER__4,121730464,108489885,108555004,+,mMyoCai1.0.SUPER__4,126198552,13290128,13349648,94971,119004,5,108466152_108584552_13260563_13379567
mMyoLuc1.0.SUPER__2,212563729,170605000,179858720,-,mMyoCai1.0.SUPER__3,217383104,32835518,42392953,8400693,9557435,8,170605000_179858720_32835518_42392953
mMyoLuc1.0.SUPER__4,121730464,27702328,28000544,-,mMyoCai1.0.SUPER__4,126198552,99093181,99395000,251545,304149,6,27700000_28000544_99093181_99397330
mMyoLuc1.0.SUPER__4,121730464,45695384,45969270,+,mMyoCai1.0.SUPER__4,126198552,83117865,83379320,193602,273920,4,45695384_45969304_83117865_83379402
mMyoLuc1.0.SUPER__2,212563729,102866992,108188631,-,mMyoCai1.0.SUPER__3,217383104,107022368,112337915,4168166,5321728,5,102866992_108188720_107022246_112337915
mMyoLuc1.0.SUPER__4,121730464,524496,609360,-,mMyoCai1.0.SUPER__4,126198552,125826342,125903872,55513,84864,4,524496_609360_125826342_125903872
mMyoLuc1.0.SUPER__3,211792393,40756678,49696800,-,mMyoCai1.0.SUPER__2,217612966,167036149,176098464,7765206,9062367,6,40755000_49696800_167036149_176098516
mMyoLuc1.0.SUPER__3,211792393,69846305,77762535,-,mMyoCai1.0.SUPER__2,217612966,138330000,146405000,6658137,8078215,6,69845000_77764488_138328075_146406290
mMyoLuc1.0.SUPER__4,121730464,25201408,25360292,+,mMyoCai1.0.SUPER__4,126198552,102409079,102560000,129409,183040,4,25201408_25384448_102409079_102572262
mMyoLuc1.0.SUPER__4,121730464,25407256,25533972,-,mMyoCai1.0.SUPER__4,126198552,102220000,102357153,113834,137955,6,25407256_25534744_102219198_102357153
mMyoLuc1.0.SUPER__4,121730464,26262719,26389219,-,mMyoCai1.0.SUPER__4,126198552,101145000,101295000,113098,152806,5,26260592_26389744_101144476_101297282
mMyoLuc1.0.SUPER__4,121730464,47021792,47323360,+,mMyoCai1.0.SUPER__4,126198552,84498190,84781769,208440,301568,4,47021792_47323360_84498190_84781769
mMyoLuc1.0.SUPER__4,121730464,27330192,27436232,-,mMyoCai1.0.SUPER__4,126198552,100010000,100125000,88814,123916,4,27330192_27442960_100002020_100125936
mMyoLuc1.0.SUPER__4,121730464,25536321,25740000,-,mMyoCai1.0.SUPER__4,126198552,101918731,102129547,189243,210816,9,25536224_25740000_101918731_102129547
mMyoLuc1.0.SUPER__4,121730464,36330000,36468506,+,mMyoCai1.0.SUPER__4,126198552,90076716,90229752,140099,177386,6,36330000_36490000_90076716_90254102
mMyoLuc1.0.SUPER__4,121730464,27617983,27648848,-,mMyoCai1.0.SUPER__4,126198552,99410849,99450000,28805,41323,5,27617872_27648848_99410849_99452172
mMyoLuc1.0.SUPER__4,121730464,27511315,27600000,-,mMyoCai1.0.SUPER__4,126198552,99773142,99839855,56942,88832,4,27511168_27600000_99773142_99839855
mMyoLuc1.0.SUPER__4,121730464,10903440,15290000,-,mMyoCai1.0.SUPER__4,126198552,112878311,117404878,4070182,4526567,8,10903440_15290000_112878311_117404878
mMyoLuc1.0.SUPER__5,113776203,31202012,31426708,-,mMyoCai1.0.SUPER__6,110102919,83095000,83339872,220525,272492,6,31180288_31436672_83090374_83362866
mMyoLuc1.0.SUPER__5,113776203,24720640,25119872,-,mMyoCai1.0.SUPER__6,110102919,89149967,89595633,368486,445666,7,24720640_25119872_89149967_89595633
mMyoLuc1.0.SUPER__5,113776203,32907213,33075519,-,mMyoCai1.0.SUPER__6,110102919,81895000,82059872,176481,204970,7,32880000_33084488_81885723_82090693
mMyoLuc1.0.SUPER__5,113776203,91065496,91083171,-,mMyoCai1.0.SUPER__6,110102919,22475000,22495527,35440,69504,2,91065496_91135000_22442838_22495527
mMyoLuc1.0.SUPER__2,212563729,36128,8014046,-,mMyoCai1.0.SUPER__3,217383104,209295000,217347384,39046568,44620978,7,36128_43618464_172726406_217347384
mMyoLuc1.0.SUPER__5,113776203,25540000,25609376,+,mMyoCai1.0.SUPER__6,110102919,88668271,88727544,47156,69376,4,25540000_25609376_88668271_88727544
mMyoLuc1.0.SUPER__5,113776203,9140330,9719452,-,mMyoCai1.0.SUPER__6,110102919,105330416,105910000,510466,631928,5,9100000_9731928_105314181_105943608
mMyoLuc1.0.SUPER__7,98951147,93609856,93725073,+,mMyoCai1.0.SUPER__7,101286765,95675512,95810000,129685,242304,2,93530256_93745000_95595757_95838061
mMyoLuc1.0.SUPER__7,98951147,92507620,92550000,+,mMyoCai1.0.SUPER__7,101286765,94365128,94398548,38839,54232,5,92495768_92550000_94352914_94398548
mMyoLuc1.0.SUPER__7,98951147,92150791,92209713,+,mMyoCai1.0.SUPER__7,101286765,94115000,94165000,2514190,2990592,6,89386280_92376872_91330144_94279137
mMyoLuc1.0.SUPER__7,98951147,75781318,75855000,+,mMyoCai1.0.SUPER__7,101286765,77707944,77788439,61372,95000,3,75760000_75855000_77707417_77788439
mMyoLuc1.0.SUPER__6,111457381,10820104,10898696,+,mMyoCai1.0.SUPER__5,115105322,102930976,103004790,53673,78592,4,10820104_10898696_102930976_103004790
mMyoLuc1.0.SUPER__9,91912741,7084840,7115032,+,mMyoCai1.0.SUPER__8,94581416,7983128,8015000,82592717,92885211,8,745000_91851048_1638590_94523801
mMyoLuc1.0.SUPER__7,98951147,92695931,93485000,+,mMyoCai1.0.SUPER__7,101286765,94735000,95523379,686810,868336,5,92616664_93485000_94667199_95523379
mMyoLuc1.0.SUPER__8,93510542,30119336,30187988,-,mMyoCai1.0.SUPER__9,94164217,63610000,63675000,18910472,21152549,8,9480880_30190000_63607983_84760532
mMyoLuc1.0.SUPER__8,93510542,90695512,90840000,+,mMyoCai1.0.SUPER__9,94164217,1880728,2036153,124444,155425,6,90695512_90840000_1880728_2036153
