qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVel1.0.SUPER__1,234804448,43015000,43045000,-,mMyoYum1.0.SUPER__1,240344003,197208829,197238798,29032,30000,13,43015000_43045000_197208829_197238798
mMyoVel1.0.SUPER__1,234804448,102405000,102560000,+,mMyoYum1.0.SUPER__1,240344003,132963563,133118111,144197,155000,9,102405000_102560000_132963563_133118111
mMyoVel1.0.SUPER__1,234804448,230773222,230890557,+,mMyoYum1.0.SUPER__1,240344003,3022304,3130000,106049,121344,8,230772432_230893776_3022207_3133218
mMyoVel1.0.SUPER__1,234804448,228190000,228535000,-,mMyoYum1.0.SUPER__1,240344003,11884404,12227962,332121,345000,13,228190000_228535000_11884404_12227962
mMyoVel1.0.SUPER__1,234804448,91192621,91225000,+,mMyoYum1.0.SUPER__1,240344003,150750000,150780977,61649,71543,7,91155000_91225000_150709434_150780977
mMyoVel1.0.SUPER__1,234804448,234707235,234784232,-,mMyoYum1.0.SUPER__1,240344003,2346024,2423592,64867,77690,6,234707176_234784232_2345944_2423634
mMyoVel1.0.SUPER__1,234804448,232881479,233121282,-,mMyoYum1.0.SUPER__1,240344003,2095144,2345000,206346,251144,6,232880000_233121672_2094744_2345888
mMyoVel1.0.SUPER__1,234804448,127927038,128196296,-,mMyoYum1.0.SUPER__1,240344003,111612992,111874360,248091,310400,6,127885896_128196296_111612992_111898615
mMyoVel1.0.SUPER__2,216113371,171505000,171605000,+,mMyoYum1.0.SUPER__2,217333615,172390084,172492176,90975,102092,8,171505000_171605000_172390084_172492176
mMyoVel1.0.SUPER__2,216113371,211495000,211580000,+,mMyoYum1.0.SUPER__108,94119,1156,92464,83061,91308,10,211495000_211580000_1156_92464
mMyoVel1.0.SUPER__1,234804448,112297688,112535000,+,mMyoYum1.0.SUPER__1,240344003,127440354,127687539,201842,247185,6,112297688_112535000_127440354_127687539
mMyoVel1.0.SUPER__2,216113371,133490128,134064336,+,mMyoYum1.0.SUPER__2,217333615,133931209,134493857,520031,574208,8,133490128_134064336_133931209_134493857
mMyoVel1.0.SUPER__1,234804448,229680391,230767741,-,mMyoYum1.0.SUPER__1,240344003,3136368,4230000,1043635,1122389,10,229655000_230770000_3134106_4256495
mMyoVel1.0.SUPER__3,212800901,892777,943848,-,mMyoYum1.0.SUPER__137,58935,172,58739,42807,58567,5,892777_943848_172_58739
mMyoVel1.0.SUPER__3,212800901,210565000,210586800,-,mMyoYum1.0.SUPER__284,26778,31,23042,20265,23011,8,210565000_210586800_31_23042
mMyoVel1.0.SUPER__3,212800901,53690000,54499744,-,mMyoYum1.0.SUPER__3,215164148,159970519,160775157,709929,809744,7,53690000_54499744_159970519_160775157
mMyoVel1.0.SUPER__3,212800901,40000,888336,-,mMyoYum1.0.SUPER__3,215164148,214299286,215140937,796934,848336,10,40000_888336_214299286_215140937
mMyoVel1.0.SUPER__1,234804448,157503879,157575797,-,mMyoYum1.0.SUPER__1,240344003,81721598,81740000,1503080,1661271,8,155985968_157630000_81721598_83382869
mMyoVel1.0.SUPER__4,118339641,52170000,52202640,+,mMyoYum1.0.SUPER__212,32266,2902,32080,28181,32640,8,52170000_52202640_2902_32080
mMyoVel1.0.SUPER__4,118339641,13127984,13149232,-,mMyoYum1.0.SUPER__351,21917,50,21840,20610,21790,11,13127984_13149232_50_21840
mMyoVel1.0.SUPER__4,118339641,88756392,88783720,-,mMyoYum1.0.SUPER__274,27606,263,27606,27113,27392,19,88756328_88783720_263_27606
mMyoVel1.0.SUPER__4,118339641,111380683,111407648,+,mMyoYum1.0.SUPER__277,27154,1280,27148,25126,27648,9,111380000_111407648_597_27148
mMyoVel1.0.SUPER__4,118339641,22675000,22704868,-,mMyoYum1.0.SUPER__235,30212,132,29743,29319,30000,16,22675000_22705000_2_29743
mMyoVel1.0.SUPER__4,118339641,89942745,89964448,+,mMyoYum1.0.SUPER__257,28343,0,28290,21308,28290,6,89942688_89964448_0_28290
mMyoVel1.0.SUPER__4,118339641,10452426,10479815,+,mMyoYum1.0.SUPER__185,36983,5000,36564,29421,34438,8,10449480_10479815_2126_36564
mMyoVel1.0.SUPER__4,118339641,113408502,113449872,-,mMyoYum1.0.SUPER__167,42175,483,42175,40659,41692,15,113408400_113449872_483_42175
mMyoVel1.0.SUPER__3,212800901,114967258,116700000,-,mMyoYum1.0.SUPER__3,215164148,96641861,98405000,1595469,1764517,8,114965856_116700000_96641861_98406378
mMyoVel1.0.SUPER__5,113646647,101315512,101373107,+,mMyoYum1.0.SUPER__4,114657940,102571732,102630000,60261,64128,11,101315512_101379640_102571732_102634535
mMyoVel1.0.SUPER__5,113646647,99361644,99656184,+,mMyoYum1.0.SUPER__4,114657940,100620512,100907835,263021,300928,7,99355256_99656184_100611583_100907835
mMyoVel1.0.SUPER__3,212800901,108750248,112133544,-,mMyoYum1.0.SUPER__3,215164148,101602772,104946786,3099117,3383296,9,108750248_112133544_101602772_104946786
mMyoVel1.0.SUPER__1,234804448,108945271,112295000,-,mMyoYum1.0.SUPER__1,240344003,127691974,131070000,3063540,3378298,8,108945000_112295000_127691974_131070272
mMyoVel1.0.SUPER__6,110944935,86090000,86301442,+,mMyoYum1.0.SUPER__5,108188207,85286365,85499648,181601,222381,5,86090000_86309264_85286365_85508746
mMyoVel1.0.SUPER__6,110944935,88880000,88899587,-,mMyoYum1.0.SUPER__5,108188207,87927088,87945650,28987,45000,3,88880000_88925000_87905224_87945650
mMyoVel1.0.SUPER__6,110944935,105457112,105812862,-,mMyoYum1.0.SUPER__5,108188207,102720944,103069394,332234,355840,10,105457112_105812952_102720854_103069394
mMyoVel1.0.SUPER__6,110944935,105903277,106198437,+,mMyoYum1.0.SUPER__5,108188207,103070000,103370000,275842,309934,8,105902688_106207968_103069494_103379428
mMyoVel1.0.SUPER__3,212800901,210629657,212771517,-,mMyoYum1.0.SUPER__3,215164148,15000,2080000,1906602,2166272,8,210628728_212795000_2551_2080929
mMyoVel1.0.SUPER__6,110944935,89385570,89483548,+,mMyoYum1.0.SUPER__5,108188207,88140512,88245000,749094,1031992,5,89188008_90220000_88056131_88861845
mMyoVel1.0.SUPER__6,110944935,102695000,105430514,+,mMyoYum1.0.SUPER__5,108188207,100012430,102720000,2552611,2736256,10,102695000_105431256_100012430_102720803
mMyoVel1.0.SUPER__7,98831194,95999658,96040000,+,mMyoYum1.0.SUPER__6,99144700,95185256,95225334,70768,90000,5,95950000_96040000_95143625_95225334
mMyoVel1.0.SUPER__7,98831194,97225092,97524488,-,mMyoYum1.0.SUPER__6,99144700,97132742,97409744,249016,299488,6,97225000_97524488_97132742_97409820
mMyoVel1.0.SUPER__7,98831194,9752174,11075000,+,mMyoYum1.0.SUPER__6,99144700,9688456,10982458,1266464,1375000,9,9700000_11075000_9649456_10982458
mMyoVel1.0.SUPER__7,98831194,93259115,93283496,+,mMyoYum1.0.SUPER__6,99144700,93230000,93254704,34999,39808,8,93250000_93289808_93222250_93261102
mMyoVel1.0.SUPER__2,216113371,211581676,216079438,+,mMyoYum1.0.SUPER__2,217333615,212815000,217310000,4144704,4500224,9,211581280_216081504_212813174_217312055
mMyoVel1.0.SUPER__7,98831194,93337168,94244458,+,mMyoYum1.0.SUPER__6,99144700,93376392,94280456,846688,913792,9,93330992_94244784_93370212_94280980
mMyoVel1.0.SUPER__8,93943467,20489,60000,-,mMyoYum1.0.SUPER__139,57729,1429,38976,34988,39552,8,20448_60000_1429_39047
mMyoVel1.0.SUPER__8,93943467,91314777,91525000,-,mMyoYum1.0.SUPER__8,93940565,91403259,91613856,200143,220000,8,91305000_91525000_91403259_91622712
mMyoVel1.0.SUPER__8,93943467,92395512,93159544,+,mMyoYum1.0.SUPER__8,93940565,92512552,93273464,707898,764032,9,92395512_93159544_92512552_93273464
mMyoVel1.0.SUPER__8,93943467,30225256,30459832,+,mMyoYum1.0.SUPER__8,93940565,29796025,30025000,201326,239616,6,30225256_30464872_29796025_30029445
mMyoVel1.0.SUPER__8,93943467,37355000,37748080,-,mMyoYum1.0.SUPER__8,93940565,36746808,37139777,364732,393080,9,37355000_37748080_36746808_37139777
mMyoVel1.0.SUPER__8,93943467,9316309,9412035,+,mMyoYum1.0.SUPER__8,93940565,8990000,9085000,94208,120103,6,9310464_9415000_8984317_9104420
mMyoVel1.0.SUPER__10,86976347,18935000,18960000,+,mMyoYum1.0.SUPER__10,84518507,68265752,68290796,24634,25044,17,18935000_18960000_68265752_68290796
mMyoVel1.0.SUPER__8,93943467,62176,1520000,+,mMyoYum1.0.SUPER__8,93940565,123,1514752,1366087,1530247,8,62176_1520000_123_1530370
mMyoVel1.0.SUPER__10,86976347,47897936,48129744,-,mMyoYum1.0.SUPER__10,84518507,39052739,39288681,193966,235942,5,47897936_48129744_39052739_39288681
mMyoVel1.0.SUPER__10,86976347,46750256,47628464,-,mMyoYum1.0.SUPER__10,84518507,39472694,40323792,816220,878208,10,46750256_47628464_39472694_40323792
mMyoVel1.0.SUPER__10,86976347,35571798,35670000,-,mMyoYum1.0.SUPER__10,84518507,51344563,51459744,61785,131739,2,35560000_35670000_51344563_51476302
mMyoVel1.0.SUPER__10,86976347,46410200,46444773,-,mMyoYum1.0.SUPER__10,84518507,40360696,40393258,35328,44800,6,46410200_46455000_40354867_40393258
mMyoVel1.0.SUPER__3,212800901,92375000,108693976,-,mMyoYum1.0.SUPER__3,215164148,104955568,121389101,15300631,16435243,9,92375000_108693976_104953858_121389101
mMyoVel1.0.SUPER__11,84465630,521648,620000,-,mMyoYum1.0.SUPER__106,99027,816,99027,96583,98432,16,521568_620000_816_99027
mMyoVel1.0.SUPER__11,84465630,6362575,6490000,+,mMyoYum1.0.SUPER__9,85204546,6640000,6775574,127191,138154,11,6360000_6490000_6637420_6775574
mMyoVel1.0.SUPER__11,84465630,6171856,6209616,-,mMyoYum1.0.SUPER__9,85204546,6110397,6147096,35744,37760,12,6171856_6209616_6110397_6147096
mMyoVel1.0.SUPER__12,81881909,8420000,8450000,-,mMyoYum1.0.SUPER__21,19002367,12197162,12226592,29038,30000,15,8420000_8450000_12197162_12226592
mMyoVel1.0.SUPER__6,110944935,106286983,110934344,+,mMyoYum1.0.SUPER__5,108188207,103390000,108180743,4073286,4793035,6,106285000_110934344_103387708_108180743
mMyoVel1.0.SUPER__12,81881909,18440000,18560325,-,mMyoYum1.0.SUPER__86,147153,20000,139266,118252,135616,8,18440000_18565000_3650_139266
mMyoVel1.0.SUPER__12,81881909,80510136,80595000,-,mMyoYum1.0.SUPER__12,62293450,7873,97851,79993,89978,9,80510136_80595000_7873_97851
mMyoVel1.0.SUPER__11,84465630,23323040,29613654,+,mMyoYum1.0.SUPER__9,85204546,23862320,30260000,6028011,6399026,11,23323040_29615000_23862320_30261346
mMyoVel1.0.SUPER__1,234804448,122203007,127564955,-,mMyoYum1.0.SUPER__1,240344003,112189368,117634872,13886909,15247933,8,112538568_127565000_112189348_127437281
mMyoVel1.0.SUPER__12,81881909,18568459,19670000,-,mMyoYum1.0.SUPER__21,19002367,821,1110000,1046661,1117518,10,18560000_19670000_821_1118339
mMyoVel1.0.SUPER__13,71766792,61810000,62293151,+,mMyoYum1.0.SUPER__11,73253886,59423540,59900000,443305,484864,9,61810000_62294864_59423540_59901760
mMyoVel1.0.SUPER__13,71766792,58792169,58810000,-,mMyoYum1.0.SUPER__11,73253886,61712168,61730000,38862,41207,12,58770000_58810000_61712168_61753375
mMyoVel1.0.SUPER__14,61606353,330384,440000,+,mMyoYum1.0.SUPER__101,109181,26,108050,101616,109616,10,330384_440000_26_108050
mMyoVel1.0.SUPER__14,61606353,60530000,60590544,+,mMyoYum1.0.SUPER__13,60843581,60782472,60843376,59671,60904,16,60530000_60590544_60782472_60843376
mMyoVel1.0.SUPER__14,61606353,37841,329660,+,mMyoYum1.0.SUPER__13,60843581,40000,333248,300357,320126,10,10000_329744_13232_333358
mMyoVel1.0.SUPER__14,61606353,443206,1091282,+,mMyoYum1.0.SUPER__13,60843581,335128,962584,584364,718592,6,441408_1160000_333375_973214
mMyoVel1.0.SUPER__15,58782555,57900000,58760000,-,mMyoYum1.0.SUPER__14,58814807,29297,888170,813550,860000,10,57900000_58760000_29297_888170
mMyoVel1.0.SUPER__16,57037905,1970000,2219600,+,mMyoYum1.0.SUPER__23,15528544,2380712,2625977,215099,249600,7,1970000_2219600_2380712_2625977
mMyoVel1.0.SUPER__14,61606353,22870671,26574516,+,mMyoYum1.0.SUPER__13,60843581,22600128,26345000,3554252,3768286,11,22865256_26580000_22581854_26350140
mMyoVel1.0.SUPER__16,57037905,10647426,10969216,+,mMyoYum1.0.SUPER__23,15528544,10560000,10862976,279543,329216,7,10640000_10969216_10555352_10863002
mMyoVel1.0.SUPER__16,57037905,11089094,11918487,+,mMyoYum1.0.SUPER__23,15528544,10865128,11695000,793029,909696,7,11086920_11996616_10863024_11725769
mMyoVel1.0.SUPER__16,57037905,56796240,57009744,-,mMyoYum1.0.SUPER__62,235470,17569,235339,207240,217770,12,56796240_57009744_17569_235339
mMyoVel1.0.SUPER__16,57037905,10974852,11067312,-,mMyoYum1.0.SUPER__111,87695,120,87695,82823,92544,9,10974768_11067312_120_87695
mMyoVel1.0.SUPER__16,57037905,16258968,16446297,+,mMyoYum1.0.SUPER__18,41023509,1588286,1780000,238363,407808,3,16258968_16666776_1588286_1917871
mMyoVel1.0.SUPER__17,54379547,39046673,39208204,-,mMyoYum1.0.SUPER__16,53638781,14885000,15050000,185101,218570,7,39015000_39216688_14863241_15081811
mMyoVel1.0.SUPER__17,54379547,32102541,32151168,-,mMyoYum1.0.SUPER__16,53638781,21784211,21839872,47091,71168,3,32080000_32151168_21784211_21853717
mMyoVel1.0.SUPER__17,54379547,24105000,24115800,-,mMyoYum1.0.SUPER__16,53638781,29495000,29505762,86415,93976,9,24105000_24198976_29413778_29505762
mMyoVel1.0.SUPER__17,54379547,50036103,50125000,+,mMyoYum1.0.SUPER__16,53638781,4885000,4959868,73309,90000,7,50035000_50125000_4883875_4959868
mMyoVel1.0.SUPER__17,54379547,40921136,40990000,-,mMyoYum1.0.SUPER__16,53638781,13505951,13564350,54759,68864,6,40921136_40990000_13505951_13564350
mMyoVel1.0.SUPER__17,54379547,46682907,48969792,+,mMyoYum1.0.SUPER__16,53638781,5440000,7733172,2139369,2296071,9,46680000_48969792_5437101_7733172
mMyoVel1.0.SUPER__2,216113371,183043507,211492224,+,mMyoYum1.0.SUPER__2,217333615,184280000,212812204,26946202,28535239,10,183040000_211492224_184276965_212812204
mMyoVel1.0.SUPER__10,86976347,19225000,35551928,-,mMyoYum1.0.SUPER__10,84518507,51555867,68082923,15391361,16527056,10,19225000_35551928_51555867_68082923
