qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoThy1.0.SUPER__1,230758872,100945000,101039592,+,mMyoLuc1.0.SUPER__1,244374582,100171065,100249356,70392,94592,5,100945000_101039592_100171065_100249356
mMyoThy1.0.SUPER__1,230758872,123691233,124126456,+,mMyoLuc1.0.SUPER__1,244374582,138250782,138665000,332490,435584,5,123691152_124126736_138250782_138665284
mMyoThy1.0.SUPER__1,230758872,227370640,227949520,+,mMyoLuc1.0.SUPER__1,244374582,239678165,240249208,506598,578944,7,227370640_227949584_239678165_240249273
mMyoThy1.0.SUPER__1,230758872,123446024,123512537,+,mMyoLuc1.0.SUPER__1,244374582,137982176,138045000,56427,68976,6,123446024_123515000_137982145_138047226
mMyoThy1.0.SUPER__1,230758872,123060000,123318709,+,mMyoLuc1.0.SUPER__1,244374582,137720607,137980000,205894,260684,5,123060000_123320000_137720607_137981291
mMyoThy1.0.SUPER__1,230758872,122882555,123055000,+,mMyoLuc1.0.SUPER__1,244374582,137475000,137620090,91233,172824,2,122882176_123055000_137474712_137620090
mMyoThy1.0.SUPER__1,230758872,100490384,100570000,+,mMyoLuc1.0.SUPER__1,244374582,100459663,100536247,58927,79616,4,100490384_100570000_100459663_100536247
mMyoThy1.0.SUPER__1,230758872,124136447,125224664,+,mMyoLuc1.0.SUPER__1,244374582,138777581,139757668,819182,1088256,5,124136408_125224664_138777581_139757668
mMyoThy1.0.SUPER__1,230758872,225930000,227185240,+,mMyoLuc1.0.SUPER__1,244374582,238202485,239434850,1071536,1295000,6,225930000_227225000_238202485_239434850
mMyoThy1.0.SUPER__2,217270064,116665000,116699167,-,mMyoLuc1.0.SUPER__2,212563729,114995720,115029360,28738,34232,6,116665000_116699232_114995720_115029377
mMyoThy1.0.SUPER__2,217270064,107492092,107539872,-,mMyoLuc1.0.SUPER__2,212563729,105358463,105405000,46619,49872,11,107490000_107539872_105358463_105407214
mMyoThy1.0.SUPER__2,217270064,110952163,111129584,+,mMyoLuc1.0.SUPER__2,212563729,108720256,108914328,152042,194187,5,110952048_111129584_108720141_108914328
mMyoThy1.0.SUPER__1,230758872,228020128,229389344,+,mMyoLuc1.0.SUPER__1,244374582,240655893,242013490,1142954,1369216,6,228020128_229389344_240655893_242013490
mMyoThy1.0.SUPER__2,217270064,111188328,111973096,+,mMyoLuc1.0.SUPER__2,212563729,109550199,110320705,600396,784768,4,111188328_111973096_109550199_110320705
mMyoThy1.0.SUPER__2,217270064,57730609,57884389,+,mMyoLuc1.0.SUPER__2,212563729,56355000,56484280,122170,174720,4,57730000_57904720_56354390_56515162
mMyoThy1.0.SUPER__2,217270064,66585000,66640000,+,mMyoLuc1.0.SUPER__2,212563729,65077188,65132296,42284,55108,4,66585000_66640000_65077188_65132296
mMyoThy1.0.SUPER__3,224416797,146271025,146318595,+,mMyoLuc1.0.SUPER__3,211792393,23875128,23920000,13445114,15090944,8,131231136_146322080_9266889_23923480
mMyoThy1.0.SUPER__2,217270064,106606896,107489864,+,mMyoLuc1.0.SUPER__2,212563729,104465128,105352911,705612,889424,5,106605256_107489864_104463487_105352911
mMyoThy1.0.SUPER__2,217270064,216111639,217240000,+,mMyoLuc1.0.SUPER__2,212563729,211415512,212525006,920703,1128976,5,216111024_217240000_211414764_212525006
mMyoThy1.0.SUPER__3,224416797,112275000,112646310,+,mMyoLuc1.0.SUPER__3,211792393,202558811,202915000,326796,478592,4,112275000_112753592_202558811_202972169
mMyoThy1.0.SUPER__3,224416797,97502471,97623547,+,mMyoLuc1.0.SUPER__3,211792393,187715000,187871477,111431,163007,4,97498072_97640000_187708470_187871477
mMyoThy1.0.SUPER__3,224416797,162227231,163544808,+,mMyoLuc1.0.SUPER__3,211792393,39340000,40637848,1185126,1319424,8,162225384_163544808_39338110_40637848
mMyoThy1.0.SUPER__3,224416797,66745000,66990000,+,mMyoLuc1.0.SUPER__3,211792393,157344091,157609412,202890,265321,5,66745000_66990000_157344091_157609412
mMyoThy1.0.SUPER__2,217270064,104983584,106544800,+,mMyoLuc1.0.SUPER__2,212563729,102866135,104461918,1317584,1595783,6,104983584_106544800_102866135_104461918
mMyoThy1.0.SUPER__3,224416797,221339469,221512412,+,mMyoLuc1.0.SUPER__3,211792393,97140000,97310000,269283,344069,5,221338840_221679832_97139269_97483338
mMyoThy1.0.SUPER__3,224416797,28797304,28842042,+,mMyoLuc1.0.SUPER__3,211792393,119321169,119380000,156414,218899,4,28797304_29005000_119321169_119540068
mMyoThy1.0.SUPER__3,224416797,220971881,221241775,+,mMyoLuc1.0.SUPER__3,211792393,96855000,97139160,701980,912041,4,220341536_221241888_96227199_97139240
