qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoAui1.0.SUPER__1,234041302,1880000,3230000,+,mMyoEvo1.0.SUPER__1,230788764,882464,2270000,13740,1416984,15,SUPER__1 96.734,882464 2270000 1880000 3230000
mMyoAui1.0.SUPER__1,234041302,3519453,4109710,+,mMyoEvo1.0.SUPER__1,230788764,2375000,2965000,6254,640209,15,SUPER__1 97.0022,2375000 2965000 3519453 4109710
mMyoAui1.0.SUPER__1,234041302,4290041,5511060,+,mMyoEvo1.0.SUPER__1,230788764,3220000,4450000,12649,1303758,15,SUPER__1 96.7115,3220000 4450000 4290041 5511060
mMyoAui1.0.SUPER__1,234041302,5772967,10061680,+,mMyoEvo1.0.SUPER__1,230788764,4585000,8885000,41722,4331024,16,SUPER__1 97.5766,4585000 8885000 5772967 10061680
mMyoAui1.0.SUPER__1,234041302,10127610,11148912,-,mMyoEvo1.0.SUPER__1,230788764,8890000,9885000,11145,1130000,15,SUPER__1 97.1044,8890000 9885000 10127610 11148912
mMyoAui1.0.SUPER__1,234041302,11417785,65667631,+,mMyoEvo1.0.SUPER__1,230788764,9910000,64468857,536239,54608935,17,SUPER__1 98.0302,9910000 64468857 11417785 65667631
mMyoAui1.0.SUPER__1,234041302,65713812,77175000,+,mMyoEvo1.0.SUPER__1,230788764,64515000,75893178,113370,11465000,17,SUPER__1 97.9813,64515000 75893178 65713812 77175000
mMyoAui1.0.SUPER__1,234041302,77415000,80830000,+,mMyoEvo1.0.SUPER__1,230788764,76322955,79803894,34075,3480939,16,SUPER__1 97.7033,76322955 79803894 77415000 80830000
mMyoAui1.0.SUPER__1,234041302,81322890,81420000,+,mMyoEvo1.0.SUPER__1,230788764,79775000,79864474,1966,198672,12,SUPER__1 94.0473,79775000 79864474 81322890 81420000
mMyoAui1.0.SUPER__1,234041302,81417187,103150000,+,mMyoEvo1.0.SUPER__1,230788764,80010000,102074010,216557,22127260,17,SUPER__1 98.0184,80010000 102074010 81417187 103150000
mMyoAui1.0.SUPER__1,234041302,103213116,106285000,+,mMyoEvo1.0.SUPER__1,230788764,102080000,105087972,29458,3075000,17,SUPER__1 97.9499,102080000 105087972 103213116 106285000
mMyoAui1.0.SUPER__1,234041302,106344170,108645000,+,mMyoEvo1.0.SUPER__1,230788764,105090000,107404939,22914,2317018,17,SUPER__1 98.1241,105090000 107404939 106344170 108645000
mMyoAui1.0.SUPER__1,234041302,109155000,128160000,+,mMyoEvo1.0.SUPER__1,230788764,107567103,126720108,186326,19153005,17,SUPER__1 97.9161,107567103 126720108 109155000 128160000
mMyoAui1.0.SUPER__1,234041302,129587432,129940000,+,mMyoEvo1.0.SUPER__1,230788764,126990000,127310806,3545,370000,14,SUPER__1 95.5384,126990000 127310806 129587432 129940000
mMyoAui1.0.SUPER__1,234041302,129925000,130002768,+,mMyoEvo1.0.SUPER__1,230788764,127686511,127775000,2578,262498,12,SUPER__1 93.1681,127686511 127775000 129925000 130002768
mMyoAui1.0.SUPER__1,234041302,132019254,133829700,+,mMyoEvo1.0.SUPER__1,230788764,127900000,129770000,19927,2029633,17,SUPER__1 97.8147,127900000 129770000 132019254 133829700
mMyoAui1.0.SUPER__1,234041302,134191283,144533541,+,mMyoEvo1.0.SUPER__1,230788764,130170000,140685000,108636,11061464,17,SUPER__1 97.8248,130170000 140685000 134191283 144533541
mMyoAui1.0.SUPER__1,234041302,128150000,128445000,-,mMyoEvo1.0.SUPER__1,230788764,130141764,130438324,2936,296560,14,SUPER__1 96.42,130141764 130438324 128150000 128445000
mMyoAui1.0.SUPER__1,234041302,145346599,145535220,-,mMyoEvo1.0.SUPER__1,230788764,141480000,141680000,3615,369867,13,SUPER__1 94.4442,141480000 141680000 145346599 145535220
mMyoAui1.0.SUPER__1,234041302,166860000,191100000,+,mMyoEvo1.0.SUPER__1,230788764,162837434,187363923,243100,24526489,17,SUPER__1 97.8814,162837434 187363923 166860000 191100000
mMyoAui1.0.SUPER__1,234041302,191125000,231200000,+,mMyoEvo1.0.SUPER__1,230788764,187514706,227837844,395909,40323138,17,SUPER__1 97.8139,187514706 227837844 191125000 231200000
mMyoAui1.0.SUPER__1,234041302,231190000,234015000,+,mMyoEvo1.0.SUPER__1,230788764,227933321,230766453,27188,2833132,15,SUPER__1 97.0296,227933321 230766453 231190000 234015000
mMyoAui1.0.SUPER__2,216233548,201330065,216194916,-,mMyoEvo1.0.SUPER__2,217004436,35536,14970000,143131,14990619,16,SUPER__2 97.3277,35536 14970000 201330065 216194916
mMyoAui1.0.SUPER__2,216233548,158785000,171237579,-,mMyoEvo1.0.SUPER__2,217004436,45055000,57539206,420582,42581040,17,SUPER__2 97.9619,45055000 57539206 158785000 171237579
mMyoAui1.0.SUPER__2,216233548,141175000,158670000,-,mMyoEvo1.0.SUPER__2,217004436,57654300,75145000,167022,17504254,17,SUPER__2 97.912,57654300 75145000 141175000 158670000
mMyoAui1.0.SUPER__2,216233548,132705807,132879538,-,mMyoEvo1.0.SUPER__2,217004436,83320000,83495000,82650,8388183,16,SUPER__2 97.6627,83320000 83495000 132705807 132879538
