qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoOcc1.0.SUPER__1,232672419,230721245,230952020,-,mMyoYum1.0.SUPER__1,240344003,2115000,2348562,2242,236704,12,SUPER__1 93.8966,2115000 2348562 230721245 230952020
mMyoOcc1.0.SUPER__1,232672419,227615000,227723791,-,mMyoYum1.0.SUPER__1,240344003,3022131,3127836,1075,110000,12,SUPER__1 92.9662,3022131 3127836 227615000 227723791
mMyoOcc1.0.SUPER__1,232672419,227727445,228790000,+,mMyoYum1.0.SUPER__1,240344003,3135000,4285469,10836,1152310,14,SUPER__1 95.8201,3135000 4285469 227727445 228790000
mMyoOcc1.0.SUPER__1,232672419,220795000,227386663,-,mMyoYum1.0.SUPER__1,240344003,4365000,10962205,65952,6695000,15,SUPER__1 96.7535,4365000 10962205 220795000 227386663
mMyoOcc1.0.SUPER__1,232672419,205617238,220095000,-,mMyoYum1.0.SUPER__1,240344003,18144748,32855000,141849,14727101,16,SUPER__1 97.2452,18144748 32855000 205617238 220095000
mMyoOcc1.0.SUPER__1,232672419,189271014,205592027,-,mMyoYum1.0.SUPER__1,240344003,32802300,49520000,164211,16718860,16,SUPER__1 97.3958,32802300 49520000 189271014 205592027
mMyoOcc1.0.SUPER__1,232672419,157617589,187899874,-,mMyoYum1.0.SUPER__1,240344003,49520123,80245000,292400,30727205,16,SUPER__1 97.3273,49520123 80245000 157617589 187899874
mMyoOcc1.0.SUPER__1,232672419,156607017,156722420,-,mMyoYum1.0.SUPER__1,240344003,80670000,80780000,1999,210000,11,SUPER__1 92.241,80670000 80780000 156607017 156722420
mMyoOcc1.0.SUPER__1,232672419,153243748,155625000,-,mMyoYum1.0.SUPER__1,240344003,81806960,84270000,24657,2529335,15,SUPER__1 97.0391,81806960 84270000 153243748 155625000
mMyoOcc1.0.SUPER__1,232672419,137400350,153145000,-,mMyoYum1.0.SUPER__1,240344003,84473415,100615000,157872,16141786,16,SUPER__1 97.2526,84473415 100615000 137400350 153145000
mMyoOcc1.0.SUPER__1,232672419,126620000,137399880,-,mMyoYum1.0.SUPER__1,240344003,100667842,111875209,110215,11207367,16,SUPER__1 97.7156,100667842 111875209 126620000 137399880
mMyoOcc1.0.SUPER__1,232672419,125425173,126233018,-,mMyoYum1.0.SUPER__1,240344003,112185000,113010000,9166,935000,14,SUPER__1 96.3086,112185000 113010000 125425173 126233018
mMyoOcc1.0.SUPER__1,232672419,120843126,125334297,-,mMyoYum1.0.SUPER__1,240344003,113021032,117635000,140486,14418649,16,SUPER__1 97.406,113021032 117635000 120843126 125334297
mMyoOcc1.0.SUPER__1,232672419,109900000,111267492,-,mMyoYum1.0.SUPER__1,240344003,127690000,129066784,13462,1378420,14,SUPER__1 96.2664,127690000 129066784 109900000 111267492
mMyoOcc1.0.SUPER__1,232672419,107782115,109897862,-,mMyoYum1.0.SUPER__1,240344003,129135000,131335000,21434,2203159,15,SUPER__1 96.7152,129135000 131335000 107782115 109897862
mMyoOcc1.0.SUPER__1,232672419,99810000,99917606,+,mMyoYum1.0.SUPER__1,240344003,132963686,133070000,1551,160000,12,SUPER__1 93.2389,132963686 133070000 99810000 99917606
mMyoOcc1.0.SUPER__1,232672419,101397914,103170000,-,mMyoYum1.0.SUPER__1,240344003,133338821,135200000,18981,1935434,16,SUPER__1 97.1976,133338821 135200000 101397914 103170000
mMyoOcc1.0.SUPER__1,232672419,89601338,98850000,-,mMyoYum1.0.SUPER__1,240344003,139256031,148685000,91584,9430585,15,SUPER__1 97.0742,139256031 148685000 89601338 98850000
mMyoOcc1.0.SUPER__1,232672419,88975000,89685000,+,mMyoYum1.0.SUPER__1,240344003,150078317,150771272,6830,710000,14,SUPER__1 96.4019,150078317 150771272 88975000 89685000
mMyoOcc1.0.SUPER__1,232672419,88415195,88830000,-,mMyoYum1.0.SUPER__1,240344003,150944562,151405000,5688,589312,13,SUPER__1 95.5222,150944562 151405000 88415195 88830000
mMyoOcc1.0.SUPER__1,232672419,87464480,87544773,+,mMyoYum1.0.SUPER__1,240344003,151450000,151534873,1843,190956,10,SUPER__1 90.5552,151450000 151534873 87464480 87544773
mMyoOcc1.0.SUPER__1,232672419,71275566,87340344,-,mMyoYum1.0.SUPER__1,240344003,151540000,167810000,157774,16285724,15,SUPER__1 97.1358,151540000 167810000 71275566 87340344
mMyoOcc1.0.SUPER__1,232672419,66790000,71275000,-,mMyoYum1.0.SUPER__1,240344003,167927739,172391829,43766,4485000,16,SUPER__1 97.1935,167927739 172391829 66790000 71275000
mMyoOcc1.0.SUPER__1,232672419,57816126,66784782,-,mMyoYum1.0.SUPER__1,240344003,172445771,181605000,90213,9219199,15,SUPER__1 97.037,172445771 181605000 57816126 66784782
mMyoOcc1.0.SUPER__1,232672419,47868094,57733453,-,mMyoYum1.0.SUPER__1,240344003,181605000,191765000,99303,10173379,15,SUPER__1 97.1546,181605000 191765000 47868094 57733453
mMyoOcc1.0.SUPER__1,232672419,43170798,47855000,-,mMyoYum1.0.SUPER__1,240344003,191841869,196520000,46626,4742240,15,SUPER__1 97.0999,191841869 196520000 43170798 47855000
mMyoOcc1.0.SUPER__1,232672419,42758706,43131009,-,mMyoYum1.0.SUPER__1,240344003,196500000,196890000,4075,415106,14,SUPER__1 95.8703,196500000 196890000 42758706 43131009
mMyoOcc1.0.SUPER__1,232672419,42455000,42731560,-,mMyoYum1.0.SUPER__1,240344003,196830000,197122183,2832,295562,13,SUPER__1 94.5701,196830000 197122183 42455000 42731560
mMyoOcc1.0.SUPER__1,232672419,90000,42440000,-,mMyoYum1.0.SUPER__1,240344003,197217111,240309278,424306,43092167,15,SUPER__1 97.0179,197217111 240309278 90000 42440000
mMyoOcc1.0.SUPER__2,212937769,78422,1110000,+,mMyoYum1.0.SUPER__2,217333615,73518,1109428,9986,1035910,14,SUPER__2 95.7628,73518 1109428 78422 1110000
mMyoOcc1.0.SUPER__2,212937769,11469003,30813637,+,mMyoYum1.0.SUPER__2,217333615,11860000,31530000,297015,30138055,15,SUPER__2 97.1116,11860000 31530000 11469003 30813637
mMyoOcc1.0.SUPER__2,212937769,31030482,32475000,+,mMyoYum1.0.SUPER__2,217333615,31625000,33077705,15850,1620873,15,SUPER__2 96.8314,31625000 33077705 31030482 32475000
mMyoOcc1.0.SUPER__2,212937769,65889708,66093785,+,mMyoYum1.0.SUPER__2,217333615,67210000,67383911,2556,260000,12,SUPER__2 93.5989,67210000 67383911 65889708 66093785
mMyoOcc1.0.SUPER__2,212937769,92119772,102770000,+,mMyoYum1.0.SUPER__2,217333615,93850000,104787952,156267,15822811,16,SUPER__2 97.5742,93850000 104787952 92119772 102770000
mMyoOcc1.0.SUPER__2,212937769,102770776,103304942,+,mMyoYum1.0.SUPER__2,217333615,104911757,105517021,5811,605264,15,SUPER__2 96.4524,104911757 105517021 102770776 103304942
mMyoOcc1.0.SUPER__2,212937769,103695072,103909512,+,mMyoYum1.0.SUPER__2,217333615,106291056,106475000,2161,220000,12,SUPER__2 93.9267,106291056 106475000 103695072 103909512
mMyoOcc1.0.SUPER__2,212937769,103920000,104399925,+,mMyoYum1.0.SUPER__2,217333615,106541414,107045000,4966,503606,15,SUPER__2 96.7753,106541414 107045000 103920000 104399925
mMyoOcc1.0.SUPER__2,212937769,104554865,104700000,-,mMyoYum1.0.SUPER__2,217333615,107070828,107230000,1590,161937,12,SUPER__2 94.1153,107070828 107230000 104554865 104700000
mMyoOcc1.0.SUPER__2,212937769,104700615,108073859,+,mMyoYum1.0.SUPER__2,217333615,107230230,110750000,34721,3520813,16,SUPER__2 97.3806,107230230 110750000 104700615 108073859
mMyoOcc1.0.SUPER__2,212937769,108075000,114245035,+,mMyoYum1.0.SUPER__2,217333615,110832583,117160000,62658,6342874,16,SUPER__2 97.6045,110832583 117160000 108075000 114245035
mMyoOcc1.0.SUPER__2,212937769,114250485,114526160,-,mMyoYum1.0.SUPER__2,217333615,117145000,117425000,2769,283390,13,SUPER__2 95.5235,117145000 117425000 114250485 114526160
mMyoOcc1.0.SUPER__2,212937769,114530000,130565000,+,mMyoYum1.0.SUPER__2,217333615,117452178,133851174,157198,16398996,15,SUPER__2 97.0208,117452178 133851174 114530000 130565000
mMyoOcc1.0.SUPER__2,212937769,130832847,131410000,+,mMyoYum1.0.SUPER__2,217333615,133930000,134494608,6347,665000,13,SUPER__2 95.3896,133930000 134494608 130832847 131410000
mMyoOcc1.0.SUPER__2,212937769,131518575,136468378,+,mMyoYum1.0.SUPER__2,217333615,134725000,139815000,50961,5166908,15,SUPER__2 97.0467,134725000 139815000 131518575 136468378
mMyoOcc1.0.SUPER__2,212937769,136510000,138363098,+,mMyoYum1.0.SUPER__2,217333615,139857332,141725000,18428,1881473,15,SUPER__2 96.7166,139857332 141725000 136510000 138363098
mMyoOcc1.0.SUPER__2,212937769,138502866,155825000,+,mMyoYum1.0.SUPER__2,217333615,141745000,159532164,176238,17798703,16,SUPER__2 97.2352,141745000 159532164 138502866 155825000
mMyoOcc1.0.SUPER__2,212937769,156054302,156055000,+,mMyoYum1.0.SUPER__2,217333615,159700000,159791518,1714,179717,12,SUPER__2 93.3767,159700000 159791518 156054302 156055000
mMyoOcc1.0.SUPER__2,212937769,159197654,168718708,+,mMyoYum1.0.SUPER__2,217333615,162820000,172450000,95046,9738871,16,SUPER__2 97.2907,162820000 172450000 159197654 168718708
mMyoOcc1.0.SUPER__2,212937769,168787349,180110000,+,mMyoYum1.0.SUPER__2,217333615,172455000,184093017,114490,11649660,15,SUPER__2 97.1766,172455000 184093017 168787349 180110000
mMyoOcc1.0.SUPER__2,212937769,180115180,205360000,+,mMyoYum1.0.SUPER__2,217333615,184280328,209698923,246150,25418595,15,SUPER__2 97.0684,184280328 209698923 180115180 205360000
mMyoOcc1.0.SUPER__2,212937769,205320000,208350000,+,mMyoYum1.0.SUPER__2,217333615,209741940,212812294,29518,3070354,14,SUPER__2 96.4174,209741940 212812294 205320000 208350000
mMyoOcc1.0.SUPER__2,212937769,208435196,212914116,+,mMyoYum1.0.SUPER__2,217333615,212815000,217304784,42602,4489970,14,SUPER__2 95.6709,212815000 217304784 208435196 212914116
mMyoOcc1.0.SUPER__3,212757328,210593612,212503855,-,mMyoYum1.0.SUPER__3,215164148,160000,2082410,20089,2135000,13,SUPER__3 94.9439,160000 2082410 210593612 212503855
mMyoOcc1.0.SUPER__3,212757328,143205000,171876962,-,mMyoYum1.0.SUPER__3,215164148,41224435,70555000,283775,29331039,15,SUPER__3 96.978,41224435 70555000 143205000 171876962
mMyoOcc1.0.SUPER__3,212757328,142894759,143174567,+,mMyoYum1.0.SUPER__3,215164148,70580000,70880000,3431,350000,13,SUPER__3 95.2045,70580000 70880000 142894759 143174567
mMyoOcc1.0.SUPER__3,212757328,135660000,142850717,-,mMyoYum1.0.SUPER__3,215164148,70885000,78194791,70434,7313854,15,SUPER__3 96.8438,70885000 78194791 135660000 142850717
mMyoOcc1.0.SUPER__3,212757328,134342139,135604552,-,mMyoYum1.0.SUPER__3,215164148,78205100,79475000,12345,1271918,14,SUPER__3 96.2783,78205100 79475000 134342139 135604552
mMyoOcc1.0.SUPER__3,212757328,130732229,134280000,-,mMyoYum1.0.SUPER__3,215164148,79477049,83035000,34877,3560031,16,SUPER__3 97.1837,79477049 83035000 130732229 134280000
mMyoOcc1.0.SUPER__3,212757328,116683112,130670000,-,mMyoYum1.0.SUPER__3,215164148,83037543,97300000,139664,14263043,16,SUPER__3 97.5782,83037543 97300000 116683112 130670000
mMyoOcc1.0.SUPER__3,212757328,116455991,116630000,-,mMyoYum1.0.SUPER__3,215164148,97311545,97500000,1858,189316,13,SUPER__3 94.6269,97311545 97500000 116455991 116630000
mMyoOcc1.0.SUPER__3,212757328,116402764,116453128,-,mMyoYum1.0.SUPER__3,215164148,97556643,97610000,542,55725,10,SUPER__3 89.3536,97556643 97610000 116402764 116453128
mMyoOcc1.0.SUPER__3,212757328,115675000,116398471,-,mMyoYum1.0.SUPER__3,215164148,97665000,98404180,7328,740620,15,SUPER__3 96.6058,97665000 98404180 115675000 116398471
mMyoOcc1.0.SUPER__3,212757328,113625000,115618215,-,mMyoYum1.0.SUPER__3,215164148,98405598,100407364,19575,2001766,16,SUPER__3 97.4386,98405598 100407364 113625000 115618215
mMyoOcc1.0.SUPER__3,212757328,110870000,113283835,-,mMyoYum1.0.SUPER__3,215164148,101564068,104113057,24340,2548989,16,SUPER__3 97.3046,101564068 104113057 110870000 113283835
mMyoOcc1.0.SUPER__3,212757328,93761642,110709747,-,mMyoYum1.0.SUPER__3,215164148,104115000,121460000,171091,17352186,16,SUPER__3 97.5824,104115000 121460000 93761642 110709747
mMyoOcc1.0.SUPER__3,212757328,68570424,92367059,-,mMyoYum1.0.SUPER__3,215164148,121940000,146120000,237470,24323598,15,SUPER__3 97.0633,121940000 146120000 68570424 92367059
