qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoVol1.0.SUPER__1,242898603,2950491,3549355,-,mMyoYum1.0.SUPER__1,240344003,70000,675000,6272,672686,13,SUPER__1 95.4197,70000 675000 2950491 3549355
mMyoVol1.0.SUPER__1,242898603,1485000,2610000,-,mMyoYum1.0.SUPER__1,240344003,701821,1815000,10376,1125000,13,SUPER__1 94.889,701821 1815000 1485000 2610000
mMyoVol1.0.SUPER__1,242898603,1221349,1485000,+,mMyoYum1.0.SUPER__1,240344003,2115000,2349149,2552,265000,12,SUPER__1 93.2868,2115000 2349149 1221349 1485000
mMyoVol1.0.SUPER__1,242898603,5165070,5275000,+,mMyoYum1.0.SUPER__1,240344003,3022131,3125705,1032,110000,11,SUPER__1 91.7136,3022131 3125705 5165070 5275000
mMyoVol1.0.SUPER__1,242898603,4005000,5160000,-,mMyoYum1.0.SUPER__1,240344003,3137231,4229842,11064,1155000,13,SUPER__1 95.221,3137231 4229842 4005000 5160000
mMyoVol1.0.SUPER__1,242898603,6001951,13560000,+,mMyoYum1.0.SUPER__1,240344003,4365000,11878564,73141,7560000,14,SUPER__1 96.4363,4365000 11878564 6001951 13560000
mMyoVol1.0.SUPER__1,242898603,13475000,44766193,+,mMyoYum1.0.SUPER__1,240344003,18267995,49520000,306260,31295000,15,SUPER__1 96.9786,18267995 49520000 13475000 44766193
mMyoVol1.0.SUPER__1,242898603,46203115,53378755,+,mMyoYum1.0.SUPER__1,240344003,49520000,56590000,71004,7185000,15,SUPER__1 96.9804,49520000 56590000 46203115 53378755
mMyoVol1.0.SUPER__1,242898603,53528750,77462330,+,mMyoYum1.0.SUPER__1,240344003,56590000,80360000,235167,23970000,15,SUPER__1 96.8733,56590000 80360000 53528750 77462330
mMyoVol1.0.SUPER__1,242898603,77566078,77640000,+,mMyoYum1.0.SUPER__1,240344003,80380000,80462940,845,90153,10,SUPER__1 90.6709,80380000 80462940 77566078 77640000
mMyoVol1.0.SUPER__1,242898603,77735000,78820000,+,mMyoYum1.0.SUPER__1,240344003,80609107,81713205,10799,1104098,14,SUPER__1 96.2841,80609107 81713205 77735000 78820000
mMyoVol1.0.SUPER__1,242898603,78785000,81020000,+,mMyoYum1.0.SUPER__1,240344003,81815000,84125807,23206,2353205,15,SUPER__1 96.6371,81815000 84125807 78785000 81020000
mMyoVol1.0.SUPER__1,242898603,81150000,103005000,+,mMyoYum1.0.SUPER__1,240344003,84466726,106445944,212844,21979218,15,SUPER__1 96.8833,84466726 106445944 81150000 103005000
mMyoVol1.0.SUPER__1,242898603,103191622,107869779,+,mMyoYum1.0.SUPER__1,240344003,106660000,111274719,44840,4700000,15,SUPER__1 96.9081,106660000 111274719 103191622 107869779
mMyoVol1.0.SUPER__1,242898603,107945055,108245000,+,mMyoYum1.0.SUPER__1,240344003,111280519,111556223,2891,300000,13,SUPER__1 94.5931,111280519 111556223 107945055 108245000
mMyoVol1.0.SUPER__1,242898603,108246012,108475000,+,mMyoYum1.0.SUPER__1,240344003,111685000,111874891,2181,230000,11,SUPER__1 92.9148,111685000 111874891 108246012 108475000
mMyoVol1.0.SUPER__1,242898603,109168281,110000000,+,mMyoYum1.0.SUPER__1,240344003,112190000,113006480,8316,865000,14,SUPER__1 96.3289,112190000 113006480 109168281 110000000
mMyoVol1.0.SUPER__1,242898603,110073175,114697368,+,mMyoYum1.0.SUPER__1,240344003,113025000,117635000,138212,14412966,15,SUPER__1 96.8094,113025000 117635000 110073175 114697368
mMyoVol1.0.SUPER__1,242898603,124660000,128410010,+,mMyoYum1.0.SUPER__1,240344003,127692792,131335000,36248,3755000,14,SUPER__1 96.0721,127692792 131335000 124660000 128410010
mMyoVol1.0.SUPER__1,242898603,137704730,139480000,-,mMyoYum1.0.SUPER__1,240344003,133344318,135085000,17519,1785000,15,SUPER__1 96.4947,133344318 135085000 137704730 139480000
mMyoVol1.0.SUPER__1,242898603,144175000,153509727,+,mMyoYum1.0.SUPER__1,240344003,139375097,148585000,88858,9365000,15,SUPER__1 96.6417,139375097 148585000 144175000 153509727
mMyoVol1.0.SUPER__1,242898603,153825000,154380069,+,mMyoYum1.0.SUPER__1,240344003,150113930,150655000,6527,675000,14,SUPER__1 95.7521,150113930 150655000 153825000 154380069
mMyoVol1.0.SUPER__1,242898603,154840000,155215000,+,mMyoYum1.0.SUPER__1,240344003,150946089,151351434,3916,405345,13,SUPER__1 94.8115,150946089 151351434 154840000 155215000
mMyoVol1.0.SUPER__1,242898603,155671081,167124094,+,mMyoYum1.0.SUPER__1,240344003,151530000,162995000,110406,11473412,15,SUPER__1 96.7209,151530000 162995000 155671081 167124094
mMyoVol1.0.SUPER__1,242898603,167175000,171960000,+,mMyoYum1.0.SUPER__1,240344003,163005951,167809372,46732,4803421,15,SUPER__1 96.6282,163005951 167809372 167175000 171960000
mMyoVol1.0.SUPER__1,242898603,176536345,195880000,+,mMyoYum1.0.SUPER__1,240344003,172435000,191786596,188584,19353105,15,SUPER__1 96.7416,172435000 191786596 176536345 195880000
mMyoVol1.0.SUPER__1,242898603,213325000,242897535,+,mMyoYum1.0.SUPER__1,240344003,209204926,238615000,281651,29573603,15,SUPER__1 96.638,209204926 238615000 213325000 242897535
mMyoVol1.0.SUPER__10,86300628,65000,2862870,+,mMyoYum1.0.SUPER__10,84518507,27784,2745000,30723,3235000,13,SUPER__10 95.3654,27784 2745000 65000 2862870
mMyoVol1.0.SUPER__10,86300628,3357226,4121421,+,mMyoYum1.0.SUPER__10,84518507,3131175,3855000,7531,780000,13,SUPER__10 95.2107,3131175 3855000 3357226 4121421
mMyoVol1.0.SUPER__10,86300628,4145000,18898620,+,mMyoYum1.0.SUPER__10,84518507,3995337,18785000,143537,14798289,15,SUPER__10 96.8479,3995337 18785000 4145000 18898620
mMyoVol1.0.SUPER__10,86300628,20075557,39268859,+,mMyoYum1.0.SUPER__10,84518507,19885000,39025000,193314,20355000,15,SUPER__10 97.0685,19885000 39025000 20075557 39268859
mMyoVol1.0.SUPER__10,86300628,39975000,40910000,+,mMyoYum1.0.SUPER__10,84518507,39425000,40318417,9127,935000,15,SUPER__10 96.5311,39425000 40318417 39975000 40910000
mMyoVol1.0.SUPER__10,86300628,40915000,41014600,+,mMyoYum1.0.SUPER__10,84518507,40518216,40630000,1154,116491,11,SUPER__10 92.0681,40518216 40630000 40915000 41014600
mMyoVol1.0.SUPER__10,86300628,42463015,48010000,+,mMyoYum1.0.SUPER__10,84518507,41940000,47518137,66105,6890000,15,SUPER__10 96.8796,41940000 47518137 42463015 48010000
mMyoVol1.0.SUPER__10,86300628,52050000,57800000,+,mMyoYum1.0.SUPER__10,84518507,51554755,57348143,55990,5793388,15,SUPER__10 96.748,51554755 57348143 52050000 57800000
mMyoVol1.0.SUPER__10,86300628,57936267,61928213,-,mMyoYum1.0.SUPER__10,84518507,57355000,61370000,38146,4054450,14,SUPER__10 96.2961,57355000 61370000 57936267 61928213
mMyoVol1.0.SUPER__10,86300628,61989466,68525000,-,mMyoYum1.0.SUPER__10,84518507,61442333,67925000,62707,6590000,14,SUPER__10 96.1179,61442333 67925000 61989466 68525000
mMyoVol1.0.SUPER__10,86300628,68735000,84175000,+,mMyoYum1.0.SUPER__10,84518507,68901998,84421660,151825,15519662,14,SUPER__10 96.4426,68901998 84421660 68735000 84175000
mMyoVol1.0.SUPER__12,81250772,1335000,1433720,+,mMyoYum1.0.SUPER__12,62293450,692,100000,958,100000,10,SUPER__12 90.1849,692 100000 1335000 1433720
mMyoVol1.0.SUPER__12,81250772,35000,1335000,+,mMyoYum1.0.SUPER__12,62293450,138988,1390345,12539,1300000,13,SUPER__12 95.5226,138988 1390345 35000 1335000
mMyoVol1.0.SUPER__12,81250772,1666663,24315000,+,mMyoYum1.0.SUPER__12,62293450,1587809,24037782,222118,22675000,15,SUPER__12 96.9329,1587809 24037782 1666663 24315000
mMyoVol1.0.SUPER__12,81250772,24315000,41440596,+,mMyoYum1.0.SUPER__12,62293450,24128910,41205000,168186,17205000,15,SUPER__12 97.1471,24128910 41205000 24315000 41440596
mMyoVol1.0.SUPER__12,81250772,41528706,48780000,+,mMyoYum1.0.SUPER__12,62293450,41205000,48422564,70922,7260000,15,SUPER__12 96.9928,41205000 48422564 41528706 48780000
mMyoVol1.0.SUPER__12,81250772,48780000,62703262,+,mMyoYum1.0.SUPER__12,62293450,48508009,62293180,135378,13925000,15,SUPER__12 96.8313,48508009 62293180 48780000 62703262
mMyoVol1.0.SUPER__22,18865968,50000,13388536,+,mMyoYum1.0.SUPER__22,17375685,45169,13195000,129639,13340000,14,SUPER__22 96.0091,45169 13195000 50000 13388536
mMyoVol1.0.SUPER__22,18865968,13392833,16092408,+,mMyoYum1.0.SUPER__22,17375685,13100000,15740326,26152,2745000,14,SUPER__22 95.5716,13100000 15740326 13392833 16092408
mMyoVol1.0.SUPER__22,18865968,16155461,16345000,+,mMyoYum1.0.SUPER__22,17375685,15911330,16077215,1827,190000,11,SUPER__22 92.7651,15911330 16077215 16155461 16345000
mMyoVol1.0.SUPER__22,18865968,16841845,17223948,+,mMyoYum1.0.SUPER__22,17375685,16265000,16578159,3933,405000,12,SUPER__22 93.7737,16265000 16578159 16841845 17223948
mMyoVol1.0.SUPER__22,18865968,17240000,17385388,+,mMyoYum1.0.SUPER__22,17375685,16669524,16840000,1603,176247,10,SUPER__22 90.6532,16669524 16840000 17240000 17385388
mMyoVol1.0.SUPER__22,18865968,17515405,17810000,+,mMyoYum1.0.SUPER__22,17375685,16975000,17240000,2832,295000,13,SUPER__22 94.7111,16975000 17240000 17515405 17810000
