"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoAui1.0.SUPER__1",234041302,1880000,3225000,"+","mMyoVol1.0.SUPER__1",242898603,1226767,2613212,13153,1386445,13,"SUPER__1 95.0963","1226767 2613212 1880000 3225000"
"mMyoAui1.0.SUPER__1",234041302,3520000,4130000,"+","mMyoVol1.0.SUPER__1",242898603,2951715,3568088,5895,616373,13,"SUPER__1 95.1958","2951715 3568088 3520000 4130000"
"mMyoAui1.0.SUPER__1",234041302,4295000,5505000,"+","mMyoVol1.0.SUPER__1",242898603,4046782,5275617,11608,1228835,13,"SUPER__1 95.0758","4046782 5275617 4295000 5505000"
"mMyoAui1.0.SUPER__1",234041302,5775970,10064633,"+","mMyoVol1.0.SUPER__1",242898603,6011335,10310000,41062,4303970,14,"SUPER__1 96.248","6011335 10310000 5775970 10064633"
"mMyoAui1.0.SUPER__1",234041302,10178077,11173813,"-","mMyoVol1.0.SUPER__1",242898603,10295000,11280000,10047,1025000,14,"SUPER__1 95.9667","10295000 11280000 10178077 11173813"
"mMyoAui1.0.SUPER__1",234041302,11395000,53235000,"+","mMyoVol1.0.SUPER__1",242898603,11281051,53368145,408362,42087094,15,"SUPER__1 96.8863","11281051 53368145 11395000 53235000"
"mMyoAui1.0.SUPER__1",234041302,53240000,76966436,"+","mMyoVol1.0.SUPER__1",242898603,53529726,77335000,233116,23928733,15,"SUPER__1 96.8053","53529726 77335000 53240000 76966436"
"mMyoAui1.0.SUPER__1",234041302,77179681,77364417,"+","mMyoVol1.0.SUPER__1",242898603,77410000,77640000,2997,303865,12,"SUPER__1 93.5121","77410000 77640000 77179681 77364417"
"mMyoAui1.0.SUPER__1",234041302,77380000,80707334,"+","mMyoVol1.0.SUPER__1",242898603,77717455,80920000,33791,3450000,15,"SUPER__1 96.5931","77717455 80920000 77380000 80707334"
"mMyoAui1.0.SUPER__1",234041302,81420000,107375000,"+","mMyoVol1.0.SUPER__1",242898603,81116899,107179869,255598,26062970,15,"SUPER__1 96.8195","81116899 107179869 81420000 107375000"
"mMyoAui1.0.SUPER__1",234041302,107376732,107775000,"+","mMyoVol1.0.SUPER__1",242898603,107270588,107700000,4055,429489,13,"SUPER__1 95.0004","107270588 107700000 107376732 107775000"
"mMyoAui1.0.SUPER__1",234041302,107776310,108052247,"+","mMyoVol1.0.SUPER__1",242898603,107765000,108025000,2700,280000,12,"SUPER__1 94.1103","107765000 108025000 107776310 108052247"
"mMyoAui1.0.SUPER__1",234041302,108125000,108362608,"+","mMyoVol1.0.SUPER__1",242898603,108032623,108245000,2332,240000,12,"SUPER__1 93.7522","108032623 108245000 108125000 108362608"
"mMyoAui1.0.SUPER__1",234041302,108450675,108650000,"+","mMyoVol1.0.SUPER__1",242898603,108267698,108483097,2100,215399,11,"SUPER__1 92.4679","108267698 108483097 108450675 108650000"
"mMyoAui1.0.SUPER__1",234041302,109145000,109967351,"+","mMyoVol1.0.SUPER__1",242898603,109140803,109925000,8073,825000,14,"SUPER__1 96.1258","109140803 109925000 109145000 109967351"
"mMyoAui1.0.SUPER__1",234041302,109975000,113020000,"+","mMyoVol1.0.SUPER__1",242898603,110049428,113060913,29735,3045000,15,"SUPER__1 96.9532","110049428 113060913 109975000 113020000"
"mMyoAui1.0.SUPER__1",234041302,113021136,128150000,"+","mMyoVol1.0.SUPER__1",242898603,113120925,128409932,146411,15289007,14,"SUPER__1 96.4174","113120925 128409932 113021136 128150000"
"mMyoAui1.0.SUPER__1",234041302,132071437,133750000,"-","mMyoVol1.0.SUPER__1",242898603,137699230,139465000,17542,1795944,15,"SUPER__1 96.6448","137699230 139465000 132071437 133750000"
"mMyoAui1.0.SUPER__1",234041302,134577557,143940000,"+","mMyoVol1.0.SUPER__1",242898603,144200000,153631831,91071,9433519,15,"SUPER__1 96.6004","144200000 153631831 134577557 143940000"
"mMyoAui1.0.SUPER__1",234041302,143850000,144515000,"+","mMyoVol1.0.SUPER__1",242898603,153728858,154380097,6501,665000,14,"SUPER__1 96.0173","153728858 154380097 143850000 144515000"
"mMyoAui1.0.SUPER__1",234041302,144605000,144993184,"+","mMyoVol1.0.SUPER__1",242898603,154816156,155225000,3968,409571,13,"SUPER__1 95.0869","154816156 155225000 144605000 144993184"
"mMyoAui1.0.SUPER__4",125946359,1696187,4805000,"+","mMyoVol1.0.SUPER__4",121843818,25000,3019294,30555,3135000,15,"SUPER__4 96.7792","25000 3019294 1696187 4805000"
"mMyoAui1.0.SUPER__4",125946359,1325000,1627348,"-","mMyoVol1.0.SUPER__4",121843818,3021359,3296544,2954,305000,12,"SUPER__4 94.0275","3021359 3296544 1325000 1627348"
"mMyoAui1.0.SUPER__4",125946359,20000,804367,"-","mMyoVol1.0.SUPER__4",121843818,3310000,4088230,7439,785000,14,"SUPER__4 96.2102","3310000 4088230 20000 804367"
"mMyoAui1.0.SUPER__4",125946359,4818855,7980000,"+","mMyoVol1.0.SUPER__4",121843818,4090000,7232421,31314,3165000,15,"SUPER__4 97.148","4090000 7232421 4818855 7980000"
"mMyoAui1.0.SUPER__4",125946359,8080000,12780000,"+","mMyoVol1.0.SUPER__4",121843818,7325324,11979454,45503,4700000,15,"SUPER__4 97.0076","7325324 11979454 8080000 12780000"
"mMyoAui1.0.SUPER__4",125946359,13745000,18149524,"+","mMyoVol1.0.SUPER__4",121843818,12998558,17279249,42510,4405000,15,"SUPER__4 96.9365","12998558 17279249 13745000 18149524"
"mMyoAui1.0.SUPER__4",125946359,18200701,26550000,"+","mMyoVol1.0.SUPER__4",121843818,17305000,25606186,78790,8350000,15,"SUPER__4 96.9263","17305000 25606186 18200701 26550000"
"mMyoAui1.0.SUPER__4",125946359,26600798,41950000,"+","mMyoVol1.0.SUPER__4",121843818,25660000,40989743,151838,15350000,15,"SUPER__4 97.171","25660000 40989743 26600798 41950000"
"mMyoAui1.0.SUPER__4",125946359,41985000,42383659,"+","mMyoVol1.0.SUPER__4",121843818,41076639,41469193,3797,400000,13,"SUPER__4 95.3493","41076639 41469193 41985000 42383659"
"mMyoAui1.0.SUPER__4",125946359,42438456,43180000,"+","mMyoVol1.0.SUPER__4",121843818,41525000,42296744,7574,774556,14,"SUPER__4 96.0995","41525000 42296744 42438456 43180000"
"mMyoAui1.0.SUPER__4",125946359,43240000,56895000,"+","mMyoVol1.0.SUPER__4",121843818,42312093,55904942,135066,13655000,15,"SUPER__4 96.8661","42312093 55904942 43240000 56895000"
"mMyoAui1.0.SUPER__4",125946359,56950000,67915000,"+","mMyoVol1.0.SUPER__4",121843818,55956136,66872709,107297,10965000,15,"SUPER__4 96.5504","55956136 66872709 56950000 67915000"
"mMyoAui1.0.SUPER__4",125946359,69155000,69679375,"+","mMyoVol1.0.SUPER__4",121843818,68013472,68544468,5013,530996,13,"SUPER__4 95.094","68013472 68544468 69155000 69679375"
"mMyoAui1.0.SUPER__4",125946359,69690000,70080000,"+","mMyoVol1.0.SUPER__4",121843818,68611285,68963556,3700,390000,13,"SUPER__4 94.4335","68611285 68963556 69690000 70080000"
"mMyoAui1.0.SUPER__4",125946359,70087306,70780000,"+","mMyoVol1.0.SUPER__4",121843818,69050000,69637122,6513,695000,13,"SUPER__4 94.8198","69050000 69637122 70087306 70780000"
"mMyoAui1.0.SUPER__4",125946359,71005496,71325000,"+","mMyoVol1.0.SUPER__4",121843818,69967453,70303256,3189,335803,13,"SUPER__4 94.5359","69967453 70303256 71005496 71325000"
"mMyoAui1.0.SUPER__4",125946359,71345000,72070000,"+","mMyoVol1.0.SUPER__4",121843818,70573220,71285000,6941,725000,13,"SUPER__4 95.1778","70573220 71285000 71345000 72070000"
"mMyoAui1.0.SUPER__4",125946359,72316036,72569760,"+","mMyoVol1.0.SUPER__4",121843818,71365000,71613486,2489,255000,13,"SUPER__4 94.4089","71365000 71613486 72316036 72569760"
"mMyoAui1.0.SUPER__4",125946359,74056634,74505000,"+","mMyoVol1.0.SUPER__4",121843818,72580000,72940000,4990,510000,13,"SUPER__4 94.8365","72580000 72940000 74056634 74505000"
"mMyoAui1.0.SUPER__4",125946359,74615000,75235000,"+","mMyoVol1.0.SUPER__4",121843818,72944265,73542779,6069,620000,14,"SUPER__4 95.7359","72944265 73542779 74615000 75235000"
"mMyoAui1.0.SUPER__4",125946359,77725257,80720000,"+","mMyoVol1.0.SUPER__4",121843818,76090000,79014732,29295,2995000,15,"SUPER__4 96.8947","76090000 79014732 77725257 80720000"
"mMyoAui1.0.SUPER__4",125946359,80731816,82345000,"+","mMyoVol1.0.SUPER__4",121843818,79080000,80731463,16056,1652222,15,"SUPER__4 96.8602","79080000 80731463 80731816 82345000"
"mMyoAui1.0.SUPER__4",125946359,82355000,82629884,"+","mMyoVol1.0.SUPER__4",121843818,80798105,81150000,3347,352666,12,"SUPER__4 94.0413","80798105 81150000 82355000 82629884"
"mMyoAui1.0.SUPER__4",125946359,82695000,84260000,"+","mMyoVol1.0.SUPER__4",121843818,81206264,82756355,15221,1565000,14,"SUPER__4 95.6783","81206264 82756355 82695000 84260000"
"mMyoAui1.0.SUPER__4",125946359,84455228,84709433,"+","mMyoVol1.0.SUPER__4",121843818,83130366,83440000,3011,310400,12,"SUPER__4 94.2922","83130366 83440000 84455228 84709433"
"mMyoAui1.0.SUPER__4",125946359,84717478,85608003,"+","mMyoVol1.0.SUPER__4",121843818,83515000,84355000,8851,925000,14,"SUPER__4 96.1035","83515000 84355000 84717478 85608003"
"mMyoAui1.0.SUPER__4",125946359,85700572,91645000,"+","mMyoVol1.0.SUPER__4",121843818,84445463,90499778,55518,6054315,15,"SUPER__4 96.5959","84445463 90499778 85700572 91645000"
"mMyoAui1.0.SUPER__4",125946359,91645713,92144692,"+","mMyoVol1.0.SUPER__4",121843818,90555000,91060000,4803,506319,13,"SUPER__4 95.439","90555000 91060000 91645713 92144692"
"mMyoAui1.0.SUPER__4",125946359,92195000,97670000,"+","mMyoVol1.0.SUPER__4",121843818,91083224,96852260,56497,5769036,14,"SUPER__4 96.3899","91083224 96852260 92195000 97670000"
"mMyoAui1.0.SUPER__4",125946359,98224614,98738657,"+","mMyoVol1.0.SUPER__4",121843818,97410000,97955000,6730,693246,13,"SUPER__4 95.1528","97410000 97955000 98224614 98738657"
"mMyoAui1.0.SUPER__4",125946359,99050000,99880000,"+","mMyoVol1.0.SUPER__4",121843818,98147711,98970399,8090,830000,14,"SUPER__4 95.9674","98147711 98970399 99050000 99880000"
"mMyoAui1.0.SUPER__4",125946359,101149982,111546708,"+","mMyoVol1.0.SUPER__4",121843818,100220000,110605000,113724,11665000,15,"SUPER__4 96.9582","100220000 110605000 101149982 111546708"
"mMyoAui1.0.SUPER__4",125946359,111815000,116321411,"+","mMyoVol1.0.SUPER__4",121843818,110661592,115085000,44966,4565000,16,"SUPER__4 97.3262","110661592 115085000 111815000 116321411"
"mMyoAui1.0.SUPER__5",115173812,106130000,114170000,"-","mMyoVol1.0.SUPER__5",114967735,1480941,9624297,78376,8143356,14,"SUPER__5 96.0844","1480941 9624297 106130000 114170000"
"mMyoAui1.0.SUPER__5",115173812,103743352,106175000,"-","mMyoVol1.0.SUPER__5",114967735,9639378,12065000,23852,2445000,14,"SUPER__5 96.1553","9639378 12065000 103743352 106175000"
"mMyoAui1.0.SUPER__5",115173812,88485000,101546173,"-","mMyoVol1.0.SUPER__5",114967735,13980000,27025911,127941,13160000,15,"SUPER__5 96.7952","13980000 27025911 88485000 101546173"
"mMyoAui1.0.SUPER__5",115173812,84425034,88485000,"-","mMyoVol1.0.SUPER__5",114967735,27106609,31185000,39568,4089938,15,"SUPER__5 96.9155","27106609 31185000 84425034 88485000"
