qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoThy1.0.SUPER__1,230758872,230084631,230114603,-,mMyoAui1.0.SUPER__1,234041302,885000,915000,56529,80930,4,230035000_230114872_884640_965570
mMyoThy1.0.SUPER__1,230758872,230630720,230678953,-,mMyoAui1.0.SUPER__1,234041302,55328,97134,35241,49280,4,230630720_230680000_54312_97134
mMyoThy1.0.SUPER__1,230758872,88855000,88935000,-,mMyoAui1.0.SUPER__1,234041302,145346454,145424715,75947,80000,12,88855000_88935000_145346454_145424715
mMyoThy1.0.SUPER__1,230758872,227370813,227950000,+,mMyoAui1.0.SUPER__1,234041302,3520000,4109790,539056,590571,9,227370000_227950000_3519219_4109790
mMyoThy1.0.SUPER__2,217270064,116671286,116707050,+,mMyoAui1.0.SUPER__2,216233548,99660000,99695000,36778,38528,12,116670896_116709424_99659547_99697489
mMyoThy1.0.SUPER__2,217270064,185610050,185643182,-,mMyoAui1.0.SUPER__2,216233548,31580000,31615000,1338522,1569792,7,184100208_185670000_31492489_33005574
mMyoThy1.0.SUPER__2,217270064,111075000,111130972,-,mMyoAui1.0.SUPER__2,216233548,105575000,105628359,50896,57312,8,111075000_111132312_105572833_105628359
mMyoThy1.0.SUPER__2,217270064,57555293,57669277,-,mMyoAui1.0.SUPER__2,216233548,158655000,158784872,107653,130874,7,57555000_57670000_158654291_158785165
mMyoThy1.0.SUPER__2,217270064,7696066,8099544,-,mMyoAui1.0.SUPER__2,216233548,208075000,208490000,7184749,8128532,7,45000_8102312_208053809_216182341
mMyoThy1.0.SUPER__2,217270064,107496385,107554384,+,mMyoAui1.0.SUPER__2,216233548,108950000,109002248,54417,62464,8,107491920_107554384_108945069_109002248
mMyoThy1.0.SUPER__2,217270064,111159512,111973080,-,mMyoAui1.0.SUPER__2,216233548,104476448,105327012,692131,850564,6,111159512_111973080_104476448_105327012
mMyoThy1.0.SUPER__2,217270064,109518699,110305520,-,mMyoAui1.0.SUPER__2,216233548,106266688,107080000,643058,814492,5,109517552_110305520_106266656_107081148
mMyoThy1.0.SUPER__1,230758872,122882566,125224616,-,mMyoAui1.0.SUPER__1,234041302,106343562,108645000,1995132,2342400,6,122882216_125224616_106343562_108645318
mMyoThy1.0.SUPER__3,224416797,66731024,66949392,+,mMyoAui1.0.SUPER__3,215394694,160514214,160746625,190470,232411,6,66731024_66949392_160514214_160746625
mMyoThy1.0.SUPER__2,217270064,216150661,217238848,-,mMyoAui1.0.SUPER__2,216233548,23770,1073984,949700,1103488,7,216135360_217238848_23770_1105946
mMyoThy1.0.SUPER__3,224416797,53296321,53330000,+,mMyoAui1.0.SUPER__3,215394694,145790128,145822563,30642,35000,7,53295000_53330000_145788804_145822563
mMyoThy1.0.SUPER__3,224416797,221334223,221407344,+,mMyoAui1.0.SUPER__3,215394694,98510000,98585000,72929,89898,5,221321920_221410000_98497799_98587697
mMyoThy1.0.SUPER__3,224416797,220566869,220643498,+,mMyoAui1.0.SUPER__3,215394694,97835000,97905000,927951,1124872,6,220135128_221260000_97433718_98497852
mMyoThy1.0.SUPER__3,224416797,218932643,219414816,+,mMyoAui1.0.SUPER__3,215394694,96265000,96762851,1615310,1814205,7,217620384_219414816_94948646_96762851
mMyoThy1.0.SUPER__3,224416797,215880954,216230221,+,mMyoAui1.0.SUPER__3,215394694,93375768,93715000,2859107,3276416,7,214282176_217558592_91811439_94948079
