qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoAui1.0.SUPER__1,234041302,81037048,81113139,-,mMyoCai1.0.SUPER__1,234393516,154785000,154855000,104888,128512,6,80995000_81114360_154783780_154912292
mMyoAui1.0.SUPER__1,234041302,107775998,107878130,-,mMyoCai1.0.SUPER__1,234393516,126305912,126394334,81512,102272,6,107775936_107878208_126305882_126394334
mMyoAui1.0.SUPER__1,234041302,145910000,146014606,-,mMyoCai1.0.SUPER__1,234393516,89195296,89298900,127709,148749,7,145910000_146055000_89150151_89298900
mMyoAui1.0.SUPER__1,234041302,128407200,128442736,+,mMyoCai1.0.SUPER__1,234393516,100870128,100905000,248041,285800,7,128165000_128450000_100626497_100912297
mMyoAui1.0.SUPER__2,216233548,132231408,132246900,+,mMyoCai1.0.SUPER__3,217383104,133463207,133492139,26105,28932,8,132231408_132260000_133463207_133492139
mMyoAui1.0.SUPER__1,234041302,1880000,2032832,+,mMyoCai1.0.SUPER__28,1124793,948313,1109480,119037,161188,4,1880000_2032832_948313_1109501
mMyoAui1.0.SUPER__1,234041302,3520000,4110000,+,mMyoCai1.0.SUPER__1,234393516,232254896,232839249,539421,590000,9,3520000_4110000_232254896_232839249
mMyoAui1.0.SUPER__2,216233548,122151064,122209214,-,mMyoCai1.0.SUPER__3,217383104,133915000,133980000,54587,65857,7,122150992_122210000_133914214_133980071
mMyoAui1.0.SUPER__1,234041302,107953644,108594616,-,mMyoCai1.0.SUPER__1,234393516,125701245,126298464,496368,641152,5,107953464_108594616_125701245_126298588
mMyoAui1.0.SUPER__2,216233548,171427376,171665000,+,mMyoCai1.0.SUPER__3,217383104,172410128,172644599,188365,239872,5,171425128_171665000_172408229_172644599
mMyoAui1.0.SUPER__2,216233548,158458602,158695135,+,mMyoCai1.0.SUPER__3,217383104,159529976,159797483,187321,268681,4,158457424_158695248_159528802_159797483
mMyoAui1.0.SUPER__2,216233548,105631777,106215000,+,mMyoCai1.0.SUPER__3,217383104,106450000,107020419,504684,585000,7,105630000_106215000_106448216_107020419
