qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoAui1.0.SUPER__1,234041302,143805000,143850000,-,mMyoYum1.0.SUPER__1,240344003,150725797,150767257,36639,45000,6,143805000_143850000_150725797_150767257
mMyoAui1.0.SUPER__1,234041302,5398130,5502460,+,mMyoYum1.0.SUPER__1,240344003,3022207,3123680,88100,106928,6,5398072_5505000_3022207_3125706
mMyoAui1.0.SUPER__1,234041302,134262541,134355000,-,mMyoYum1.0.SUPER__1,240344003,131351157,131450000,84302,101353,6,134260000_134355000_131351157_131452510
mMyoAui1.0.SUPER__1,234041302,124135000,124385000,-,mMyoYum1.0.SUPER__1,240344003,127441341,127688424,193056,250000,5,124135000_124385000_127441341_127688424
mMyoAui1.0.SUPER__1,234041302,1880483,2092644,+,mMyoYum1.0.SUPER__1,240344003,2120000,2345920,171096,247040,4,1845640_2092680_2112375_2345928
mMyoAui1.0.SUPER__1,234041302,81345000,81384552,+,mMyoYum1.0.SUPER__1,240344003,84204251,84238815,31009,39552,6,81345000_81384552_84204251_84238815
mMyoAui1.0.SUPER__1,234041302,81396860,81444536,+,mMyoYum1.0.SUPER__1,240344003,84305000,84359693,44206,55985,6,81395512_81444536_84303708_84359693
mMyoAui1.0.SUPER__1,234041302,77125427,77218594,+,mMyoYum1.0.SUPER__1,240344003,80265000,80360000,69414,96040,4,77125128_77219336_80264701_80360741
mMyoAui1.0.SUPER__1,234041302,108145293,108430000,+,mMyoYum1.0.SUPER__1,240344003,111350000,111611425,211003,285000,4,108145000_108430000_111349712_111611425
mMyoAui1.0.SUPER__1,234041302,108451118,108636500,+,mMyoYum1.0.SUPER__1,240344003,111706408,111873448,117194,192256,3,108450768_108643024_111706115_111875017
mMyoAui1.0.SUPER__2,216233548,158660000,158784479,+,mMyoYum1.0.SUPER__2,217333615,159888193,160015000,85520,132344,3,158660000_158790000_159888193_160020537
mMyoAui1.0.SUPER__1,234041302,109173666,109969592,+,mMyoYum1.0.SUPER__1,240344003,112210000,112916428,602378,814592,5,109155000_109969592_112193928_112916428
mMyoAui1.0.SUPER__2,216233548,211585896,211664744,+,mMyoYum1.0.SUPER__108,94119,2124,91086,74483,88962,7,211585896_211664744_2124_91086
mMyoAui1.0.SUPER__2,216233548,132341702,132539439,+,mMyoYum1.0.SUPER__2,217333615,133490256,133667920,166513,254464,4,132285000_132539464_133478192_133667990
