"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoAui1.0.SUPER__1",234041302,231185000,234005000,"-","mMyoThy1#0#SUPER__1",230758872,32332,2856343,27158,2824011,15,"SUPER__1 97.0383","32332 2856343 231185000 234005000"
"mMyoAui1.0.SUPER__1",234041302,191070000,231195000,"-","mMyoThy1#0#SUPER__1",230758872,3065000,43404709,392557,40353792,17,"SUPER__1 97.8033","3065000 43404709 191070000 231195000"
"mMyoAui1.0.SUPER__1",234041302,146161348,191100000,"-","mMyoThy1#0#SUPER__1",230758872,43451792,88850000,439077,45625175,17,"SUPER__1 97.8765","43451792 88850000 146161348 191100000"
"mMyoAui1.0.SUPER__1",234041302,145346486,145424748,"-","mMyoThy1#0#SUPER__1",230758872,88855000,88935000,1701,176643,12,"SUPER__1 93.8914","88855000 88935000 145346486 145424748"
"mMyoAui1.0.SUPER__1",234041302,134155000,143865000,"-","mMyoThy1#0#SUPER__1",230758872,90923356,100706951,96027,9783595,17,"SUPER__1 97.7841","90923356 100706951 134155000 143865000"
"mMyoAui1.0.SUPER__1",234041302,132065000,133884927,"-","mMyoThy1#0#SUPER__1",230758872,101040000,102931547,18677,1896419,16,"SUPER__1 97.7372","101040000 102931547 132065000 133884927"
"mMyoAui1.0.SUPER__1",234041302,129906475,130000378,"-","mMyoThy1#0#SUPER__1",230758872,103120000,103240000,2986,303906,12,"SUPER__1 93.6704","103120000 103240000 129906475 130000378"
"mMyoAui1.0.SUPER__1",234041302,128270000,128451970,"-","mMyoThy1#0#SUPER__1",230758872,103240000,103396367,1881,190000,11,"SUPER__1 91.3813","103240000 103396367 128270000 128451970"
"mMyoAui1.0.SUPER__1",234041302,109155000,128145000,"-","mMyoThy1#0#SUPER__1",230758872,103402563,122437705,188402,19035142,17,"SUPER__1 97.932","103402563 122437705 109155000 128145000"
"mMyoAui1.0.SUPER__1",234041302,106343494,108645000,"-","mMyoThy1#0#SUPER__1",230758872,122882639,125225000,22687,2343056,17,"SUPER__1 98.1511","122882639 125225000 106343494 108645000"
"mMyoAui1.0.SUPER__1",234041302,103210760,106285000,"-","mMyoThy1#0#SUPER__1",230758872,125226237,128269763,29669,3075000,17,"SUPER__1 97.9636","125226237 128269763 103210760 106285000"
"mMyoAui1.0.SUPER__1",234041302,81322270,103150000,"-","mMyoThy1#0#SUPER__1",230758872,128273305,150400000,218477,22246042,17,"SUPER__1 98.0184","128273305 150400000 81322270 103150000"
