qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoThy1.0.SUPER__1,230758872,100520000,100570000,+,mMyoYum1.0.SUPER__1,240344003,131351894,131403438,43299,51544,6,100520000_100570000_131351894_131403438
mMyoThy1.0.SUPER__1,230758872,89045000,89132543,+,mMyoYum1.0.SUPER__1,240344003,151475880,151555000,72677,88576,7,89045000_89133576_151475880_151556052
mMyoThy1.0.SUPER__1,230758872,90848550,90965000,+,mMyoYum1.0.SUPER__1,240344003,150645000,150754418,101381,125000,6,90840000_90965000_150636382_150754418
mMyoThy1.0.SUPER__1,230758872,100935000,101039744,-,mMyoYum1.0.SUPER__1,240344003,135185926,135272995,77627,104744,5,100935000_101039744_135185926_135272995
mMyoThy1.0.SUPER__1,230758872,220426280,220465000,+,mMyoYum1.0.SUPER__1,240344003,8640923,8678421,34117,38720,8,220426280_220465000_8640923_8678421
mMyoThy1.0.SUPER__1,230758872,225931309,226040000,-,mMyoYum1.0.SUPER__1,240344003,3024033,3124744,87106,110000,5,225930000_226040000_3024033_3125788
mMyoThy1.0.SUPER__1,230758872,107095000,107329368,+,mMyoYum1.0.SUPER__1,240344003,127441647,127688634,196026,246987,5,107095000_107329368_127441647_127688634
mMyoThy1.0.SUPER__1,230758872,150375408,150464616,-,mMyoYum1.0.SUPER__1,240344003,84026842,84125000,80872,98166,7,150375400_150464616_84026842_84125008
mMyoThy1.0.SUPER__1,230758872,229167102,229389606,-,mMyoYum1.0.SUPER__1,240344003,2120000,2345000,176516,226571,5,229166000_229390000_2119546_2346117
mMyoThy1.0.SUPER__1,230758872,153790730,153800000,-,mMyoYum1.0.SUPER__1,240344003,80722898,80735000,19776,27947,4,153775552_153800000_80722898_80750845
mMyoThy1.0.SUPER__2,217270064,107491259,107554256,+,mMyoYum1.0.SUPER__2,217333615,109825000,109882669,53922,64256,7,107490000_107554256_109823740_109882669
mMyoThy1.0.SUPER__1,230758872,122898072,123055000,-,mMyoYum1.0.SUPER__1,240344003,111707634,111855968,97121,156928,3,122898072_123055000_111707634_111855968
mMyoThy1.0.SUPER__2,217270064,77695000,77727486,+,mMyoYum1.0.SUPER__2,217333615,139818358,139849432,30709,34672,8,77695000_77728920_139818358_139853030
mMyoThy1.0.SUPER__2,217270064,110021809,110190432,+,mMyoYum1.0.SUPER__2,217333615,107070256,107230000,118851,170623,4,110021024_110191647_107069510_107231369
mMyoThy1.0.SUPER__2,217270064,4550520,4633208,-,mMyoYum1.0.SUPER__108,94119,10,90974,78003,90964,8,4550520_4633208_10_90974
mMyoThy1.0.SUPER__2,217270064,7700000,8086262,-,mMyoYum1.0.SUPER__2,217333615,209285040,209680432,329705,446500,5,7700000_8093352_209259991_209706491
mMyoThy1.0.SUPER__2,217270064,185555000,185674616,-,mMyoYum1.0.SUPER__2,217333615,31540336,31578161,96446,119616,5,185555000_185674616_31460384_31578161
mMyoThy1.0.SUPER__2,217270064,110376185,111094267,-,mMyoYum1.0.SUPER__2,217333615,106315000,107044232,579495,729717,5,110376152_111094744_106314547_107044264
mMyoThy1.0.SUPER__2,217270064,149545000,149651244,-,mMyoYum1.0.SUPER__2,217333615,67335000,67452007,105231,140211,5,149545000_149673848_67311796_67452007
mMyoThy1.0.SUPER__2,217270064,149110000,149159488,-,mMyoYum1.0.SUPER__2,217333615,67573455,67619786,42772,49488,8,149110000_149159488_67573455_67619786
mMyoThy1.0.SUPER__2,217270064,111168245,111972952,-,mMyoYum1.0.SUPER__2,217333615,104675451,105539488,601990,864039,4,111168216_111972952_104675451_105539490
mMyoThy1.0.SUPER__2,217270064,216150536,217203464,-,mMyoYum1.0.SUPER__2,217333615,77259,1114938,895917,1052928,6,216150536_217203464_77259_1114938
mMyoThy1.0.SUPER__2,217270064,116666622,116702376,+,mMyoYum1.0.SUPER__2,217333615,99930000,99964543,27067,37376,4,116665000_116702376_99929320_99964543
mMyoThy1.0.SUPER__3,224416797,62524264,62716909,-,mMyoYum1.0.SUPER__3,215164148,155645216,155860000,169879,221759,5,62523008_62720000_155642153_155863912
mMyoThy1.0.SUPER__1,230758872,46566440,48741672,-,mMyoYum1.0.SUPER__1,240344003,191843167,193999150,1864636,2175232,6,46566440_48741672_191843167_193999150
mMyoThy1.0.SUPER__2,217270064,121125000,122644744,-,mMyoYum1.0.SUPER__2,217333615,93970823,95511929,1302407,1541106,6,121125000_122644744_93970823_95511929
mMyoThy1.0.SUPER__3,224416797,66745000,66973107,+,mMyoYum1.0.SUPER__3,215164148,160045398,160284824,192248,257811,4,66745000_66989864_160045398_160303209
mMyoThy1.0.SUPER__3,224416797,80635448,80754744,-,mMyoYum1.0.SUPER__3,215164148,173945693,174053072,100575,119296,7,80635448_80754744_173945693_174053072
mMyoThy1.0.SUPER__1,230758872,43400000,46559616,-,mMyoYum1.0.SUPER__1,240344003,194081529,197125558,2657415,3159616,6,43400000_46559616_194081529_197125558
mMyoThy1.0.SUPER__2,217270064,104983105,107489780,-,mMyoYum1.0.SUPER__2,217333615,109892304,112450000,1993538,2558635,5,104982224_107489872_109892234_112450869
mMyoThy1.0.SUPER__1,230758872,125228490,128269104,-,mMyoYum1.0.SUPER__1,240344003,106506693,109489360,2440085,3043072,5,125226032_128269104_106506693_109491810
mMyoThy1.0.SUPER__3,224416797,120878510,120927800,+,mMyoYum1.0.SUPER__137,58935,640,58843,38990,58651,4,120877048_120927864_192_58843
mMyoThy1.0.SUPER__3,224416797,123927432,123950000,+,mMyoYum1.0.SUPER__284,26778,64,24368,20254,24304,7,123927432_123950000_64_24368
mMyoThy1.0.SUPER__3,224416797,11555000,11671454,+,mMyoYum1.0.SUPER__3,215164148,104962133,105066752,77177,116480,3,11555000_11671480_104962133_105066825
mMyoThy1.0.SUPER__3,224416797,120930128,121795000,+,mMyoYum1.0.SUPER__3,215164148,214293686,215153726,739926,864872,6,120930128_121795000_214293686_215153726
mMyoThy1.0.SUPER__3,224416797,11725000,12734792,+,mMyoYum1.0.SUPER__3,215164148,105070771,106034302,777514,1009792,5,11725000_12734792_105070771_106034302
mMyoThy1.0.SUPER__1,230758872,63312,2860696,-,mMyoYum1.0.SUPER__1,240344003,237436016,240309140,2400395,2939648,6,63312_3002960_237427296_240309140
mMyoThy1.0.SUPER__3,224416797,146200000,146322112,+,mMyoYum1.0.SUPER__3,215164148,24118885,24241827,109852,122942,8,146200000_146322112_24118885_24241827
mMyoThy1.0.SUPER__2,217270064,112702880,116660000,-,mMyoYum1.0.SUPER__2,217333615,99980164,103914926,3202802,3957120,5,112702880_116660000_99980164_103914926
mMyoThy1.0.SUPER__3,224416797,191592432,191893360,+,mMyoYum1.0.SUPER__3,215164148,69120346,69398182,228189,300928,5,191592432_191893360_69120346_69398182
mMyoThy1.0.SUPER__3,224416797,192496703,192564360,-,mMyoYum1.0.SUPER__3,215164148,69957819,70025000,65596,73472,8,192490888_192564360_69957819_70030700
mMyoThy1.0.SUPER__3,224416797,119176408,120866648,+,mMyoYum1.0.SUPER__3,215164148,212587075,214282877,1423506,1695802,6,119176408_120866648_212587075_214282877
mMyoThy1.0.SUPER__3,224416797,193100000,193405000,-,mMyoYum1.0.SUPER__3,215164148,70550324,70875614,263146,325290,6,193100000_193405000_70550324_70875614
mMyoThy1.0.SUPER__3,224416797,191958202,192488164,+,mMyoYum1.0.SUPER__3,215164148,69400000,69952320,417037,553924,4,191956664_192488248_69398465_69952389
mMyoThy1.0.SUPER__3,224416797,10590512,11499791,+,mMyoYum1.0.SUPER__3,215164148,104122853,104940000,659421,914488,4,10590512_11505000_104122853_104945275
mMyoThy1.0.SUPER__3,224416797,1995000,3695000,+,mMyoYum1.0.SUPER__3,215164148,94661492,96369574,1348318,1708082,5,1995000_3695000_94661492_96369574
mMyoThy1.0.SUPER__3,224416797,221450000,221518631,+,mMyoYum1.0.SUPER__3,215164148,98406813,98464392,184412,230000,5,221450000_221680000_98406813_98635925
mMyoThy1.0.SUPER__3,224416797,7905512,8285757,+,mMyoYum1.0.SUPER__3,215164148,101592372,101935000,225449,382080,3,7905512_8287592_101592372_101936831
mMyoThy1.0.SUPER__3,224416797,8380256,9102432,+,mMyoYum1.0.SUPER__3,215164148,101948111,102687656,542685,739556,4,8380256_9102432_101948111_102687667
mMyoThy1.0.SUPER__3,224416797,2313,1829838,+,mMyoYum1.0.SUPER__3,215164148,92765000,94623816,1482281,1861289,5,0_1830000_92762689_94623978
mMyoThy1.0.SUPER__4,124798317,4997000,5044024,+,mMyoYum1.0.SUPER__167,42175,1280,42071,36306,47104,5,4996920_5044024_982_42071
mMyoThy1.0.SUPER__4,124798317,109596670,109617656,+,mMyoYum1.0.SUPER__351,21917,0,21688,19875,21688,9,109596536_109617656_0_21688
mMyoThy1.0.SUPER__3,224416797,121847696,123880470,+,mMyoYum1.0.SUPER__3,215164148,38824,2080000,1669857,2042240,5,121847560_123881480_38754_2080994
mMyoThy1.0.SUPER__4,124798317,30155896,30183800,+,mMyoYum1.0.SUPER__274,27606,264,27412,26404,27904,12,30155896_30183800_264_27412
mMyoThy1.0.SUPER__4,124798317,7094024,7121800,-,mMyoYum1.0.SUPER__277,27154,295,27057,24496,27776,8,7094024_7121800_295_27057
mMyoThy1.0.SUPER__2,217270064,61040,4547909,-,mMyoYum1.0.SUPER__2,217333615,212815368,217262319,3804208,4487424,6,61040_4548464_212814815_217262319
mMyoThy1.0.SUPER__4,124798317,99880768,99913152,+,mMyoYum1.0.SUPER__235,30212,152,30062,28506,32384,9,99880768_99913152_152_30062
mMyoThy1.0.SUPER__4,124798317,112336336,112364421,-,mMyoYum1.0.SUPER__185,36983,5000,36913,29336,34787,7,112336336_112367312_2126_36913
mMyoThy1.0.SUPER__4,124798317,28955944,28980392,-,mMyoYum1.0.SUPER__257,28343,0,28279,19978,28279,4,28955944_28980392_0_28279
mMyoThy1.0.SUPER__4,124798317,124563814,124796194,+,mMyoYum1.0.SUPER__24,12354025,10276520,10529832,163747,266908,3,124560000_124798317_10265283_10532191
mMyoThy1.0.SUPER__4,124798317,72954460,73057654,-,mMyoYum1.0.SUPER__1,240344003,112192848,112290000,91219,107008,7,72950856_73057864_112190901_112293685
mMyoThy1.0.SUPER__3,224416797,220849038,221241032,+,mMyoYum1.0.SUPER__3,215164148,97950000,98355000,675956,931615,4,220350384_221241520_97423868_98355483
mMyoThy1.0.SUPER__3,224416797,35125160,39778945,-,mMyoYum1.0.SUPER__3,215164148,128070000,132894964,3795927,4832811,5,35125160_39783464_128062153_132894964
mMyoThy1.0.SUPER__5,115481225,70170000,70299488,-,mMyoYum1.0.SUPER__4,114657940,69400448,69519693,107004,129488,6,70170000_70299488_69400428_69519693
mMyoThy1.0.SUPER__5,115481225,101091152,102985000,+,mMyoYum1.0.SUPER__4,114657940,100645888,102574400,1629659,1928561,6,101091152_102985000_100645888_102574449
mMyoThy1.0.SUPER__6,110604897,24134590,24329553,+,mMyoYum1.0.SUPER__5,108188207,84255000,84450000,116904,198030,2,24132048_24329808_84252233_84450263
mMyoThy1.0.SUPER__6,110604897,23210000,23234744,-,mMyoYum1.0.SUPER__5,108188207,85075000,85078929,21192,24992,6,23210000_23234744_85053937_85078929
mMyoThy1.0.SUPER__6,110604897,22281657,22570000,-,mMyoYum1.0.SUPER__5,108188207,85707363,85996928,217527,289596,4,22281488_22570000_85707363_85996959
mMyoThy1.0.SUPER__6,110604897,5012816,5344465,+,mMyoYum1.0.SUPER__5,108188207,102720928,103065000,285250,348610,6,5012816_5346512_102720928_103069538
mMyoThy1.0.SUPER__6,110604897,4780000,4925921,-,mMyoYum1.0.SUPER__5,108188207,103070000,103228152,127187,158841,6,4780000_4926544_103069311_103228152
mMyoThy1.0.SUPER__6,110604897,8391297,9825803,-,mMyoYum1.0.SUPER__5,108188207,98270416,99727017,1134533,1460188,5,8391280_9829616_98266829_99727017
mMyoThy1.0.SUPER__5,115481225,4622376,9304360,-,mMyoYum1.0.SUPER__4,114657940,4508013,9187082,4143208,4681984,7,4622376_9304360_4508013_9187082
mMyoThy1.0.SUPER__6,110604897,5378858,8094136,-,mMyoYum1.0.SUPER__5,108188207,100015504,102720000,2191470,2716032,5,5378104_8094136_100015504_102720758
mMyoThy1.0.SUPER__7,101229579,97985000,98251800,-,mMyoYum1.0.SUPER__6,99144700,97132742,97408569,197004,275827,4,97985000_98251800_97132742_97408569
mMyoThy1.0.SUPER__7,101229579,98256152,99045000,+,mMyoYum1.0.SUPER__6,99144700,97413515,98187152,599456,788848,4,98256152_99045000_97413515_98187152
mMyoThy1.0.SUPER__5,115481225,21686,4619808,+,mMyoYum1.0.SUPER__4,114657940,5000,4496190,3918008,4599808,7,20000_4619808_3316_4496190
mMyoThy1.0.SUPER__7,101229579,99047088,99308410,-,mMyoYum1.0.SUPER__6,99144700,98195144,98442832,180999,262912,4,99047088_99310000_98193568_98442832
mMyoThy1.0.SUPER__7,101229579,93846186,93962677,+,mMyoYum1.0.SUPER__6,99144700,93130000,93244048,104068,157056,4,93805624_93962680_93112019_93244051
mMyoThy1.0.SUPER__7,101229579,94133066,94173510,+,mMyoYum1.0.SUPER__6,99144700,93285374,93290000,81613,153216,2,94039720_94192936_93285374_93423311
mMyoThy1.0.SUPER__2,217270064,33505000,45010000,-,mMyoYum1.0.SUPER__2,217333615,172511748,184092770,10083495,11581022,7,33505000_45010000_172511748_184092770
mMyoThy1.0.SUPER__9,93446574,93378968,93422921,+,mMyoYum1.0.SUPER__139,57729,143,35000,40066,56032,5,93378968_93435000_143_46240
mMyoThy1.0.SUPER__9,93446574,5986,758592,-,mMyoYum1.0.SUPER__8,93940565,91638762,92394616,546873,757255,4,3648_758592_91638762_92396017
mMyoThy1.0.SUPER__9,93446574,771138,886381,-,mMyoYum1.0.SUPER__8,93940565,91436096,91559744,100396,131520,4,770592_899232_91428824_91560344
mMyoThy1.0.SUPER__9,93446574,997048,1043600,+,mMyoYum1.0.SUPER__8,93940565,91377891,91425000,39898,48489,6,997048_1045000_91377891_91426380
mMyoThy1.0.SUPER__5,115481225,107447944,113844360,+,mMyoYum1.0.SUPER__4,114657940,107256996,113592557,5370847,6396416,6,107447944_113844360_107256996_113592557
mMyoThy1.0.SUPER__9,93446574,14900460,14940000,-,mMyoYum1.0.SUPER__8,93940565,77140738,77189107,35217,48369,5,14900448_14940000_77140738_77189107
mMyoThy1.0.SUPER__9,93446574,55386408,55776800,+,mMyoYum1.0.SUPER__8,93940565,36748836,37140000,342696,392453,7,55386408_55778088_36748836_37141289
mMyoThy1.0.SUPER__2,217270064,57738126,57787419,-,mMyoYum1.0.SUPER__2,217333615,159880000,159924744,11244092,13028864,7,44965752_57994616_159609807_172491182
mMyoThy1.0.SUPER__9,93446574,82281505,82340008,-,mMyoYum1.0.SUPER__8,93940565,10479861,10525000,77174,135008,2,82205000_82340008_10479861_10612578
mMyoThy1.0.SUPER__9,93446574,62675336,62725000,-,mMyoYum1.0.SUPER__8,93940565,29801024,29861338,37990,60314,3,62675336_62725000_29801024_29861338
mMyoThy1.0.SUPER__10,87183007,52580000,52670000,+,mMyoYum1.0.SUPER__10,84518507,51307193,51387075,63228,90000,4,52580000_52670000_51307193_51387075
mMyoThy1.0.SUPER__10,87183007,62830440,62867127,+,mMyoYum1.0.SUPER__10,84518507,61385128,61418644,28727,37248,5,62830000_62867248_61384695_61418644
mMyoThy1.0.SUPER__1,230758872,117020567,121590000,-,mMyoYum1.0.SUPER__1,240344003,113025187,117633208,11714684,14412036,5,107330416_121590000_113025187_127437223
mMyoThy1.0.SUPER__10,87183007,39803590,39851441,+,mMyoYum1.0.SUPER__10,84518507,39375128,39426200,93190,155904,3,39791024_39946928_39368163_39486321
mMyoThy1.0.SUPER__10,87183007,58770000,62785000,-,mMyoYum1.0.SUPER__10,84518507,57345315,61352881,3474922,4015000,7,58770000_62785000_57345315_61352881
mMyoThy1.0.SUPER__10,87183007,19417324,21329112,+,mMyoYum1.0.SUPER__10,84518507,18745896,20749539,1657314,2005900,6,19416664_21329112_18743639_20749539
mMyoThy1.0.SUPER__11,84664575,55397758,55505000,-,mMyoYum1.0.SUPER__9,85204546,30116021,30247573,101327,131552,5,55380000_55505000_30116021_30247573
mMyoThy1.0.SUPER__10,87183007,52896664,58698984,+,mMyoYum1.0.SUPER__10,84518507,51557504,57330000,5058417,5821184,7,52896664_58717848_51557476_57346053
mMyoThy1.0.SUPER__12,80721813,74986955,75010000,+,mMyoYum1.0.SUPER__21,19002367,12745000,12771415,23136,27876,7,74985512_75010000_12743539_12771415
mMyoThy1.0.SUPER__12,80721813,75295000,75323567,-,mMyoYum1.0.SUPER__21,19002367,12845256,12884178,68625,110000,4,75295000_75405000_12807062_12884178
mMyoThy1.0.SUPER__11,84664575,81497971,83074312,-,mMyoYum1.0.SUPER__9,85204546,172,1531482,1285006,1576448,6,81497912_83074360_172_1531482
mMyoThy1.0.SUPER__12,80721813,1300000,1394848,+,mMyoYum1.0.SUPER__12,62293450,2405,98560,82676,96201,7,1300000_1394848_2405_98606
mMyoThy1.0.SUPER__3,224416797,193415128,205799768,+,mMyoYum1.0.SUPER__3,215164148,70885833,83139711,10190838,12384640,6,193415128_205799768_70885833_83139711
mMyoThy1.0.SUPER__7,101229579,20314,11053216,+,mMyoYum1.0.SUPER__6,99144700,11912,10941431,9673967,11032960,7,20256_11053216_11854_10941431
mMyoThy1.0.SUPER__13,68689766,56601167,57545536,+,mMyoYum1.0.SUPER__11,73253886,56285640,57233603,859232,947977,8,56601152_57545536_56285626_57233603
mMyoThy1.0.SUPER__10,87183007,62878870,69414872,-,mMyoYum1.0.SUPER__10,84518507,61469953,67925000,5448137,6538112,6,62876760_69414872_61469953_67934789
