qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoEvo1.0.SUPER__1,230788764,227894645,230728184,-,mMyoOcc1.0.SUPER__1,232672419,70000,2902739,27609,2850000,14,SUPER__1 96.0349,70000 2902739 227894645 230728184
mMyoEvo1.0.SUPER__1,230788764,199414969,227807126,-,mMyoOcc1.0.SUPER__1,232672419,2885000,30795000,392631,40450000,15,SUPER__1 96.9926,2885000 30795000 199414969 227807126
mMyoEvo1.0.SUPER__1,230788764,186785000,187175000,-,mMyoOcc1.0.SUPER__1,232672419,42759550,43126815,3805,390000,13,SUPER__1 95.2156,42759550 43126815 186785000 187175000
mMyoEvo1.0.SUPER__1,230788764,184305378,186810000,-,mMyoOcc1.0.SUPER__1,232672419,43162194,45655000,24327,2505000,15,SUPER__1 96.9284,43162194 45655000 184305378 186810000
mMyoEvo1.0.SUPER__1,230788764,172000000,184305000,-,mMyoOcc1.0.SUPER__1,232672419,45737326,57729361,120262,12305000,15,SUPER__1 97.1072,45737326 57729361 172000000 184305000
mMyoEvo1.0.SUPER__1,230788764,142100000,162870000,-,mMyoOcc1.0.SUPER__1,232672419,66745178,87377957,197999,20770000,15,SUPER__1 97.0536,66745178 87377957 142100000 162870000
mMyoEvo1.0.SUPER__1,230788764,130445000,139975000,-,mMyoOcc1.0.SUPER__1,232672419,89661962,98850383,92535,9530000,15,SUPER__1 96.9744,89661962 98850383 130445000 139975000
mMyoEvo1.0.SUPER__1,230788764,127980323,129722887,-,mMyoOcc1.0.SUPER__1,232672419,101485000,103160000,17239,1770000,15,SUPER__1 96.7525,101485000 103160000 127980323 129722887
mMyoEvo1.0.SUPER__1,230788764,124498506,126710000,-,mMyoOcc1.0.SUPER__1,232672419,107785473,109900000,21095,2215000,14,SUPER__1 96.2727,107785473 109900000 124498506 126710000
mMyoEvo1.0.SUPER__1,230788764,108385592,124421723,-,mMyoOcc1.0.SUPER__1,232672419,109900000,125364855,157303,16040000,15,SUPER__1 96.9486,109900000 125364855 108385592 124421723
