qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoEvo1.0.SUPER__1,230788764,64470000,64510000,+,mMyoCai1.0.SUPER__1,234393516,170126694,170165637,36437,40000,9,64470000_64510000_170126694_170165637
mMyoEvo1.0.SUPER__1,230788764,127775000,127849872,-,mMyoCai1.0.SUPER__1,234393516,102882021,102961688,64614,79667,6,127775000_127849872_102882021_102961688
mMyoEvo1.0.SUPER__1,230788764,106612099,106704872,-,mMyoCai1.0.SUPER__1,234393516,126306828,126394360,79852,92928,7,106611944_106704872_126306828_126394436
mMyoEvo1.0.SUPER__3,215147351,146898329,146975000,+,mMyoCai1.0.SUPER__2,217612966,67845000,67926473,121621,138522,8,146840000_146975000_67787951_67926473
mMyoEvo1.0.SUPER__1,230788764,127354735,127370000,-,mMyoCai1.0.SUPER__1,234393516,104794874,104809872,55348,75000,5,127295000_127370000_104794874_104859257
mMyoEvo1.0.SUPER__3,215147351,156134754,156348451,+,mMyoCai1.0.SUPER__2,217612966,59441536,59640000,176445,225000,5,156125000_156350000_59438511_59641529
mMyoEvo1.0.SUPER__3,215147351,50630000,50669076,+,mMyoCai1.0.SUPER__2,217612966,166999237,167034552,32243,40000,6,50630000_50670000_166999237_167035447
mMyoEvo1.0.SUPER__3,215147351,70400256,70479441,+,mMyoCai1.0.SUPER__2,217612966,147223833,147303456,82528,110385,5,70400128_70498944_147223833_147334218
mMyoEvo1.0.SUPER__1,230788764,106771689,107371800,-,mMyoCai1.0.SUPER__1,234393516,125693211,126298464,489048,605371,5,106771608_107371800_125693211_126298582
mMyoEvo1.0.SUPER__1,230788764,107581112,108383582,-,mMyoCai1.0.SUPER__1,234393516,124085000,124864872,680341,818848,6,107565000_108383848_124084735_124879270
mMyoEvo1.0.SUPER__3,215147351,83965288,84074355,-,mMyoCai1.0.SUPER__2,217612966,133850840,133952440,93601,109184,7,83965176_84074360_133850840_133952444
mMyoEvo1.0.SUPER__3,215147351,80025000,80512516,-,mMyoCai1.0.SUPER__2,217612966,137245392,137724396,403927,488464,6,80025000_80513464_137243163_137724396
mMyoEvo1.0.SUPER__1,230788764,3214579,4450000,+,mMyoCai1.0.SUPER__1,234393516,230490000,231692495,1103027,1255000,7,3195000_4450000_230468873_231692495
mMyoEvo1.0.SUPER__2,217004436,148850000,148894737,-,mMyoCai1.0.SUPER__3,217383104,67100000,67146476,37807,46739,6,148850000_148895000_67099737_67146476
mMyoEvo1.0.SUPER__2,217004436,116692655,116720000,+,mMyoCai1.0.SUPER__3,217383104,99750000,99777875,29055,30228,13,116690128_116720000_99747647_99777875
mMyoEvo1.0.SUPER__3,215147351,213880456,215125000,-,mMyoCai1.0.SUPER__2,217612966,20542,1252045,1094247,1244544,7,213880456_215125000_20542_1252045
mMyoEvo1.0.SUPER__3,215147351,102855000,104298720,-,mMyoCai1.0.SUPER__2,217612966,112941047,114362970,1202863,1443720,6,102855000_104298720_112941047_114362970
mMyoEvo1.0.SUPER__2,217004436,45024818,45080000,-,mMyoCai1.0.SUPER__3,217383104,172350303,172405000,46654,59525,5,45022144_45080000_172350303_172409828
mMyoEvo1.0.SUPER__2,217004436,44645392,44882436,-,mMyoCai1.0.SUPER__3,217383104,172410312,172643146,186883,242048,5,44645392_44887440_172407147_172643146
mMyoEvo1.0.SUPER__2,217004436,183869499,185350073,-,mMyoCai1.0.SUPER__3,217383104,31350000,32813464,1315241,1520512,7,183849488_185370000_31336316_32838978
mMyoEvo1.0.SUPER__3,215147351,78345632,80019488,-,mMyoCai1.0.SUPER__2,217612966,137784347,139413403,1411757,1673856,6,78345632_80019488_137784347_139413403
mMyoEvo1.0.SUPER__2,217004436,57620144,57859629,-,mMyoCai1.0.SUPER__3,217383104,159531400,159819847,207985,288844,5,57620144_57861552_159531003_159819847
mMyoEvo1.0.SUPER__2,217004436,57892432,57910922,+,mMyoCai1.0.SUPER__3,217383104,159467623,159500000,27343,69337,1,57892432_57953872_159467623_159536960
mMyoEvo1.0.SUPER__2,217004436,110284006,110962251,-,mMyoCai1.0.SUPER__3,217383104,106332256,107020000,588143,688523,6,110283272_110962312_106332195_107020718
mMyoEvo1.0.SUPER__4,126131752,57311024,57363593,+,mMyoCai1.0.SUPER__4,126198552,68343266,68400000,50261,58142,8,57311024_57365000_68343266_68401408
mMyoEvo1.0.SUPER__3,215147351,206313864,208401416,-,mMyoCai1.0.SUPER__2,217612966,7120811,9143921,1882471,2087552,9,206313864_208401416_7120811_9143921
mMyoEvo1.0.SUPER__4,126131752,53023144,53465000,-,mMyoCai1.0.SUPER__4,126198552,72611833,73099040,364770,487207,5,53023144_53465000_72611833_73099040
mMyoEvo1.0.SUPER__4,126131752,52027254,52554616,-,mMyoCai1.0.SUPER__4,126198552,74621148,75127364,411819,527488,5,52027128_52554616_74621148_75127364
mMyoEvo1.0.SUPER__4,126131752,54266869,55252810,-,mMyoCai1.0.SUPER__4,126198552,70517808,71546032,799429,1028332,5,54266840_55252824_70517732_71546064
mMyoEvo1.0.SUPER__4,126131752,51286298,51328424,+,mMyoCai1.0.SUPER__4,126198552,75760384,75815000,42110,56612,6,51285000_51329288_75759081_75815693
mMyoEvo1.0.SUPER__4,126131752,53481760,54259165,-,mMyoCai1.0.SUPER__4,126198552,71663696,72528145,595568,864644,4,53481760_54259360_71663501_72528145
mMyoEvo1.0.SUPER__4,126131752,83730000,83783887,+,mMyoCai1.0.SUPER__4,126198552,42266000,42323624,49744,57682,7,83730000_83784016_42266000_42323682
mMyoEvo1.0.SUPER__3,215147351,80583500,83869744,-,mMyoCai1.0.SUPER__2,217612966,133955234,137235000,2837261,3289744,6,80580000_83869744_133955234_137241538
mMyoEvo1.0.SUPER__4,126131752,43495242,44520000,-,mMyoCai1.0.SUPER__4,126198552,82443424,83379360,806462,1024768,5,43495232_44520000_82443424_83379382
mMyoEvo1.0.SUPER__4,126131752,112405384,112495435,+,mMyoCai1.0.SUPER__4,126198552,13840334,13925000,98680,114432,7,112405384_112519816_13840334_13951258
mMyoEvo1.0.SUPER__4,126131752,118275000,118369592,+,mMyoCai1.0.SUPER__4,126198552,7955963,8049677,86925,94592,9,118275000_118369592_7955963_8049677
mMyoEvo1.0.SUPER__1,230788764,101630288,105089472,-,mMyoCai1.0.SUPER__1,234393516,128091896,131504326,2849985,3459200,5,101630288_105089488_128091880_131504326
mMyoEvo1.0.SUPER__4,126131752,55260647,57308456,-,mMyoCai1.0.SUPER__4,126198552,68410000,70463336,1584695,2053891,4,55260592_57308976_68409481_70463372
mMyoEvo1.0.SUPER__4,126131752,41432616,42424609,-,mMyoCai1.0.SUPER__4,126198552,84465168,85369098,737076,992384,4,41432616_42425000_84464777_85369098
mMyoEvo1.0.SUPER__4,126131752,42480000,43443208,-,mMyoCai1.0.SUPER__4,126198552,83385519,84456707,842615,1071188,5,42480000_43443208_83385519_84456707
mMyoEvo1.0.SUPER__2,217004436,116729017,122709172,-,mMyoCai1.0.SUPER__3,217383104,93757152,99740000,9415261,10984236,6,116727680_127676928_88757094_99741330
mMyoEvo1.0.SUPER__4,126131752,122296673,126101673,-,mMyoCai1.0.SUPER__4,126198552,20352,3918464,3398129,3906451,7,122286888_126104872_16801_3923252
mMyoEvo1.0.SUPER__4,126131752,44530440,51115783,-,mMyoCai1.0.SUPER__4,126198552,75856368,82388725,5638807,6594560,6,44530440_51125000_75853365_82388725
mMyoEvo1.0.SUPER__4,126131752,26803884,26888045,-,mMyoCai1.0.SUPER__4,126198552,100020800,100120000,1108609,1297039,7,25645000_26891928_100008521_101305560
mMyoEvo1.0.SUPER__4,126131752,26910000,26965000,-,mMyoCai1.0.SUPER__4,126198552,99646476,99688443,38168,55000,5,26910000_26965000_99646476_99688443
mMyoEvo1.0.SUPER__4,126131752,24887891,25109872,-,mMyoCai1.0.SUPER__4,126198552,101917133,102135000,205980,224872,9,24885000_25109872_101917133_102137635
mMyoEvo1.0.SUPER__4,126131752,27045805,27417121,-,mMyoCai1.0.SUPER__4,126198552,99095000,99449872,332110,409344,6,27045656_27455000_99056871_99450005
mMyoEvo1.0.SUPER__4,126131752,33595419,34694032,-,mMyoCai1.0.SUPER__4,126198552,91801393,92913720,920073,1112382,6,33595352_34694104_91801393_92913775
mMyoEvo1.0.SUPER__6,111209695,101059269,102513688,+,mMyoCai1.0.SUPER__6,110102919,99135000,100619948,1302816,1487063,7,101057176_102513688_99132885_100619948
mMyoEvo1.0.SUPER__14,62863202,62625000,62722606,+,mMyoCai1.0.SUPER__6,110102919,109947990,110050000,94605,116557,6,62625000_62735000_109947990_110064547
mMyoEvo1.0.SUPER__5,115719297,102920000,102939218,-,mMyoCai1.0.SUPER__5,115105322,102906197,102950099,37271,50000,5,102920000_102970000_102906197_102950099
mMyoEvo1.0.SUPER__4,126131752,24485000,24880000,-,mMyoCai1.0.SUPER__4,126198552,102215568,102546918,280075,395000,4,24485000_24880000_102215568_102546918
mMyoEvo1.0.SUPER__4,126131752,17470000,17505000,+,mMyoCai1.0.SUPER__4,126198552,109664737,109702339,32243,37602,7,17470000_17505000_109664737_109702339
mMyoEvo1.0.SUPER__6,111209695,83728308,83749800,+,mMyoCai1.0.SUPER__6,110102919,82055000,82153058,228648,282752,6,83467048_83749800_81882965_82153058
