qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVol1.0.SUPER__1,242898603,77390000,77459104,-,mMyoThy1#0#SUPER__1,230758872,154375344,154449593,51989,74249,4,77390000_77459104_154375344_154449593
mMyoVol1.0.SUPER__1,242898603,77505736,77644536,-,mMyoThy1#0#SUPER__1,230758872,153931368,154039858,82379,139264,3,77505736_77645000_153930802_154039858
mMyoVol1.0.SUPER__1,242898603,80922764,81111285,-,mMyoThy1#0#SUPER__1,230758872,150270568,150464744,21273688,25240596,6,80922616_106074232_125224251_150464847
mMyoVol1.0.SUPER__1,242898603,108031752,108244738,-,mMyoThy1#0#SUPER__1,230758872,123135000,123341317,163128,213248,5,108031752_108245000_123134591_123341317
mMyoVol1.0.SUPER__3,218117916,117886705,117928576,-,mMyoThy1#0#SUPER__2,217270064,116665320,116705000,38290,44232,7,117885000_117929232_116664901_116706705
mMyoVol1.0.SUPER__1,242898603,128716980,128805096,+,mMyoThy1#0#SUPER__1,230758872,100440000,100530000,226273,299008,4,128695128_128994136_100416761_100710672
mMyoVol1.0.SUPER__3,218117916,111875000,111906280,+,mMyoThy1#0#SUPER__2,217270064,111097536,111130000,33416,65000,2,111875000_111940000_111097536_111157153
mMyoVol1.0.SUPER__3,218117916,150671664,150705584,+,mMyoThy1#0#SUPER__2,217270064,149379690,149413581,32771,33920,13,150671664_150705584_149379690_149413581
mMyoVol1.0.SUPER__1,242898603,108269187,108478247,-,mMyoThy1#0#SUPER__1,230758872,122882328,123055000,110207,213464,2,108265000_108478464_122882272_123057155
mMyoVol1.0.SUPER__1,242898603,154804810,155220000,-,mMyoThy1#0#SUPER__1,230758872,89735103,90159744,424008,572273,4,154695584_155220000_89735103_90307376
mMyoVol1.0.SUPER__3,218117916,108335361,108400000,-,mMyoThy1#0#SUPER__2,217270064,107490878,107554134,52179,64639,5,108335361_108400000_107490878_107554134
mMyoVol1.0.SUPER__1,242898603,107766853,108025000,-,mMyoThy1#0#SUPER__1,230758872,123414306,123689488,193441,276806,4,107765000_108025000_123414306_123691112
mMyoVol1.0.SUPER__1,242898603,107272223,107699872,-,mMyoThy1#0#SUPER__1,230758872,123692151,124125000,336375,434651,5,107270432_107699872_123692151_124126802
mMyoVol1.0.SUPER__3,218117916,57891257,58022754,+,mMyoThy1#0#SUPER__2,217270064,57555128,57680568,90538,133120,3,57890000_58023120_57553889_57680928
mMyoVol1.0.SUPER__3,218117916,150367545,150639168,+,mMyoThy1#0#SUPER__2,217270064,148710000,148977593,206587,278784,4,150360384_150639168_148702694_148977593
mMyoVol1.0.SUPER__3,218117916,58067897,58316904,+,mMyoThy1#0#SUPER__2,217270064,57735256,57991733,184621,259437,4,58066024_58316904_57732296_57991733
mMyoVol1.0.SUPER__3,218117916,108175000,108323096,+,mMyoThy1#0#SUPER__2,217270064,107301979,107478969,118295,176990,4,108175000_108323096_107301979_107478969
mMyoVol1.0.SUPER__2,219449921,105526683,105585000,+,mMyoThy1#0#SUPER__3,224416797,10485000,10543341,45719,60904,4,105524096_105585000_10482505_10543341
mMyoVol1.0.SUPER__2,219449921,106730000,107078667,+,mMyoThy1#0#SUPER__3,224416797,11767920,12119816,294945,351998,6,106730000_107078672_11767920_12119918
mMyoVol1.0.SUPER__1,242898603,4044765,5275433,-,mMyoThy1#0#SUPER__1,230758872,225930000,227149232,1127698,1324544,6,4005456_5330000_225876196_227185140
mMyoVol1.0.SUPER__2,219449921,104782176,105394005,+,mMyoThy1#0#SUPER__3,224416797,9830484,10470000,512839,640508,5,104782176_105395000_9830484_10470992
mMyoVol1.0.SUPER__2,219449921,104053153,104730000,+,mMyoThy1#0#SUPER__3,224416797,9115896,9828198,544021,723327,4,104050000_104730000_9104871_9828198
