"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoAui1.0.SUPER__1",234041302,3518657,4110540,"-","mMyoYum1.0.SCAF__1",240344003,70000,675000,6639,675696,13,"SUPER__1 95.0008","70000 675000 3518657 4110540"
"mMyoAui1.0.SUPER__1",234041302,2095000,3224650,"-","mMyoYum1.0.SCAF__1",240344003,700000,1815000,11070,1155000,13,"SUPER__1 94.7295","700000 1815000 2095000 3224650"
"mMyoAui1.0.SUPER__1",234041302,1880480,2095000,"+","mMyoYum1.0.SCAF__1",240344003,2120000,2347211,2397,250000,12,"SUPER__1 93.1451","2120000 2347211 1880480 2095000"
"mMyoAui1.0.SUPER__1",234041302,5397130,5502460,"+","mMyoYum1.0.SCAF__1",240344003,3022162,3125000,1008,110000,10,"SUPER__1 90.9368","3022162 3125000 5397130 5502460"
"mMyoAui1.0.SUPER__1",234041302,4264032,5394375,"-","mMyoYum1.0.SCAF__1",240344003,3135000,4270000,10750,1139236,13,"SUPER__1 94.7361","3135000 4270000 4264032 5394375"
"mMyoAui1.0.SUPER__1",234041302,5776459,10061333,"+","mMyoYum1.0.SCAF__1",240344003,4370000,8670000,42016,4345054,14,"SUPER__1 96.129","4370000 8670000 5776459 10061333"
"mMyoAui1.0.SUPER__1",234041302,10180753,11149701,"-","mMyoYum1.0.SCAF__1",240344003,8675000,9610000,9827,1015000,14,"SUPER__1 95.7007","8675000 9610000 10180753 11149701"
"mMyoAui1.0.SUPER__1",234041302,11400079,13685000,"+","mMyoYum1.0.SCAF__1",240344003,9615000,11869643,22111,2290000,14,"SUPER__1 96.1144","9615000 11869643 11400079 13685000"
"mMyoAui1.0.SUPER__1",234041302,13555000,44794310,"+","mMyoYum1.0.SCAF__1",240344003,18209396,49520000,304531,31313959,15,"SUPER__1 96.7452","18209396 49520000 13555000 44794310"
"mMyoAui1.0.SUPER__1",234041302,46170533,76978187,"+","mMyoYum1.0.SCAF__1",240344003,49520014,80265000,301565,30925000,15,"SUPER__1 96.6772","49520014 80265000 46170533 76978187"
"mMyoAui1.0.SUPER__1",234041302,77460000,78520000,"+","mMyoYum1.0.SCAF__1",240344003,80702347,81717023,10480,1060000,14,"SUPER__1 95.9849","80702347 81717023 77460000 78520000"
"mMyoAui1.0.SUPER__1",234041302,78470000,80707077,"+","mMyoYum1.0.SCAF__1",240344003,81772823,84015000,22695,2360000,14,"SUPER__1 96.3006","81772823 84015000 78470000 80707077"
"mMyoAui1.0.SUPER__1",234041302,103725820,107375000,"+","mMyoYum1.0.SCAF__1",240344003,106970000,110626511,255928,26195488,15,"SUPER__1 96.6059","106970000 110626511 103725820 107375000"
"mMyoAui1.0.SUPER__1",234041302,107375825,107775000,"+","mMyoYum1.0.SCAF__1",240344003,110716580,111115776,3787,400000,13,"SUPER__1 94.9922","110716580 111115776 107375825 107775000"
"mMyoAui1.0.SUPER__1",234041302,107775459,107895000,"+","mMyoYum1.0.SCAF__1",240344003,111180287,111272205,1159,120000,10,"SUPER__1 90.0572","111180287 111272205 107775459 107895000"
"mMyoAui1.0.SUPER__1",234041302,108145110,108430000,"+","mMyoYum1.0.SCAF__1",240344003,111350000,111611635,2721,285000,12,"SUPER__1 94.0286","111350000 111611635 108145110 108430000"
