qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVel1.0.SUPER__1,234804448,155145901,155235000,+,mMyoThy1#0#SUPER__1,230758872,150290384,150372871,76005,94744,6,155140256_155235000_150285067_150372871
mMyoVel1.0.SUPER__1,234804448,128450128,128510000,+,mMyoThy1#0#SUPER__1,230758872,123446421,123507966,48865,61545,5,128450128_128510000_123446421_123507966
mMyoVel1.0.SUPER__1,234804448,155310000,155403345,+,mMyoThy1#0#SUPER__1,230758872,150376045,150464707,78701,93440,7,155310000_155403440_150376045_150464707
mMyoVel1.0.SUPER__1,234804448,158895128,158948851,+,mMyoThy1#0#SUPER__1,230758872,153921038,153974520,40563,54144,4,158895128_158949272_153921038_153974944
mMyoVel1.0.SUPER__1,234804448,234705128,234750000,+,mMyoThy1#0#SUPER__1,230758872,230632638,230672331,23194,44872,2,234705128_234750000_230632638_230672331
mMyoVel1.0.SUPER__1,234804448,128527176,128597343,+,mMyoThy1#0#SUPER__1,230758872,123623605,123689696,56586,71808,5,128527176_128598984_123623605_123691259
mMyoVel1.0.SUPER__1,234804448,158565000,158716960,+,mMyoThy1#0#SUPER__1,230758872,153787901,153910000,103097,153600,4,158565000_158718600_153787901_153911774
mMyoVel1.0.SUPER__2,216113371,109605128,109662088,+,mMyoThy1#0#SUPER__2,217270064,107490466,107554117,53571,63651,7,109605128_109662088_107490466_107554117
mMyoVel1.0.SUPER__1,234804448,106155188,106240223,-,mMyoThy1#0#SUPER__1,230758872,100415128,100494744,220872,292683,4,105961864_106242824_100412559_100705242
mMyoVel1.0.SUPER__1,234804448,127938457,128105584,+,mMyoThy1#0#SUPER__1,230758872,122895640,123055000,114603,181120,3,127926536_128107656_122885210_123057088
mMyoVel1.0.SUPER__2,216113371,139260000,139298369,+,mMyoThy1#0#SUPER__2,217270064,77696049,77728152,31920,44032,5,139260000_139304032_77696049_77731876
mMyoVel1.0.SUPER__2,216113371,106876536,107049075,+,mMyoThy1#0#SUPER__2,217270064,110021097,110191356,119319,172672,3,106876536_107049208_110021097_110191356
mMyoVel1.0.SUPER__2,216113371,159144336,159177008,-,mMyoThy1#0#SUPER__2,217270064,57745313,57780000,35984,46491,5,159140000_159185000_57736117_57782608
mMyoVel1.0.SUPER__2,216113371,207882632,207925147,-,mMyoThy1#0#SUPER__2,217270064,8260568,8282056,32406513,36816235,7,171505000_207968208_8260568_45076803
mMyoVel1.0.SUPER__2,216113371,100075211,100108233,+,mMyoThy1#0#SUPER__2,217270064,116666269,116702248,31265,45000,4,100075000_100120000_116666269_116706512
mMyoVel1.0.SUPER__2,216113371,664852,807032,+,mMyoThy1#0#SUPER__2,217270064,216140384,216294624,658741,839413,5,256_808192_215456359_216295772
mMyoVel1.0.SUPER__1,234804448,126863326,127563232,+,mMyoThy1#0#SUPER__1,230758872,121630000,122438743,597741,811348,5,126861152_127563232_121627395_122438743
mMyoVel1.0.SUPER__2,216113371,208018088,208419812,-,mMyoThy1#0#SUPER__2,217270064,7695000,8091398,337394,405032,6,208015000_208420032_7694786_8091398
mMyoVel1.0.SUPER__2,216113371,106124609,106861799,-,mMyoThy1#0#SUPER__2,217270064,110376208,111129616,582384,756007,5,106121064_106861800_110376207_111132214
