"qname","qlen","qstart","qend","strand","tname","tlen","tstart","tend","nmatch","alen","mapq","id","seq"
"mMyoEvo1.0.SUPER__1",230788764,199415000,227869704,"-","mMyoLuc1.0.SUPER__1",244374582,2890000,30774861,297446,31315000,15,"SUPER__1 96.9681","2890000 30774861 199415000 227869704"
"mMyoEvo1.0.SUPER__1",230788764,187515173,199415000,"-","mMyoLuc1.0.SUPER__1",244374582,30857198,42550000,115926,11995000,15,"SUPER__1 96.94","30857198 42550000 187515173 199415000"
"mMyoEvo1.0.SUPER__1",230788764,142085000,184305000,"-","mMyoLuc1.0.SUPER__1",244374582,45707519,87150245,415595,42220000,15,"SUPER__1 97.0949","45707519 87150245 142085000 184305000"
"mMyoEvo1.0.SUPER__1",230788764,130405000,140110000,"-","mMyoLuc1.0.SUPER__1",244374582,89862844,99228788,93567,9705000,15,"SUPER__1 96.9936","89862844 99228788 130405000 140110000"
"mMyoEvo1.0.SUPER__1",230788764,128750000,129415000,"-","mMyoLuc1.0.SUPER__1",244374582,106522435,107185531,6496,665000,14,"SUPER__1 96.1993","106522435 107185531 128750000 129415000"
"mMyoEvo1.0.SUPER__1",230788764,128815000,129710000,"+","mMyoLuc1.0.SUPER__1",244374582,112330213,113224298,8839,895000,14,"SUPER__1 96.1444","112330213 113224298 128815000 129710000"
"mMyoEvo1.0.SUPER__1",230788764,108385592,126715000,"-","mMyoLuc1.0.SUPER__1",244374582,118332897,136079087,181319,18330000,15,"SUPER__1 96.9332","118332897 136079087 108385592 126715000"
"mMyoEvo1.0.SUPER__1",230788764,107565650,108383790,"-","mMyoLuc1.0.SUPER__1",244374582,136210771,136895000,7994,820000,14,"SUPER__1 96.3076","136210771 136895000 107565650 108383790"
"mMyoEvo1.0.SUPER__1",230788764,107295000,107405000,"-","mMyoLuc1.0.SUPER__1",244374582,137475000,137601823,1214,127677,10,"SUPER__1 91.083","137475000 137601823 107295000 107405000"
"mMyoEvo1.0.SUPER__1",230788764,106970605,107229137,"-","mMyoLuc1.0.SUPER__1",244374582,137720448,137980000,2566,260278,13,"SUPER__1 94.5035","137720448 137980000 106970605 107229137"
"mMyoEvo1.0.SUPER__1",230788764,106611537,106720983,"-","mMyoLuc1.0.SUPER__1",244374582,138050000,138184673,1324,138708,11,"SUPER__1 92.1224","138050000 138184673 106611537 106720983"
"mMyoEvo1.0.SUPER__1",230788764,106180738,106610000,"-","mMyoLuc1.0.SUPER__1",244374582,138252775,138665000,4160,430000,14,"SUPER__1 95.5589","138252775 138665000 106180738 106610000"
"mMyoEvo1.0.SUPER__1",230788764,105090000,106170000,"-","mMyoLuc1.0.SUPER__1",244374582,138777271,139756796,10649,1080000,15,"SUPER__1 96.6981","138777271 139756796 105090000 106170000"
"mMyoEvo1.0.SUPER__1",230788764,102080000,105088799,"-","mMyoLuc1.0.SUPER__1",244374582,139810000,142712358,29298,3010000,15,"SUPER__1 97.1139","139810000 142712358 102080000 105088799"
"mMyoEvo1.0.SUPER__1",230788764,79950846,102075000,"-","mMyoLuc1.0.SUPER__1",244374582,142800457,164170000,216286,22130000,15,"SUPER__1 97.1578","142800457 164170000 79950846 102075000"
"mMyoEvo1.0.SUPER__1",230788764,75955000,76160000,"-","mMyoLuc1.0.SUPER__1",244374582,167850489,167997636,1966,205000,12,"SUPER__1 93.28","167850489 167997636 75955000 76160000"
"mMyoEvo1.0.SUPER__1",230788764,73578068,75816975,"-","mMyoLuc1.0.SUPER__1",244374582,168025000,170170000,22094,2245000,15,"SUPER__1 97.0135","168025000 170170000 73578068 75816975"
"mMyoEvo1.0.SUPER__1",230788764,64512229,73524563,"-","mMyoLuc1.0.SUPER__1",244374582,170171860,179010000,89105,9015000,16,"SUPER__1 97.2625","170171860 179010000 64512229 73524563"
"mMyoEvo1.0.SUPER__1",230788764,26725000,64468515,"-","mMyoLuc1.0.SUPER__1",244374582,179050937,215971676,369813,37745000,16,"SUPER__1 97.2944","179050937 215971676 26725000 64468515"
"mMyoEvo1.0.SUPER__1",230788764,4590000,26725000,"-","mMyoLuc1.0.SUPER__1",244374582,216023206,237704648,216000,22135000,15,"SUPER__1 97.1212","216023206 237704648 4590000 26725000"
"mMyoEvo1.0.SUPER__1",230788764,3180000,4439378,"-","mMyoLuc1.0.SUPER__1",244374582,238205000,239405946,11988,1265000,14,"SUPER__1 95.6256","238205000 239405946 3180000 4439378"
"mMyoEvo1.0.SUPER__1",230788764,2375000,2976356,"+","mMyoLuc1.0.SUPER__1",244374582,239677998,240260000,5957,605000,13,"SUPER__1 95.4785","239677998 240260000 2375000 2976356"
"mMyoEvo1.0.SUPER__1",230788764,880943,2245000,"-","mMyoLuc1.0.SUPER__1",244374582,240654819,242015000,13157,1365000,14,"SUPER__1 95.5372","240654819 242015000 880943 2245000"
"mMyoEvo1.0.SUPER__2",217004436,7833816,44895000,"+","mMyoLuc1.0.SUPER__2",212563729,7665000,43893003,361821,37120000,15,"SUPER__2 97.1245","7665000 43893003 7833816 44895000"
"mMyoEvo1.0.SUPER__2",217004436,44860997,57450000,"+","mMyoLuc1.0.SUPER__2",212563729,43935000,56312621,119440,12590000,16,"SUPER__2 97.1899","43935000 56312621 44860997 57450000"
"mMyoEvo1.0.SUPER__2",217004436,57650000,57835000,"+","mMyoLuc1.0.SUPER__2",212563729,56485747,56679573,1871,193826,10,"SUPER__2 90.8628","56485747 56679573 57650000 57835000"
"mMyoEvo1.0.SUPER__2",217004436,57953979,66450000,"+","mMyoLuc1.0.SUPER__2",212563729,56735000,65062434,81570,8500000,16,"SUPER__2 97.2315","56735000 65062434 57953979 66450000"
"mMyoEvo1.0.SUPER__2",217004436,66375000,75155000,"+","mMyoLuc1.0.SUPER__2",212563729,65067611,73720795,85381,8780000,15,"SUPER__2 96.9322","65067611 73720795 66375000 75155000"
"mMyoEvo1.0.SUPER__2",217004436,75570000,80545000,"+","mMyoLuc1.0.SUPER__2",212563729,74239303,79039937,49062,4975000,15,"SUPER__2 96.9002","74239303 79039937 75570000 80545000"
"mMyoEvo1.0.SUPER__2",217004436,80606092,82665000,"+","mMyoLuc1.0.SUPER__2",212563729,79048206,81091891,19920,2060000,14,"SUPER__2 96.4094","79048206 81091891 80606092 82665000"
