qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVel1.0.SUPER__1,234804448,158895991,158946662,+,mMyoCai1.0.SUPER__1,234393516,158295000,158335000,38523,54528,5,158895000_158949528_158294008_158337844
mMyoVel1.0.SUPER__1,234804448,67378930,67445000,+,mMyoCai1.0.SUPER__1,234393516,67991024,68053125,18298958,21565584,6,46074096_67445000_46487541_68053125
mMyoVel1.0.SUPER__1,234804448,42960768,42967282,+,mMyoCai1.0.SUPER__1,234393516,43375000,43440000,2584009,3116751,6,42960768_45994752_43369627_46486378
mMyoVel1.0.SUPER__6,110944935,31600000,31639970,+,mMyoCai1.0.SUPER__1,234393516,154869104,154912848,25789,43798,3,31600000_31640000_154869104_154912902
mMyoVel1.0.SUPER__1,234804448,104364047,104409114,+,mMyoCai1.0.SUPER__1,234393516,102955000,103002832,40702,50346,6,104361536_104410000_102952486_103002832
mMyoVel1.0.SUPER__1,234804448,127995000,128107622,+,mMyoCai1.0.SUPER__1,234393516,125701395,125837712,97877,136463,5,127995000_128107768_125701395_125837858
mMyoVel1.0.SUPER__1,234804448,155137944,155235000,+,mMyoCai1.0.SUPER__1,234393516,154685928,154782663,75657,97056,5,155137944_155235000_154685928_154782663
mMyoVel1.0.SUPER__1,234804448,101547164,101594473,+,mMyoCai1.0.SUPER__1,234393516,100765000,100810000,169243,209664,5,101390000_101599664_100606516_100815163
mMyoVel1.0.SUPER__1,234804448,108325000,108568614,-,mMyoCai1.0.SUPER__1,234393516,105560000,105858628,207850,299658,4,108325000_108569744_105558970_105858628
mMyoVel1.0.SUPER__1,234804448,100586704,100670000,-,mMyoCai1.0.SUPER__1,234393516,103320434,103405000,93722,115000,6,100555000_100670000_103320434_103433365
mMyoVel1.0.SUPER__1,234804448,155415380,155989249,+,mMyoCai1.0.SUPER__1,234393516,154915384,155502008,494599,586809,6,155415256_155989336_154915252_155502061
mMyoVel1.0.SUPER__1,234804448,159003737,159211952,+,mMyoCai1.0.SUPER__1,234393516,158340000,158524053,129297,219520,3,158992432_159211952_158329283_158524053
mMyoVel1.0.SUPER__1,234804448,231145256,231720000,+,mMyoCai1.0.SUPER__1,234393516,232255426,232838338,505373,582912,7,231145256_231720000_232255426_232838338
mMyoVel1.0.SUPER__3,212800901,162686268,162711042,+,mMyoCai1.0.SUPER__2,217612966,166998496,167020000,47720794,55324033,7,157975640_212748248_162255177_217579210
mMyoVel1.0.SUPER__1,234804448,128528417,129056266,+,mMyoCai1.0.SUPER__1,234393516,126330000,126935000,431721,606820,4,128527176_129056968_126328816_126935636
mMyoVel1.0.SUPER__3,212800901,111810512,112222090,+,mMyoCai1.0.SUPER__2,217612966,115297630,115658904,259698,411648,3,111810512_112222160_115297630_115658980
mMyoVel1.0.SUPER__1,234804448,126788306,127563240,+,mMyoCai1.0.SUPER__1,234393516,124015256,124878276,657873,866232,5,126785128_127563240_124012044_124878276
mMyoVel1.0.SUPER__3,212800901,111315316,111800000,+,mMyoCai1.0.SUPER__2,217612966,114745000,115209545,1544905,2239208,3,109595000_111800000_112970337_115209545
mMyoVel1.0.SUPER__3,212800901,116036536,116694840,+,mMyoCai1.0.SUPER__2,217612966,119602523,120275271,521465,672748,5,116036536_116694840_119602523_120275271
mMyoVel1.0.SUPER__3,212800901,23896379,24100000,+,mMyoCai1.0.SUPER__2,217612966,24325896,24487354,13040404,14933950,7,9296152_24100000_9553404_24487354
mMyoVel1.0.SUPER__3,212800901,40555026,40664309,-,mMyoCai1.0.SUPER__2,217612966,41246154,41354312,99146,109360,9,40555000_40664360_41246154_41354312
mMyoVel1.0.SUPER__1,234804448,129147443,129874472,+,mMyoCai1.0.SUPER__1,234393516,126935640,127777976,567585,842376,4,129147304_129874472_126935600_127777976
mMyoVel1.0.SUPER__3,212800901,107632116,108580000,+,mMyoCai1.0.SUPER__2,217612966,110665000,111702259,776724,1038457,5,107630896_108580000_110663802_111702259
mMyoVel1.0.SUPER__3,212800901,108582990,109592512,+,mMyoCai1.0.SUPER__2,217612966,111761427,112856704,784249,1095399,4,108582944_109592608_111761427_112856826
mMyoVel1.0.SUPER__1,234804448,231752048,232874480,+,mMyoCai1.0.SUPER__1,234393516,233265000,234391109,947692,1126109,6,231752048_232874480_233265000_234391109
mMyoVel1.0.SUPER__2,216113371,106876503,107049608,-,mMyoCai1.0.SUPER__3,217383104,107141006,107324360,121056,183418,3,106876432_107049616_107141006_107324424
mMyoVel1.0.SUPER__2,216113371,106159922,106808547,+,mMyoCai1.0.SUPER__3,217383104,106335000,107020804,511841,688694,4,106157048_106808568_106332110_107020804
