qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoYum1.0.SUPER__1,240344003,150725797,150767257,-,mMyoAui1.0.SUPER__1,234041302,143805000,143850000,122814,188103,4,150640000_150792696_143766885_143954988
mMyoYum1.0.SUPER__1,240344003,3022207,3123680,+,mMyoAui1.0.SUPER__1,234041302,5398130,5502460,86358,104330,6,3022176_3123680_5398130_5502460
mMyoYum1.0.SUPER__1,240344003,131351157,131450000,-,mMyoAui1.0.SUPER__1,234041302,134262541,134355000,87803,104576,7,131345424_131450000_134262541_134360593
mMyoYum1.0.SUPER__1,240344003,127441341,127688424,-,mMyoAui1.0.SUPER__1,234041302,124135000,124385000,193659,251208,5,127440272_127688720_124134801_124386009
mMyoYum1.0.SUPER__1,240344003,2120000,2345920,+,mMyoAui1.0.SUPER__1,234041302,1880483,2092644,167787,225920,4,2120000_2345920_1880483_2092644
mMyoYum1.0.SUPER__1,240344003,84204251,84238815,+,mMyoAui1.0.SUPER__1,234041302,81345000,81384552,74152,104680,4,84202048_84303936_81342894_81447574
mMyoYum1.0.SUPER__1,240344003,84305000,84359693,+,mMyoAui1.0.SUPER__1,234041302,81396860,81444536,51292,70000,5,84305000_84375000_81396860_81453090
mMyoYum1.0.SUPER__1,240344003,80265000,80360000,+,mMyoAui1.0.SUPER__1,234041302,77125427,77218594,68961,95000,4,80265000_80360000_77125427_77218594
mMyoYum1.0.SUPER__1,240344003,111350000,111611425,+,mMyoAui1.0.SUPER__1,234041302,108145293,108430000,211492,286409,4,111350000_111613040_108145293_108431702
mMyoYum1.0.SUPER__1,240344003,111706408,111873448,+,mMyoAui1.0.SUPER__1,234041302,108451118,108636500,115672,185382,3,111706408_111873448_108451118_108636500
mMyoYum1.0.SUPER__2,217333615,159888193,160015000,+,mMyoAui1.0.SUPER__2,216233548,158660000,158784479,86362,135000,3,159880000_160015000_158653550_158784479
mMyoYum1.0.SUPER__1,240344003,112210000,112916428,+,mMyoAui1.0.SUPER__1,234041302,109173666,109969592,592703,798445,5,112210000_112918992_109173666_109972111
mMyoYum1.0.SUPER__108,94119,2124,91086,+,mMyoAui1.0.SUPER__2,216233548,211585896,211664744,78493,94119,7,0_94119_211583845_211666699
mMyoYum1.0.SUPER__2,217333615,133490256,133667920,+,mMyoAui1.0.SUPER__2,216233548,132341702,132539439,156196,197737,6,133490256_133667920_132341702_132539439
mMyoYum1.0.SUPER__1,240344003,80721572,81716840,+,mMyoAui1.0.SUPER__1,234041302,77472160,78520000,877575,1143080,4,80601920_81745000_77398507_78536776
mMyoYum1.0.SUPER__1,240344003,3135408,4270000,-,mMyoAui1.0.SUPER__1,234041302,4263959,5394375,952934,1134592,6,3135408_4270000_4263959_5394375
mMyoYum1.0.SUPER__1,240344003,191843077,193991613,+,mMyoAui1.0.SUPER__1,234041302,185947048,188110000,1859557,2163736,6,191843072_193992320_185947043_188110779
mMyoYum1.0.SUPER__1,240344003,700000,1810140,-,mMyoAui1.0.SUPER__1,234041302,2099536,3222728,943804,1127697,6,700000_1814872_2095031_3222728
mMyoYum1.0.SUPER__2,217333615,107071352,107230000,-,mMyoAui1.0.SUPER__2,216233548,106362090,106530000,107681,169126,3,107070128_107230000_106362090_106531216
mMyoYum1.0.SUPER__1,240344003,9615128,11869241,+,mMyoAui1.0.SUPER__1,234041302,11400120,13684408,2039503,2293892,8,9615128_11878168_11400120_13694012
mMyoYum1.0.SUPER__2,217333615,106432064,107049384,+,mMyoAui1.0.SUPER__2,216233548,105635000,106309560,501497,675992,4,106430640_107049392_105633574_106309566
mMyoYum1.0.SUPER__2,217333615,103920181,105544192,+,mMyoAui1.0.SUPER__2,216233548,103715512,105283815,1190222,1624192,4,103920000_105544192_103715330_105283815
mMyoYum1.0.SUPER__2,217333615,134760000,136870171,+,mMyoAui1.0.SUPER__2,216233548,133480176,135520000,1691629,2111744,5,134760000_136871744_133480176_135521615
mMyoYum1.0.SUPER__284,26778,860,24904,+,mMyoAui1.0.SUPER__3,215394694,2150384,2175000,20855,25612,6,0_24960_2149443_2175055
mMyoYum1.0.SUPER__137,58935,428,58796,+,mMyoAui1.0.SUPER__3,215394694,214437816,214490000,37311,58935,3,0_58935_214437429_214490167
mMyoYum1.0.SUPER__3,215164148,214297243,215112580,+,mMyoAui1.0.SUPER__3,215394694,214496784,215323536,718763,829065,7,214295376_215112656_214494557_215323622
mMyoYum1.0.SUPER__2,217333615,209705402,212812127,+,mMyoAui1.0.SUPER__2,216233548,208446024,211582152,8992629,10247518,7,202625128_212812136_201334643_211582161
mMyoYum1.0.SUPER__3,215164148,173945560,174054481,-,mMyoAui1.0.SUPER__3,215394694,174431344,174547693,100223,116352,8,173945560_174054488_174431341_174547693
mMyoYum1.0.SUPER__3,215164148,190783559,190994275,+,mMyoAui1.0.SUPER__3,215394694,191150000,191363760,13412362,15252056,7,190777944_206030000_191144358_206315796
mMyoYum1.0.SUPER__3,215164148,155641723,155859479,-,mMyoAui1.0.SUPER__3,215394694,156350616,156575000,174961,226120,5,155640000_155859744_156350276_156576396
mMyoYum1.0.SUPER__1,240344003,237460460,240309120,+,mMyoAui1.0.SUPER__1,234041302,231185896,233974578,27220963,31107712,7,209201408_240309120_203030096_233974578
mMyoYum1.0.SUPER__3,215164148,206480153,208558627,+,mMyoAui1.0.SUPER__3,215394694,206645008,208717584,6632411,7859616,6,206430384_214290000_206639781_214429538
mMyoYum1.0.SUPER__3,215164148,83046686,83140000,+,mMyoAui1.0.SUPER__3,215394694,83450000,83548752,89869,103493,7,83040000_83140000_83445259_83548752
mMyoYum1.0.SUPER__3,215164148,79478148,79592696,-,mMyoAui1.0.SUPER__3,215394694,79688980,79810000,100223,124157,6,79475000_79592696_79688980_79813137
mMyoYum1.0.SUPER__3,215164148,79596024,79928975,+,mMyoAui1.0.SUPER__3,215394694,79820727,80153952,291327,339044,6,79596024_79933688_79820727_80159771
mMyoYum1.0.SUPER__3,215164148,79205437,79475000,-,mMyoAui1.0.SUPER__3,215394694,79411904,79680000,229768,270000,6,79205000_79475000_79411904_79681053
mMyoYum1.0.SUPER__3,215164148,70551584,70880000,-,mMyoAui1.0.SUPER__3,215394694,70746283,71044872,260393,330000,6,70550000_70880000_70746283_71046668
mMyoYum1.0.SUPER__3,215164148,69947629,70544792,+,mMyoAui1.0.SUPER__3,215394694,70140256,70742757,510011,612167,6,69935512_70544792_70130590_70742757
mMyoYum1.0.SUPER__3,215164148,69400457,69875000,+,mMyoAui1.0.SUPER__3,215394694,69645000,70127637,397563,483095,6,69400000_69875000_69644542_70127637
mMyoYum1.0.SUPER__3,215164148,69041003,69117742,-,mMyoAui1.0.SUPER__3,215394694,69190000,69269104,68492,80241,7,69040512_69118592_69189305_69269546
mMyoYum1.0.SUPER__3,215164148,69121152,69398400,+,mMyoAui1.0.SUPER__3,215394694,69275156,69582717,218129,307561,4,69121152_69398400_69275156_69582717
mMyoYum1.0.SUPER__2,217333615,99935857,103913666,+,mMyoAui1.0.SUPER__2,216233548,99666280,103640000,3164616,3979232,5,99935768_103915000_99666191_103641329
mMyoYum1.0.SUPER__3,215164148,79941280,83032864,+,mMyoAui1.0.SUPER__3,215394694,80237850,83330662,2612262,3092812,6,79941280_83032864_80237850_83330662
mMyoYum1.0.SUPER__2,217333615,67578172,72829272,+,mMyoAui1.0.SUPER__2,216233548,67495000,72739029,4395216,5254272,6,67575000_72829272_67493486_72739029
mMyoYum1.0.SUPER__2,217333615,139816968,139842440,-,mMyoAui1.0.SUPER__2,216233548,138539668,138558484,17477,25472,5,139816968_139842440_138539668_138558484
mMyoYum1.0.SUPER__3,215164148,39520,280000,+,mMyoAui1.0.SUPER__3,215394694,40128,253015,173050,249752,4,30248_280000_37359_253015
mMyoYum1.0.SUPER__3,215164148,104122014,104294848,+,mMyoAui1.0.SUPER__3,215394694,103626348,103815086,127873,188738,4,104121920_104294848_103626348_103815086
mMyoYum1.0.SUPER__3,215164148,103142465,104112326,+,mMyoAui1.0.SUPER__3,215394694,102515384,103531320,757876,1017382,4,103141024_104112416_102513942_103531324
mMyoYum1.0.SUPER__3,215164148,101950000,103028956,+,mMyoAui1.0.SUPER__3,215394694,101480968,102506560,784552,1079040,4,101950000_103029040_101480968_102506675
mMyoYum1.0.SUPER__3,215164148,101592488,101939823,+,mMyoAui1.0.SUPER__3,215394694,101120000,101397760,202012,347904,3,101591944_101939848_101111899_101397773
mMyoYum1.0.SUPER__3,215164148,99680000,100370000,+,mMyoAui1.0.SUPER__3,215394694,99742174,100439785,574069,697611,5,99680000_100370000_99742174_100439785
mMyoYum1.0.SUPER__3,215164148,97148571,97289640,+,mMyoAui1.0.SUPER__3,215394694,97435384,97544707,90838,143232,4,97146408_97289640_97433217_97544707
mMyoYum1.0.SUPER__3,215164148,98525384,99628941,+,mMyoAui1.0.SUPER__3,215394694,98586690,99740000,899873,1154383,5,98525384_99630000_98586690_99741073
mMyoYum1.0.SUPER__3,215164148,285000,2079816,+,mMyoAui1.0.SUPER__3,215394694,329553,2106751,1492923,1794816,6,285000_2079816_329553_2106751
mMyoYum1.0.SUPER__235,30212,169,29824,+,mMyoAui1.0.SUPER__4,125946359,99601536,99633744,28451,32529,9,0_29824_99601215_99633744
mMyoYum1.0.SUPER__391,19666,50,18560,+,mMyoAui1.0.SUPER__4,125946359,1703200,1722897,16322,19747,6,0_18560_1703150_1722897
mMyoYum1.0.SUPER__351,21917,0,21907,+,mMyoAui1.0.SUPER__4,125946359,109465497,109486376,19846,21917,9,0_21917_109465497_109486386
mMyoYum1.0.SUPER__277,27154,658,27154,-,mMyoAui1.0.SUPER__4,125946359,7211208,7241940,23980,30733,6,658_27154_7211207_7241940
mMyoYum1.0.SUPER__274,27606,182,27349,+,mMyoAui1.0.SUPER__4,125946359,30298840,30325976,26831,27606,15,0_27606_30298669_30326205
mMyoYum1.0.SUPER__257,28343,7,27901,-,mMyoAui1.0.SUPER__4,125946359,29085000,29109232,20213,28343,4,0_28343_29084556_29109241
mMyoYum1.0.SUPER__185,36983,5000,36856,-,mMyoAui1.0.SUPER__4,125946359,112393256,112422611,27475,31983,8,5000_36983_112393129_112422611
mMyoYum1.0.SUPER__167,42175,1099,41970,+,mMyoAui1.0.SUPER__4,125946359,5095000,5143512,38437,49646,6,128_42175_5094067_5143713
mMyoYum1.0.SUPER__3,215164148,128069792,132892093,-,mMyoAui1.0.SUPER__3,215394694,127640152,132213336,3804614,4841728,5,128063272_132905000_127627115_132216021
mMyoYum1.0.SUPER__3,215164148,91287072,94650000,+,mMyoAui1.0.SUPER__3,215394694,91812176,94968327,2600649,3363464,5,91286536_94650000_91811485_94968327
mMyoYum1.0.SUPER__24,12354025,9700000,10038843,+,mMyoAui1.0.SUPER__4,125946359,124255768,124594184,266919,370000,4,9700000_10070000_124255768_124620247
mMyoYum1.0.SUPER__4,114657940,100651159,102574000,+,mMyoAui1.0.SUPER__5,115173812,101315128,103259964,6466988,7422848,7,95151152_102574000_95891799_103259964
mMyoYum1.0.SUPER__3,215164148,96650000,97094037,+,mMyoAui1.0.SUPER__3,215394694,96986712,97425000,360987,444800,5,96650000_97094800_96986712_97425835
mMyoYum1.0.SUPER__4,114657940,40030761,40113327,-,mMyoAui1.0.SUPER__5,115173812,40245640,40324744,74651,83464,9,40030000_40113464_40245629_40325501
mMyoYum1.0.SUPER__4,114657940,59605000,59755000,-,mMyoAui1.0.SUPER__5,115173812,60060167,60222905,140922,162738,8,59605000_59755000_60060167_60222905
mMyoYum1.0.SUPER__5,108188207,87960000,88060000,-,mMyoAui1.0.SUPER__6,110475149,89276771,89380510,73428,103739,4,87960000_88060000_89276771_89380510
mMyoYum1.0.SUPER__2,217333615,212815384,217277177,+,mMyoAui1.0.SUPER__2,216233548,211667127,216168168,3730215,4507342,6,212815384_217285000_211667127_216174469
mMyoYum1.0.SUPER__5,108188207,103070000,103231792,+,mMyoAui1.0.SUPER__6,110475149,105170098,105319858,128783,161792,6,103070000_103231792_105170098_105319858
mMyoYum1.0.SUPER__5,108188207,102720971,103065000,-,mMyoAui1.0.SUPER__6,110475149,104749435,105079232,274557,344064,5,102720936_103065000_104749435_105079261
mMyoYum1.0.SUPER__5,108188207,106043088,106130000,-,mMyoAui1.0.SUPER__6,110475149,107285000,107367805,62588,94950,4,106043088_106130000_107272855_107367805
mMyoYum1.0.SUPER__5,108188207,108018014,108180000,+,mMyoAui1.0.SUPER__6,110475149,110286400,110463059,147031,178404,6,108016400_108180000_110284655_110463059
mMyoYum1.0.SUPER__24,12354025,10182996,10249128,+,mMyoAui1.0.SUPER__6,110475149,99755384,99840000,59685,101241,3,10175000_10254232_99743868_99845109
mMyoYum1.0.SUPER__5,108188207,98270384,99781690,+,mMyoAui1.0.SUPER__6,110475149,99887907,101409051,1185064,1521144,5,98270384_99783472_99887907_101409051
mMyoYum1.0.SUPER__2,217333615,172585596,184092961,+,mMyoAui1.0.SUPER__2,216233548,171457176,182915000,10011693,11608576,7,172484600_184093176_171369789_182915216
mMyoYum1.0.SUPER__4,114657940,4506023,9185162,-,mMyoAui1.0.SUPER__5,115173812,4585000,9243976,4130809,4682184,7,4505000_9187184_4583024_9244765
mMyoYum1.0.SUPER__5,108188207,80973130,81053245,+,mMyoAui1.0.SUPER__6,110475149,81785000,81885000,122179,156648,5,80910256_81053872_81728974_81885622
mMyoYum1.0.SUPER__5,108188207,81150000,81500000,+,mMyoAui1.0.SUPER__6,110475149,82167035,82502526,309433,350000,8,81150000_81500000_82167035_82502526
mMyoYum1.0.SUPER__5,108188207,81830000,82034160,+,mMyoAui1.0.SUPER__6,110475149,82775106,82990762,125311,215656,2,81830000_82034160_82775106_82990762
mMyoYum1.0.SUPER__6,99144700,98193373,98442934,-,mMyoAui1.0.SUPER__7,99473469,97808110,98040000,168051,251520,3,98191432_98442952_97808110_98041674
mMyoYum1.0.SUPER__6,99144700,97132742,97409872,-,mMyoAui1.0.SUPER__7,99473469,96715548,96958336,183451,277248,4,97132624_97409872_96715548_96958429
mMyoYum1.0.SUPER__6,99144700,94979228,95086483,+,mMyoAui1.0.SUPER__7,99473469,95195000,95285000,78681,111616,4,94977176_95088792_95192932_95287240
mMyoYum1.0.SUPER__5,108188207,100015736,102720000,+,mMyoAui1.0.SUPER__6,110475149,102136013,104722244,2127968,2704264,5,100015736_102720000_102136013_104722244
mMyoYum1.0.SUPER__4,114657940,24975,4497928,+,mMyoAui1.0.SUPER__5,115173812,40256,4582080,3879916,4550986,7,17048_4498072_31238_4582224
mMyoYum1.0.SUPER__6,99144700,93092216,93315648,+,mMyoAui1.0.SUPER__7,99473469,93137496,93365000,167539,251415,3,93080000_93315648_93113862_93365277
mMyoYum1.0.SUPER__8,93940565,77560000,77682801,-,mMyoAui1.0.SUPER__8,96090887,16480000,16597186,114730,125000,10,77560000_77685000_16477830_16597186
mMyoYum1.0.SUPER__8,93940565,77437570,77465000,-,mMyoAui1.0.SUPER__8,96090887,17607883,17630000,26626,36364,4,77430000_77465000_17607883_17644247
mMyoYum1.0.SUPER__8,93940565,91315000,91424696,+,mMyoAui1.0.SUPER__8,96090887,3045116,3164744,86560,119628,4,91315000_91424696_3045116_3164744
mMyoYum1.0.SUPER__139,57729,207,34815,+,mMyoAui1.0.SUPER__8,96090887,96023968,96056362,26584,34687,5,128_34815_96023890_96056362
mMyoYum1.0.SUPER__2,217333615,112552304,123284720,+,mMyoAui1.0.SUPER__2,216233548,111480000,122123708,8712388,10732416,5,112552304_123284720_111479996_122123708
mMyoYum1.0.SUPER__8,93940565,29800119,29915000,-,mMyoAui1.0.SUPER__8,96090887,65735655,65844616,93916,118656,5,29796344_29915000_65735655_65850467
mMyoYum1.0.SUPER__3,215164148,83143248,91222842,+,mMyoAui1.0.SUPER__3,215394694,83675000,91785000,6700629,8111197,6,83142944_91224096_83674696_91785893
mMyoYum1.0.SUPER__8,93940565,29940697,30000000,-,mMyoAui1.0.SUPER__8,96090887,65611093,65670000,53011,59392,8,29940608_30000000_65611093_65670002
mMyoYum1.0.SUPER__8,93940565,36748883,37140000,+,mMyoAui1.0.SUPER__8,96090887,58355000,58737511,334606,394360,6,36745640_37140000_58353496_58737511
mMyoYum1.0.SUPER__8,93940565,9015000,10496928,-,mMyoAui1.0.SUPER__8,96090887,85288170,86734073,1269866,1481928,7,9015000_10496928_85288170_86734073
mMyoYum1.0.SUPER__8,93940565,91435688,93304616,-,mMyoAui1.0.SUPER__8,96090887,1249725,3027533,1310148,1868928,4,91435688_93304616_1249725_3027533
mMyoYum1.0.SUPER__8,93940565,3379,1535000,-,mMyoAui1.0.SUPER__8,96090887,94508924,96019872,1284208,1534848,6,152_1535000_94508924_96022957
mMyoYum1.0.SUPER__7,93950265,1803243,2640974,-,mMyoAui1.0.SUPER__9,94826544,92455000,93329872,751159,879967,7,1800000_2642952_92453071_93333038
mMyoYum1.0.SUPER__10,84518507,61385256,61417654,+,mMyoAui1.0.SUPER__10,85605049,61303567,61334048,27071,34744,5,61385256_61420000_61303567_61335627
mMyoYum1.0.SUPER__256,28355,5000,28285,-,mMyoAui1.0.SUPER__10,85605049,39312736,39337364,20005,24728,6,5000_28355_39312636_39337364
mMyoYum1.0.SUPER__10,84518507,40419336,40513161,+,mMyoAui1.0.SUPER__10,85605049,40510384,40603312,119051,173026,4,40405000_40561672_40488957_40661983
mMyoYum1.0.SUPER__10,84518507,29680000,30055000,+,mMyoAui1.0.SUPER__10,85605049,29789555,30163365,320961,375000,6,29680000_30055000_29789555_30163365
mMyoYum1.0.SUPER__10,84518507,47485671,51442212,+,mMyoAui1.0.SUPER__10,85605049,47450000,51440000,9295174,10808960,6,40634096_51443056_40643781_51440767
mMyoYum1.0.SUPER__9,85204546,30115000,30334616,-,mMyoAui1.0.SUPER__11,84496841,55150278,55354582,161819,219616,4,30115000_30334616_55150278_55354582
mMyoYum1.0.SUPER__10,84518507,57353658,61354232,-,mMyoAui1.0.SUPER__10,85605049,57308385,61290000,3416885,4001408,6,57352824_61354232_57308385_61290808
mMyoYum1.0.SUPER__106,99027,0,99026,+,mMyoAui1.0.SUPER__11,84496841,82946251,83054689,80843,108438,5,0_99027_82946251_83054689
mMyoYum1.0.SUPER__9,85204546,541,329035,-,mMyoAui1.0.SUPER__11,84496841,82622824,82945000,272473,328832,6,272_329104_82622214_82945267
