qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoEvo1.0.SUPER__1,230788764,64470000,64510000,+,mMyoLuc1.0.SUPER__1,244374582,179010815,179047396,33765,40000,7,64470000_64510000_179010815_179047396
mMyoEvo1.0.SUPER__1,230788764,106790465,106856288,-,mMyoLuc1.0.SUPER__1,244374582,137982344,138044872,54526,66288,6,106790000_106856288_137982344_138045349
mMyoEvo1.0.SUPER__1,230788764,141440000,141541781,+,mMyoLuc1.0.SUPER__1,244374582,87654138,87740000,88898,110000,7,141440000_141550000_87654138_87748420
mMyoEvo1.0.SUPER__1,230788764,106611976,106720824,-,mMyoLuc1.0.SUPER__1,244374582,138050000,138183720,96590,136735,5,106611976_106723720_138047041_138183776
mMyoEvo1.0.SUPER__2,217004436,116680000,116713444,-,mMyoLuc1.0.SUPER__2,212563729,114995568,115029017,29294,40000,5,116680000_116720000_114994741_115029017
mMyoEvo1.0.SUPER__1,230788764,107295176,107404638,-,mMyoLuc1.0.SUPER__1,244374582,137475240,137601808,76527,126616,3,107295176_107405000_137475192_137601808
mMyoEvo1.0.SUPER__1,230788764,106970597,107229073,-,mMyoLuc1.0.SUPER__1,244374582,137720544,137980000,205357,260149,5,106970000_107229104_137720448_137980597
mMyoEvo1.0.SUPER__2,217004436,110822949,111012512,+,mMyoLuc1.0.SUPER__2,212563729,108720210,108916736,167294,196600,7,110822944_111012512_108720210_108916810
mMyoEvo1.0.SUPER__1,230788764,106180726,106610000,-,mMyoLuc1.0.SUPER__1,244374582,138252712,138665000,330146,429568,5,106180432_106610000_138252712_138665319
mMyoEvo1.0.SUPER__1,230788764,128180000,128775000,+,mMyoLuc1.0.SUPER__1,244374582,111730066,112289847,504933,595000,7,128180000_128775000_111730066_112289847
mMyoEvo1.0.SUPER__1,230788764,2375384,2975989,+,mMyoLuc1.0.SUPER__1,244374582,239678125,240260000,516834,604288,7,2375384_2979672_239678125_240263702
mMyoEvo1.0.SUPER__2,217004436,57623349,57735701,+,mMyoLuc1.0.SUPER__2,212563729,56360896,56484416,106081,133975,6,57620896_57740000_56356900_56490875
mMyoEvo1.0.SUPER__1,230788764,130275000,130400000,-,mMyoLuc1.0.SUPER__1,244374582,100427862,100533143,90641,125000,5,130275000_130400000_100427862_100533143
mMyoEvo1.0.SUPER__2,217004436,111136370,111916542,+,mMyoLuc1.0.SUPER__2,212563729,109555000,110320824,604997,802337,4,111135640_111918360_109554271_110356608
mMyoEvo1.0.SUPER__2,217004436,183908296,185429207,+,mMyoLuc1.0.SUPER__2,212563729,180084335,181570000,1361325,1521704,8,183908296_185430000_180084335_181570807
mMyoEvo1.0.SUPER__1,230788764,105090000,106170000,-,mMyoLuc1.0.SUPER__1,244374582,138778316,139756838,819172,1080000,5,105090000_106170000_138778316_139756838
mMyoEvo1.0.SUPER__1,230788764,3180000,4439370,-,mMyoLuc1.0.SUPER__1,244374582,238205000,239405463,1054612,1264616,6,3180000_4444616_238200416_239405463
mMyoEvo1.0.SUPER__3,215147351,122532464,122605000,+,mMyoLuc1.0.SUPER__3,211792393,119036920,119121486,96501,132759,4,122480384_122605000_118988727_119121486
mMyoEvo1.0.SUPER__3,215147351,156133818,156344872,-,mMyoLuc1.0.SUPER__3,211792393,153073242,153270000,179685,219872,6,156125000_156344872_153073242_153288700
mMyoEvo1.0.SUPER__2,217004436,215857580,216974672,+,mMyoLuc1.0.SUPER__2,212563729,211425684,212525540,930591,1164672,5,215810000_216974672_211425684_212525540
