qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoAui1.0.SUPER__1,234041302,885000,915000,-,mMyoThy1#0#SUPER__1,230758872,230084631,230114603,29026,30000,14,885000_915000_230084631_230114603
mMyoAui1.0.SUPER__1,234041302,55328,97134,-,mMyoThy1#0#SUPER__1,230758872,230630720,230678953,34358,48382,4,55328_97184_230630571_230678953
mMyoAui1.0.SUPER__1,234041302,145346454,145424715,-,mMyoThy1#0#SUPER__1,230758872,88855000,88935000,133543,175464,6,145290000_145428848_88850740_89026204
mMyoAui1.0.SUPER__1,234041302,3520000,4109790,+,mMyoThy1#0#SUPER__1,230758872,227370813,227950000,557926,610000,9,3520000_4130000_227370813_227970275
mMyoAui1.0.SUPER__2,216233548,99660000,99695000,+,mMyoThy1#0#SUPER__2,217270064,116671286,116707050,34333,35764,13,99660000_99695000_116671286_116707050
mMyoAui1.0.SUPER__2,216233548,31580000,31615000,-,mMyoThy1#0#SUPER__2,217270064,185610050,185643182,30990,35000,8,31580000_31615000_185610050_185643182
mMyoAui1.0.SUPER__2,216233548,105575000,105628359,-,mMyoThy1#0#SUPER__2,217270064,111075000,111130972,50694,57127,8,105575000_105629488_111073845_111130972
mMyoAui1.0.SUPER__2,216233548,158655000,158784872,-,mMyoThy1#0#SUPER__2,217270064,57555293,57669277,106354,129872,7,158655000_158784872_57555293_57669277
mMyoAui1.0.SUPER__2,216233548,208075000,208490000,-,mMyoThy1#0#SUPER__2,217270064,7696066,8099544,332514,415000,5,208075000_208490000_7696066_8099544
mMyoAui1.0.SUPER__2,216233548,108950000,109002248,+,mMyoThy1#0#SUPER__2,217270064,107496385,107554384,50463,58128,8,108950000_109002352_107496385_107554513
mMyoAui1.0.SUPER__2,216233548,104476448,105327012,-,mMyoThy1#0#SUPER__2,217270064,111159512,111973080,693446,886016,5,104441040_105327056_111159470_111975043
mMyoAui1.0.SUPER__2,216233548,106266688,107080000,-,mMyoThy1#0#SUPER__2,217270064,109518699,110305520,643937,813312,5,106266688_107080000_109518699_110305547
mMyoAui1.0.SUPER__1,234041302,106343562,108645000,-,mMyoThy1#0#SUPER__1,230758872,122882566,125224616,1992689,2342973,6,106342664_108645000_122882566_125225539
mMyoAui1.0.SUPER__3,215394694,160514214,160746625,+,mMyoThy1#0#SUPER__3,224416797,66731024,66949392,197579,288720,4,160511280_160800000_66727982_66967941
mMyoAui1.0.SUPER__2,216233548,23770,1073984,-,mMyoThy1#0#SUPER__2,217270064,216150661,217238848,937584,1088208,7,23744_1073984_216150661_217238869
mMyoAui1.0.SUPER__3,215394694,145790128,145822563,+,mMyoThy1#0#SUPER__3,224416797,53296321,53330000,31483,36130,7,145790128_145825000_53296321_53332451
mMyoAui1.0.SUPER__3,215394694,98510000,98585000,+,mMyoThy1#0#SUPER__3,224416797,221334223,221407344,58238,75000,5,98510000_98585000_221334223_221407344
mMyoAui1.0.SUPER__3,215394694,97835000,97905000,+,mMyoThy1#0#SUPER__3,224416797,220566869,220643498,68015,76629,9,97835000_97905000_220566869_220643498
mMyoAui1.0.SUPER__3,215394694,96265000,96762851,+,mMyoThy1#0#SUPER__3,224416797,218932643,219414816,452674,497920,9,96265000_96762920_218932643_219414882
mMyoAui1.0.SUPER__3,215394694,93375768,93715000,+,mMyoThy1#0#SUPER__3,224416797,215880954,216230221,309054,349267,7,93375768_93715000_215880954_216230221
mMyoAui1.0.SUPER__3,215394694,206665000,208754472,+,mMyoThy1#0#SUPER__3,224416797,112940797,115057222,1936502,2116425,9,206665000_208754472_112940797_115057222
mMyoAui1.0.SUPER__3,215394694,83371879,83390000,-,mMyoThy1#0#SUPER__3,224416797,205848471,205860000,46368,55000,8,83335000_83390000_205848471_205897038
mMyoAui1.0.SUPER__3,215394694,79686484,79815000,-,mMyoThy1#0#SUPER__3,224416797,202042823,202169872,116504,129024,8,79685976_79815000_202042823_202170379
mMyoAui1.0.SUPER__3,215394694,70160000,70239059,-,mMyoThy1#0#SUPER__3,224416797,192495000,192573081,76835,80000,13,70160000_70240000_192494058_192573081
mMyoAui1.0.SUPER__3,215394694,79413165,79678328,-,mMyoThy1#0#SUPER__3,224416797,201785000,202039872,249109,273408,9,79406592_79680000_201783279_202046439
mMyoAui1.0.SUPER__3,215394694,103510000,103549680,+,mMyoThy1#0#SUPER__3,224416797,10512346,10554525,38362,42179,10,103510000_103549680_10512346_10554525
mMyoAui1.0.SUPER__3,215394694,103613840,103818256,+,mMyoThy1#0#SUPER__3,224416797,10556846,10780516,170835,223670,5,103613840_103818256_10556846_10780516
mMyoAui1.0.SUPER__3,215394694,103821280,104263810,+,mMyoThy1#0#SUPER__3,224416797,10853651,11285000,377241,443520,6,103821280_104264800_10853651_11285990
mMyoAui1.0.SUPER__3,215394694,101140000,101344535,+,mMyoThy1#0#SUPER__3,224416797,8015760,8185000,159601,204544,6,101140000_101344544_8015760_8185009
mMyoAui1.0.SUPER__3,215394694,102239091,102507500,+,mMyoThy1#0#SUPER__3,224416797,9105000,9369832,233429,270080,7,102238200_102508280_9104108_9370775
mMyoAui1.0.SUPER__3,215394694,102515128,103470000,+,mMyoThy1#0#SUPER__3,224416797,9498708,10473320,862304,974612,7,102515128_103470000_9498708_10473320
mMyoAui1.0.SUPER__3,215394694,96813823,97424528,+,mMyoThy1#0#SUPER__3,224416797,3726152,4371244,561645,645113,7,96813712_97424528_3726131_4371244
mMyoAui1.0.SUPER__3,215394694,101348328,102149404,+,mMyoThy1#0#SUPER__3,224416797,8237338,9102584,694198,865641,6,101348328_102149736_8237338_9102979
mMyoAui1.0.SUPER__3,215394694,121340000,121442475,+,mMyoThy1#0#SUPER__3,224416797,28570000,28733718,234529,259840,9,121340000_121599840_28487888_28733718
mMyoAui1.0.SUPER__3,215394694,145831197,145916740,+,mMyoThy1#0#SUPER__3,224416797,52885000,52970000,244031,270000,9,145825000_146095000_52878781_53134158
mMyoAui1.0.SUPER__4,125946359,83995012,84307790,+,mMyoThy1#0#SUPER__4,124798317,83735000,84074840,251555,341811,4,83995000_84310000_83734988_84076799
mMyoAui1.0.SUPER__4,125946359,82355000,82630000,+,mMyoThy1#0#SUPER__4,124798317,82034288,82385960,244286,351672,5,82355000_82630000_82034288_82385960
mMyoAui1.0.SUPER__4,125946359,75211774,75235000,-,mMyoThy1#0#SUPER__4,124798317,74618320,74641666,20715,23346,7,75211704_75235000_74618320_74641666
mMyoAui1.0.SUPER__4,125946359,74610421,75208528,+,mMyoThy1#0#SUPER__4,124798317,73895483,74527049,526997,631566,6,74610384_75208528_73895483_74527049
mMyoAui1.0.SUPER__4,125946359,80731920,82344720,+,mMyoThy1#0#SUPER__4,124798317,80282717,81959589,1443558,1676872,7,80731920_82344720_80282717_81959589
mMyoAui1.0.SUPER__4,125946359,84315000,85608217,+,mMyoThy1#0#SUPER__4,124798317,84128373,85514184,1139914,1385916,6,84315000_85608312_84128373_85514289
mMyoAui1.0.SUPER__4,125946359,82691024,83989584,+,mMyoThy1#0#SUPER__4,124798317,82440427,83682830,1037730,1298560,5,82691024_83989584_82440427_83682830
mMyoAui1.0.SUPER__4,125946359,101197952,101414900,-,mMyoThy1#0#SUPER__4,124798317,101370000,101593976,181513,242048,4,101197952_101440000_101353758_101593992
mMyoAui1.0.SUPER__2,216233548,67569380,72742093,-,mMyoThy1#0#SUPER__2,217270064,143770328,149011928,4692121,5252052,8,67565440_72781312_143763466_149015518
mMyoAui1.0.SUPER__4,125946359,124610512,124835000,+,mMyoThy1#0#SUPER__4,124798317,124604332,124797404,153330,224488,4,124610512_124835000_124604332_124797404
mMyoAui1.0.SUPER__4,125946359,41950552,41975000,-,mMyoThy1#0#SUPER__4,124798317,41831698,41862271,23498,30573,6,41950552_41975000_41831698_41862271
mMyoAui1.0.SUPER__4,125946359,72170268,72222373,+,mMyoThy1#0#SUPER__4,124798317,72490000,72538640,43979,55000,6,72170000_72225000_72489644_72540073
mMyoAui1.0.SUPER__3,215394694,212712315,215352647,+,mMyoThy1#0#SUPER__3,224416797,119175512,121785000,2316166,2643584,7,212710000_215353584_119172932_121785925
mMyoAui1.0.SUPER__4,125946359,8040609,8079641,-,mMyoThy1#0#SUPER__4,124798317,7930000,7970000,38401,40992,11,8040000_8080000_7929596_7970588
mMyoAui1.0.SUPER__4,125946359,20639,1632958,-,mMyoThy1#0#SUPER__4,124798317,3085000,4714872,1454276,1631729,7,20296_1641160_3083486_4715215
mMyoAui1.0.SUPER__4,125946359,9863076,9880000,+,mMyoThy1#0#SUPER__4,124798317,9800000,9819913,43059,45000,12,9835000_9880000_9775067_9819913
mMyoAui1.0.SUPER__4,125946359,11315042,11409430,-,mMyoThy1#0#SUPER__4,124798317,11270152,11365000,89710,95461,10,11315000_11410000_11269581_11365042
mMyoAui1.0.SUPER__3,215394694,79821687,80161379,+,mMyoThy1#0#SUPER__3,224416797,202175000,202534296,3113760,3544104,7,79820896_83365000_202174203_205691088
