qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoYum1.0.SUPER__1,240344003,197208829,197238798,-,mMyoVel1.0.SUPER__1,234804448,43015000,43045000,63652215,67847296,10,172472064_240319360_29229_67445165
mMyoYum1.0.SUPER__1,240344003,132963563,133118111,+,mMyoVel1.0.SUPER__1,234804448,102405000,102560000,176212,205000,7,132930000_133135000_102369347_102561153
mMyoYum1.0.SUPER__1,240344003,3022304,3130000,+,mMyoVel1.0.SUPER__1,234804448,230773222,230890557,102164,117335,8,3022304_3130000_230773222_230890557
mMyoYum1.0.SUPER__1,240344003,11884404,12227962,-,mMyoVel1.0.SUPER__1,234804448,228190000,228535000,35619519,37640000,11,11880000_49520000_191248274_228539373
mMyoYum1.0.SUPER__1,240344003,150750000,150780977,+,mMyoVel1.0.SUPER__1,234804448,91192621,91225000,34685,56032,3,150750000_150792624_91192621_91248653
mMyoYum1.0.SUPER__1,240344003,2346024,2423592,-,mMyoVel1.0.SUPER__1,234804448,234707235,234784232,65437,77568,6,2346024_2423592_234707235_234784265
mMyoYum1.0.SUPER__1,240344003,2095144,2345000,-,mMyoVel1.0.SUPER__1,234804448,232881479,233121282,204070,249856,6,2095144_2345000_232881479_233121282
mMyoYum1.0.SUPER__1,240344003,111612992,111874360,-,mMyoVel1.0.SUPER__1,234804448,127927038,128196296,25388798,27474360,9,84400000_111874360_127927038_155107582
mMyoYum1.0.SUPER__2,217333615,172390084,172492176,+,mMyoVel1.0.SUPER__2,216113371,171505000,171605000,98658,114816,7,172381880_172496696_171498613_171609213
mMyoYum1.0.SUPER__108,94119,1156,92464,+,mMyoVel1.0.SUPER__2,216113371,211495000,211580000,85446,93696,10,256_93952_211494105_211581583
mMyoYum1.0.SUPER__1,240344003,127440354,127687539,+,mMyoVel1.0.SUPER__1,234804448,112297688,112535000,202432,248576,6,127440256_127688832_112297666_112536885
mMyoYum1.0.SUPER__2,217333615,133931209,134493857,+,mMyoVel1.0.SUPER__2,216113371,133490128,134064336,26125755,28210944,9,106283872_134494816_106064113_134065542
mMyoYum1.0.SUPER__1,240344003,3136368,4230000,-,mMyoVel1.0.SUPER__1,234804448,229680391,230767741,1020950,1093632,10,3136368_4230000_229680391_230767741
mMyoYum1.0.SUPER__137,58935,172,58739,-,mMyoVel1.0.SUPER__3,212800901,892777,943848,42935,58935,5,0_58935_892758_944015
