qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoCai1.0.SUPER__1,234393516,103320000,103365000,-,mMyoYum1.0.SUPER__1,240344003,132398257,132443920,38058,45663,6,103320000_103365000_132398257_132443920
mMyoCai1.0.SUPER__1,234393516,231577379,231683542,+,mMyoYum1.0.SUPER__1,240344003,3022207,3124320,90658,107696,6,231577304_231685000_3022207_3125782
mMyoCai1.0.SUPER__1,234393516,224981536,225017248,+,mMyoYum1.0.SUPER__1,240344003,8641109,8678154,26991,37045,4,224981536_225017248_8641109_8678154
mMyoCai1.0.SUPER__1,234393516,158450952,158524391,-,mMyoYum1.0.SUPER__1,240344003,80277440,80359704,68375,114048,3,158450952_158565000_80248931_80359704
mMyoCai1.0.SUPER__1,234393516,109305000,109534248,+,mMyoYum1.0.SUPER__1,240344003,127440998,127688678,197092,247680,6,109305000_109534248_127440998_127688678
mMyoCai1.0.SUPER__1,234393516,154600000,154784616,-,mMyoYum1.0.SUPER__1,240344003,84201706,84408896,132958,207190,3,154600000_154784616_84201706_84408896
mMyoCai1.0.SUPER__1,234393516,125852848,126106544,-,mMyoYum1.0.SUPER__1,240344003,111340697,111612795,200618,272098,4,125852848_126106544_111340697_111612795
mMyoCai1.0.SUPER__2,217612966,67665000,67716992,+,mMyoYum1.0.SUPER__3,215164148,146053606,146110000,63921,86813,5,67665000_67741800_146053606_146140419
mMyoCai1.0.SUPER__2,217612966,41242761,41354304,+,mMyoYum1.0.SUPER__3,215164148,173945640,174054475,101060,112128,9,41242176_41354304_173945070_174054475
mMyoCai1.0.SUPER__2,217612966,9135000,9208056,-,mMyoYum1.0.SUPER__3,215164148,206190192,206267822,66001,77785,7,9135000_9208208_206190037_206267822
mMyoCai1.0.SUPER__1,234393516,131057384,131499919,-,mMyoYum1.0.SUPER__1,240344003,106005000,106482439,334005,480163,4,131057384_131502952_106002276_106482439
mMyoCai1.0.SUPER__2,217612966,943978,1244589,-,mMyoYum1.0.SUPER__3,215164148,213985488,214290000,251243,316933,5,942552_1254104_213975790_214292723
mMyoCai1.0.SUPER__1,234393516,124015216,124878301,-,mMyoYum1.0.SUPER__1,240344003,112191056,113005030,659736,863232,5,124015216_124878448_112191048_113005030
