qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoCai1.0.SUPER__1,234393516,2911677,31313656,+,mMyoLuc1.0.SUPER__1,244374582,2900000,30775000,304775,31250000,15,SUPER__1 96.5809,2900000 30775000 2911677 31313656
mMyoCai1.0.SUPER__1,234393516,31315000,46486934,+,mMyoLuc1.0.SUPER__1,244374582,30859884,45620000,144074,15175000,15,SUPER__1 96.5262,30859884 45620000 31315000 46486934
mMyoCai1.0.SUPER__1,234393516,48740000,77454739,+,mMyoLuc1.0.SUPER__1,244374582,47826816,75850000,279425,28720000,15,SUPER__1 96.7319,47826816 75850000 48740000 77454739
mMyoCai1.0.SUPER__1,234393516,77517352,88948402,+,mMyoLuc1.0.SUPER__1,244374582,75860000,87095000,109097,11440000,15,SUPER__1 96.6871,75860000 87095000 77517352 88948402
mMyoCai1.0.SUPER__1,234393516,91045877,100655000,+,mMyoLuc1.0.SUPER__1,244374582,89855000,99242675,91073,9610000,15,SUPER__1 96.6469,89855000 99242675 91045877 100655000
mMyoCai1.0.SUPER__1,234393516,101100000,102130000,+,mMyoLuc1.0.SUPER__1,244374582,106207625,107199870,10057,1030000,14,SUPER__1 95.9902,106207625 107199870 101100000 102130000
mMyoCai1.0.SUPER__1,234393516,101210000,102920000,-,mMyoLuc1.0.SUPER__1,244374582,111495667,113149069,16753,1710000,14,SUPER__1 96.4277,111495667 113149069 101210000 102920000
mMyoCai1.0.SUPER__1,234393516,105566789,124879507,+,mMyoLuc1.0.SUPER__1,244374582,118350000,136895000,185113,19325000,15,SUPER__1 96.4863,118350000 136895000 105566789 124879507
mMyoCai1.0.SUPER__1,234393516,125845000,126104359,+,mMyoLuc1.0.SUPER__1,244374582,137722854,137980000,2489,260000,12,SUPER__1 94.0104,137722854 137980000 125845000 126104359
mMyoCai1.0.SUPER__1,234393516,126305000,126935000,+,mMyoLuc1.0.SUPER__1,244374582,138068496,138664553,6178,630000,13,SUPER__1 95.3222,138068496 138664553 126305000 126935000
