qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoAui1.0.SUPER__1,234041302,77336912,77419744,-,mMyoVel1.0.SUPER__1,234804448,158855706,158945000,71901,91132,5,77335000_77419744_158855706_158946838
mMyoAui1.0.SUPER__1,234041302,107970897,108035000,-,mMyoVel1.0.SUPER__1,234804448,128450273,128517952,51073,67715,4,107970744_108035000_128450273_128517988
mMyoAui1.0.SUPER__1,234041302,108145000,108366416,-,mMyoVel1.0.SUPER__1,234804448,128215903,128433464,171535,221416,5,108145000_108366416_128215903_128433464
mMyoAui1.0.SUPER__1,234041302,108450887,108633976,-,mMyoVel1.0.SUPER__1,234804448,127937099,128107124,126260,183168,4,108450808_108633976_127937099_128107124
mMyoAui1.0.SUPER__1,234041302,81350000,81440000,-,mMyoVel1.0.SUPER__1,234804448,155147966,155229399,64375,90000,4,81350000_81440000_155147966_155229399
mMyoAui1.0.SUPER__2,216233548,122165000,122208158,-,mMyoVel1.0.SUPER__2,216113371,133445000,133491559,41522,48396,8,122165000_122210000_133443163_133491559
mMyoAui1.0.SUPER__2,216233548,132350752,132538486,+,mMyoVel1.0.SUPER__2,216113371,133100000,133275000,171832,209408,6,132330000_132539408_133083186_133276047
mMyoAui1.0.SUPER__1,234041302,107378848,107775000,-,mMyoVel1.0.SUPER__1,234804448,128677456,129055000,302069,398208,5,107376792_107775000_128677456_129057042
mMyoAui1.0.SUPER__2,216233548,106360656,106530000,-,mMyoVel1.0.SUPER__2,216113371,106878340,107049616,106234,171515,3,106360656_106530000_106878340_107049855
mMyoAui1.0.SUPER__1,234041302,3520913,4109086,+,mMyoVel1.0.SUPER__1,234804448,231145640,231720000,522909,604544,7,3520128_4124672_231144947_231736127
mMyoAui1.0.SUPER__2,216233548,158660000,158784781,+,mMyoVel1.0.SUPER__2,216113371,159143488,159285000,85477,146690,3,158660000_158790000_159143488_159290178
mMyoAui1.0.SUPER__1,234041302,61793,95277,-,mMyoVel1.0.SUPER__1,234804448,234705000,234749872,37595,90123,1,15000_98080_234692029_234782152
