qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoOcc1.0.SUPER__1,232672419,229600000,230948490,-,mMyoVol1.0.SUPER__1,242898603,1225000,2610000,13406,1389407,14,SUPER__1 95.5514,1225000 2610000 229600000 230948490
mMyoOcc1.0.SUPER__1,232672419,228997059,229560000,+,mMyoVol1.0.SUPER__1,242898603,2950000,3534754,5663,592409,14,SUPER__1 95.6848,2950000 3534754 228997059 229560000
mMyoOcc1.0.SUPER__1,232672419,227615000,228780000,-,mMyoVol1.0.SUPER__1,242898603,4048525,5276741,11700,1228216,14,SUPER__1 95.8545,4048525 5276741 227615000 228780000
mMyoOcc1.0.SUPER__1,232672419,205609069,227385000,-,mMyoVol1.0.SUPER__1,242898603,6003227,28045000,215063,22051048,15,SUPER__1 97.1375,6003227 28045000 205609069 227385000
mMyoOcc1.0.SUPER__1,232672419,180855000,205597254,-,mMyoVol1.0.SUPER__1,242898603,28005000,53370000,249408,25367012,16,SUPER__1 97.37,28005000 53370000 180855000 205597254
mMyoOcc1.0.SUPER__1,232672419,157617368,180855000,-,mMyoVol1.0.SUPER__1,242898603,53529726,77330000,230046,23802471,16,SUPER__1 97.2488,53529726 77330000 157617368 180855000
mMyoOcc1.0.SUPER__1,232672419,156787312,156945000,-,mMyoVol1.0.SUPER__1,242898603,77649748,77840000,1856,191172,12,SUPER__1 92.9692,77649748 77840000 156787312 156945000
mMyoOcc1.0.SUPER__1,232672419,153393309,156557132,-,mMyoVol1.0.SUPER__1,242898603,77905000,81020000,31633,3230000,15,SUPER__1 97.0855,77905000 81020000 153393309 156557132
mMyoOcc1.0.SUPER__1,232672419,131847678,144140153,-,mMyoVol1.0.SUPER__1,242898603,90355000,103005000,215724,21939543,16,SUPER__1 97.2715,90355000 103005000 131847678 144140153
mMyoOcc1.0.SUPER__1,232672419,127186692,131630000,-,mMyoVol1.0.SUPER__1,242898603,103251695,107869779,45030,4618084,16,SUPER__1 97.3946,103251695 107869779 127186692 131630000
mMyoOcc1.0.SUPER__1,232672419,126927312,127183450,-,mMyoVol1.0.SUPER__1,242898603,107945000,108245000,2965,303469,13,SUPER__1 94.928,107945000 108245000 126927312 127183450
mMyoOcc1.0.SUPER__1,232672419,122400960,126197499,-,mMyoVol1.0.SUPER__1,242898603,109165000,113060000,38290,3939999,16,SUPER__1 97.307,109165000 113060000 122400960 126197499
mMyoOcc1.0.SUPER__1,232672419,109900000,122397030,-,mMyoVol1.0.SUPER__1,242898603,113125000,126133731,126450,13011809,15,SUPER__1 97.0061,113125000 126133731 109900000 122397030
mMyoOcc1.0.SUPER__1,232672419,107787513,109899151,-,mMyoVol1.0.SUPER__1,242898603,126215000,128405000,22590,2292586,14,SUPER__1 96.4364,126215000 128405000 107787513 109899151
mMyoOcc1.0.SUPER__1,232672419,101495000,103175317,+,mMyoVol1.0.SUPER__1,242898603,137702909,139490000,17287,1790937,15,SUPER__1 96.9027,137702909 139490000 101495000 103175317
mMyoOcc1.0.SUPER__1,232672419,89662354,96020000,-,mMyoVol1.0.SUPER__1,242898603,146998708,153540000,62438,6644218,15,SUPER__1 97.0572,146998708 153540000 89662354 96020000
mMyoOcc1.0.SUPER__1,232672419,88935000,89540000,+,mMyoVol1.0.SUPER__1,242898603,153782706,154351981,5859,605000,14,SUPER__1 96.0914,153782706 154351981 88935000 89540000
mMyoOcc1.0.SUPER__1,232672419,88464637,88855000,-,mMyoVol1.0.SUPER__1,242898603,154812878,155220000,3868,411649,13,SUPER__1 95.1959,154812878 155220000 88464637 88855000
mMyoOcc1.0.SUPER__1,232672419,66755000,76053537,-,mMyoVol1.0.SUPER__1,242898603,167175000,176505448,204216,20833209,15,SUPER__1 97.1221,167175000 176505448 66755000 76053537
mMyoOcc1.0.SUPER__1,232672419,57809534,66785000,-,mMyoVol1.0.SUPER__1,242898603,176542272,185785000,88955,9301321,15,SUPER__1 96.9296,176542272 185785000 57809534 66785000
mMyoOcc1.0.SUPER__1,232672419,45735000,57724113,-,mMyoVol1.0.SUPER__1,242898603,185790000,198074592,118599,12311090,15,SUPER__1 97.1702,185790000 198074592 45735000 57724113
mMyoOcc1.0.SUPER__1,232672419,43158271,45651059,-,mMyoVol1.0.SUPER__1,242898603,198085000,200600000,25511,2618808,15,SUPER__1 96.9528,198085000 200600000 43158271 45651059
mMyoOcc1.0.SUPER__1,232672419,42755723,43118270,-,mMyoVol1.0.SUPER__1,242898603,200580000,200970000,4184,432053,14,SUPER__1 95.8098,200580000 200970000 42755723 43118270
mMyoOcc1.0.SUPER__1,232672419,30848508,42732080,-,mMyoVol1.0.SUPER__1,242898603,200905000,213320000,121920,12421400,15,SUPER__1 96.9712,200905000 213320000 30848508 42732080
mMyoOcc1.0.SUPER__1,232672419,2910000,30795000,-,mMyoVol1.0.SUPER__1,242898603,213321603,241653041,275637,28331438,15,SUPER__1 97.0559,213321603 241653041 2910000 30795000
mMyoOcc1.0.SUPER__4,122401111,119115035,122362832,-,mMyoVol1.0.SUPER__4,121843818,25000,3300000,32099,3303655,16,SUPER__4 97.2187,25000 3300000 119115035 122362832
mMyoOcc1.0.SUPER__4,122401111,114874318,118570000,-,mMyoVol1.0.SUPER__4,121843818,3310126,7070000,36968,3764231,16,SUPER__4 97.498,3310126 7070000 114874318 118570000
mMyoOcc1.0.SUPER__4,122401111,113025000,114775000,-,mMyoVol1.0.SUPER__4,121843818,7170178,9018571,18077,1848393,16,SUPER__4 97.2798,7170178 9018571 113025000 114775000
mMyoOcc1.0.SUPER__4,122401111,110110000,112890000,-,mMyoVol1.0.SUPER__4,121843818,9185910,11993745,27765,2807835,16,SUPER__4 97.3031,9185910 11993745 110110000 112890000
mMyoOcc1.0.SUPER__4,122401111,102507022,109150000,-,mMyoVol1.0.SUPER__4,121843818,12945870,19805000,67359,6860128,16,SUPER__4 97.3984,12945870 19805000 102507022 109150000
mMyoOcc1.0.SUPER__4,122401111,96967108,102360811,-,mMyoVol1.0.SUPER__4,121843818,19955000,25605000,55455,5669554,16,SUPER__4 97.5482,19955000 25605000 96967108 102360811
mMyoOcc1.0.SUPER__4,122401111,68180000,96915000,-,mMyoVol1.0.SUPER__4,121843818,25656816,55458168,293366,29801352,16,SUPER__4 97.54,25656816 55458168 68180000 96915000
mMyoOcc1.0.SUPER__4,122401111,59536420,68007058,-,mMyoVol1.0.SUPER__4,121843818,55490000,64280000,86511,8793218,16,SUPER__4 97.1872,55490000 64280000 59536420 68007058
mMyoOcc1.0.SUPER__4,122401111,53395000,54419881,-,mMyoVol1.0.SUPER__4,121843818,69621681,70627365,10075,1025000,15,SUPER__4 96.7363,69621681 70627365 53395000 54419881
mMyoOcc1.0.SUPER__4,122401111,52816375,53389768,-,mMyoVol1.0.SUPER__4,121843818,70806047,71365000,5538,575000,14,SUPER__4 96.2511,70806047 71365000 52816375 53389768
mMyoOcc1.0.SUPER__4,122401111,52363453,52619888,-,mMyoVol1.0.SUPER__4,121843818,71365044,71610000,2846,290000,13,SUPER__4 94.946,71365044 71610000 52363453 52619888
mMyoOcc1.0.SUPER__4,122401111,49845000,50900664,-,mMyoVol1.0.SUPER__4,121843818,72540000,73602777,10696,1085000,15,SUPER__4 96.7162,72540000 73602777 49845000 50900664
mMyoOcc1.0.SUPER__4,122401111,38730000,44539791,+,mMyoVol1.0.SUPER__4,121843818,73863546,80047839,60286,6184293,16,SUPER__4 97.4819,73863546 80047839 38730000 44539791
mMyoOcc1.0.SUPER__4,122401111,44560580,45327027,+,mMyoVol1.0.SUPER__4,121843818,80125000,80905000,7747,790000,15,SUPER__4 96.4745,80125000 80905000 44560580 45327027
mMyoOcc1.0.SUPER__4,122401111,45335000,46641292,+,mMyoVol1.0.SUPER__4,121843818,80991504,82385000,20613,2130655,14,SUPER__4 96.4456,80991504 82385000 45335000 46641292
mMyoOcc1.0.SUPER__4,122401111,47411292,48758830,+,mMyoVol1.0.SUPER__4,121843818,83130000,84440000,13215,1355000,15,SUPER__4 96.8616,83130000 84440000 47411292 48758830
mMyoOcc1.0.SUPER__4,122401111,48835000,49738916,+,mMyoVol1.0.SUPER__4,121843818,84449661,85340000,8934,905000,15,SUPER__4 96.5421,84449661 85340000 48835000 49738916
mMyoOcc1.0.SUPER__4,122401111,34455000,38710000,-,mMyoVol1.0.SUPER__4,121843818,85420957,89857164,42926,4436207,16,SUPER__4 97.2648,85420957 89857164 34455000 38710000
mMyoOcc1.0.SUPER__4,122401111,33390892,33825000,-,mMyoVol1.0.SUPER__4,121843818,90556538,90984649,4243,435000,14,SUPER__4 95.9906,90556538 90984649 33390892 33825000
mMyoOcc1.0.SUPER__4,122401111,30991767,33260000,-,mMyoVol1.0.SUPER__4,121843818,90991318,93425000,23198,2435783,15,SUPER__4 96.7013,90991318 93425000 30991767 33260000
mMyoOcc1.0.SUPER__4,122401111,27555000,30989134,-,mMyoVol1.0.SUPER__4,121843818,93485000,97247200,36583,3762945,15,SUPER__4 96.8371,93485000 97247200 27555000 30989134
mMyoOcc1.0.SUPER__4,122401111,27007055,27512071,-,mMyoVol1.0.SUPER__4,121843818,97405000,97960000,5422,558361,14,SUPER__4 95.664,97405000 97960000 27007055 27512071
mMyoOcc1.0.SUPER__4,122401111,25360000,26988496,-,mMyoVol1.0.SUPER__4,121843818,98010000,99787162,17630,1807732,15,SUPER__4 96.6195,98010000 99787162 25360000 26988496
mMyoOcc1.0.SUPER__4,122401111,24892817,25258152,-,mMyoVol1.0.SUPER__4,121843818,99790000,100255000,4594,468671,14,SUPER__4 95.6587,99790000 100255000 24892817 25258152
mMyoOcc1.0.SUPER__4,122401111,10447240,24775000,-,mMyoVol1.0.SUPER__4,121843818,100484072,115085000,141615,14605242,16,SUPER__4 97.5727,100484072 115085000 10447240 24775000
mMyoOcc1.0.SUPER__4,122401111,3782482,10330000,-,mMyoVol1.0.SUPER__4,121843818,115166271,121842985,64563,6676714,15,SUPER__4 97.1608,115166271 121842985 3782482 10330000
mMyoOcc1.0.SUPER__5,111950362,535000,8560000,+,mMyoVol1.0.SUPER__5,114967735,1484892,9624657,78888,8139765,15,SUPER__5 96.6037,1484892 9624657 535000 8560000
mMyoOcc1.0.SUPER__5,111950362,8520000,10887174,+,mMyoVol1.0.SUPER__5,114967735,9639667,12060000,24364,2481444,15,SUPER__5 96.6726,9639667 12060000 8520000 10887174
mMyoOcc1.0.SUPER__5,111950362,13030000,25930000,+,mMyoVol1.0.SUPER__5,114967735,14011064,27045000,126587,13042187,16,SUPER__5 97.221,14011064 27045000 13030000 25930000
mMyoOcc1.0.SUPER__5,111950362,34195148,111922114,+,mMyoVol1.0.SUPER__5,114967735,35580000,114930000,780325,79404751,16,SUPER__5 97.3786,35580000 114930000 34195148 111922114
mMyoOcc1.0.SUPER__6,109102458,101920534,109089559,-,mMyoVol1.0.SUPER__6,109406527,35000,7250000,70901,7244095,14,SUPER__6 96.4157,35000 7250000 101920534 109089559
mMyoOcc1.0.SUPER__6,109102458,86103098,101079788,-,mMyoVol1.0.SUPER__6,109406527,7225000,22275000,147488,15264213,16,SUPER__6 97.447,7225000 22275000 86103098 101079788
mMyoOcc1.0.SUPER__6,109102458,28030000,85653817,-,mMyoVol1.0.SUPER__6,109406527,23020000,81724546,580003,58915532,16,SUPER__6 97.4328,23020000 81724546 28030000 85653817
mMyoOcc1.0.SUPER__6,109102458,27964920,28030000,-,mMyoVol1.0.SUPER__6,109406527,81819340,81885000,776,79497,11,SUPER__6 91.1283,81819340 81885000 27964920 28030000
mMyoOcc1.0.SUPER__6,109102458,27705000,27813231,-,mMyoVol1.0.SUPER__6,109406527,81900000,82005872,1467,149523,11,SUPER__6 92.9171,81900000 82005872 27705000 27813231
mMyoOcc1.0.SUPER__6,109102458,27081159,27460000,-,mMyoVol1.0.SUPER__6,109406527,82080107,82455000,3739,385000,14,SUPER__6 95.6507,82080107 82455000 27081159 27460000
mMyoOcc1.0.SUPER__6,109102458,23826599,25872502,-,mMyoVol1.0.SUPER__6,109406527,83270000,85415000,34168,3495000,15,SUPER__6 96.7317,83270000 85415000 23826599 25872502
mMyoOcc1.0.SUPER__6,109102458,23284266,23390000,-,mMyoVol1.0.SUPER__6,109406527,85878333,85970000,1505,155000,10,SUPER__6 90.9045,85878333 85970000 23284266 23390000
mMyoOcc1.0.SUPER__6,109102458,23010856,23141631,-,mMyoVol1.0.SUPER__6,109406527,85955000,86059826,1391,145000,11,SUPER__6 91.3725,85955000 86059826 23010856 23141631
mMyoOcc1.0.SUPER__6,109102458,8937709,19675000,-,mMyoVol1.0.SUPER__6,109406527,89475000,100430000,106992,10999088,15,SUPER__6 97.0879,89475000 100430000 8937709 19675000
mMyoOcc1.0.SUPER__6,109102458,5310000,8160000,-,mMyoVol1.0.SUPER__6,109406527,101316413,104339476,29872,3023063,15,SUPER__6 96.7639,101316413 104339476 5310000 8160000
mMyoOcc1.0.SUPER__6,109102458,5081435,5300000,-,mMyoVol1.0.SUPER__6,109406527,104441727,104665000,2261,232316,12,SUPER__6 94.3544,104441727 104665000 5081435 5300000
mMyoOcc1.0.SUPER__6,109102458,405541,4952624,-,mMyoVol1.0.SUPER__6,109406527,104675000,109190000,44351,4635000,13,SUPER__6 95.4201,104675000 109190000 405541 4952624
mMyoOcc1.0.SUPER__7,98960009,95617070,96780000,-,mMyoVol1.0.SUPER__7,100618793,1376997,2522449,11314,1165000,15,SUPER__7 96.7993,1376997 2522449 95617070 96780000
mMyoOcc1.0.SUPER__7,98960009,94721637,95548658,-,mMyoVol1.0.SUPER__7,100618793,2530000,3385000,8645,877922,15,SUPER__7 96.6366,2530000 3385000 94721637 95548658
mMyoOcc1.0.SUPER__7,98960009,94275000,94657396,-,mMyoVol1.0.SUPER__7,100618793,3370000,3718658,3831,395000,12,SUPER__7 94.1273,3370000 3718658 94275000 94657396
mMyoOcc1.0.SUPER__7,98960009,93750000,94025099,-,mMyoVol1.0.SUPER__7,100618793,4075000,4364228,5161,525000,13,SUPER__7 94.4036,4075000 4364228 93750000 94025099
mMyoOcc1.0.SUPER__7,98960009,92329430,93210000,-,mMyoVol1.0.SUPER__7,100618793,4812667,5725000,8829,917823,14,SUPER__7 96.0671,4812667 5725000 92329430 93210000
mMyoOcc1.0.SUPER__7,98960009,91730862,91830184,-,mMyoVol1.0.SUPER__7,100618793,6545000,6645000,1049,108101,11,SUPER__7 91.9155,6545000 6645000 91730862 91830184
mMyoOcc1.0.SUPER__7,98960009,75656593,91730000,-,mMyoVol1.0.SUPER__7,100618793,6698187,23029142,159440,16330955,15,SUPER__7 97.0106,6698187 23029142 75656593 91730000
mMyoOcc1.0.SUPER__7,98960009,74032,74664784,-,mMyoVol1.0.SUPER__7,100618793,24124375,100575000,735742,76454462,16,SUPER__7 97.305,24124375 100575000 74032 74664784
mMyoOcc1.0.SUPER__10,86287313,83424630,86200000,-,mMyoVol1.0.SUPER__10,86300628,67092,2910000,31156,3211779,14,SUPER__10 95.8169,67092 2910000 83424630 86200000
mMyoOcc1.0.SUPER__10,86287313,82060180,82765000,-,mMyoVol1.0.SUPER__10,86300628,3375000,4110000,7835,817954,14,SUPER__10 96.0375,3375000 4110000 82060180 82765000
mMyoOcc1.0.SUPER__10,86287313,67260000,81955000,-,mMyoVol1.0.SUPER__10,86300628,4116330,18899865,144171,14783535,16,SUPER__10 97.1939,4116330 18899865 67260000 81955000
mMyoOcc1.0.SUPER__10,86287313,47149494,47250000,-,mMyoVol1.0.SUPER__10,86300628,39450387,39575000,1415,144333,10,SUPER__10 91.0784,39450387 39575000 47149494 47250000
mMyoOcc1.0.SUPER__10,86287313,46513736,46745000,-,mMyoVol1.0.SUPER__10,86300628,39749591,39960000,2528,265000,12,SUPER__10 93.5059,39749591 39960000 46513736 46745000
mMyoOcc1.0.SUPER__10,86287313,45323631,46181801,-,mMyoVol1.0.SUPER__10,86300628,40045000,40944997,9565,977124,15,SUPER__10 96.63,40045000 40944997 45323631 46181801
mMyoOcc1.0.SUPER__10,86287313,34509780,43779051,-,mMyoVol1.0.SUPER__10,86300628,42470000,52020000,105967,10947910,15,SUPER__10 97.0735,42470000 52020000 34509780 43779051
mMyoOcc1.0.SUPER__10,86287313,28675000,34348058,-,mMyoVol1.0.SUPER__10,86300628,52050000,57845000,56907,5812735,15,SUPER__10 97.1268,52050000 57845000 28675000 34348058
mMyoOcc1.0.SUPER__10,86287313,24715000,28665806,+,mMyoVol1.0.SUPER__10,86300628,57936152,61925000,39006,3992410,14,SUPER__10 96.4054,57936152 61925000 24715000 28665806
mMyoOcc1.0.SUPER__10,86287313,18500000,24709178,-,mMyoVol1.0.SUPER__10,86300628,61930000,68271042,61128,6341049,15,SUPER__10 96.9705,61930000 68271042 18500000 24709178
mMyoOcc1.0.SUPER__10,86287313,11155000,16561495,-,mMyoVol1.0.SUPER__10,86300628,68735000,74197145,52425,5467015,15,SUPER__10 96.7682,68735000 74197145 11155000 16561495
mMyoOcc1.0.SUPER__10,86287313,1325043,11155000,-,mMyoVol1.0.SUPER__10,86300628,74265998,84240000,98462,9989761,15,SUPER__10 96.8708,74265998 84240000 1325043 11155000
mMyoOcc1.0.SUPER__11,83670174,50000,54119355,+,mMyoVol1.0.SUPER__11,84216940,55139,55295000,544316,55392287,16,SUPER__11 97.2856,55139 55295000 50000 54119355
mMyoOcc1.0.SUPER__11,83670174,60585000,70745000,+,mMyoVol1.0.SUPER__11,84216940,61576809,71976623,100516,10399814,15,SUPER__11 96.8643,61576809 71976623 60585000 70745000
mMyoOcc1.0.SUPER__11,83670174,72325849,76629968,+,mMyoVol1.0.SUPER__11,84216940,72270000,76607383,43097,4350812,15,SUPER__11 96.8216,72270000 76607383 72325849 76629968
mMyoOcc1.0.SUPER__11,83670174,76777261,76924766,-,mMyoVol1.0.SUPER__11,84216940,76721961,76875000,1474,155281,11,SUPER__11 92.0529,76721961 76875000 76777261 76924766
mMyoOcc1.0.SUPER__11,83670174,76930000,77200185,+,mMyoVol1.0.SUPER__11,84216940,76932166,77225000,3082,322445,13,SUPER__11 94.4196,76932166 77225000 76930000 77200185
mMyoOcc1.0.SUPER__11,83670174,80995000,82633890,+,mMyoVol1.0.SUPER__11,84216940,80956733,82655000,16236,1699642,15,SUPER__11 96.7272,80956733 82655000 80995000 82633890
mMyoOcc1.0.SUPER__12,83074367,81434697,83036741,-,mMyoVol1.0.SUPER__12,81250772,45000,1639272,15365,1610000,14,SUPER__12 95.7529,45000 1639272 81434697 83036741
mMyoOcc1.0.SUPER__12,83074367,35110564,42255000,-,mMyoVol1.0.SUPER__12,81250772,41532634,48805000,71039,7272935,16,SUPER__12 97.3492,41532634 48805000 35110564 42255000
mMyoOcc1.0.SUPER__12,83074367,21276649,35053888,-,mMyoVol1.0.SUPER__12,81250772,48780000,62810000,138198,14036724,16,SUPER__12 97.1917,48780000 62810000 21276649 35053888
mMyoOcc1.0.SUPER__12,83074367,17850000,21206816,-,mMyoVol1.0.SUPER__12,81250772,62825000,66225511,33145,3413592,15,SUPER__12 96.7969,62825000 66225511 17850000 21206816
mMyoOcc1.0.SUPER__12,83074367,12598117,13995000,-,mMyoVol1.0.SUPER__12,81250772,69921344,71315274,13954,1440000,14,SUPER__12 96.017,69921344 71315274 12598117 13995000
mMyoOcc1.0.SUPER__12,83074367,11410317,12040000,-,mMyoVol1.0.SUPER__12,81250772,71504602,72138087,6126,633485,14,SUPER__12 96.1926,71504602 72138087 11410317 12040000
mMyoOcc1.0.SUPER__12,83074367,8870000,11202948,-,mMyoVol1.0.SUPER__12,81250772,72230000,74562286,23552,2415000,15,SUPER__12 96.7699,72230000 74562286 8870000 11202948
mMyoOcc1.0.SUPER__12,83074367,12175000,12475494,+,mMyoVol1.0.SUPER__12,81250772,75213703,75490000,3366,350000,12,SUPER__12 94.0926,75213703 75490000 12175000 12475494
mMyoOcc1.0.SUPER__12,83074367,7670000,7790000,+,mMyoVol1.0.SUPER__12,81250772,75612975,75746695,1241,133720,11,SUPER__12 91.4996,75612975 75746695 7670000 7790000
mMyoOcc1.0.SUPER__12,83074367,920000,4687265,+,mMyoVol1.0.SUPER__12,81250772,75895897,79950000,39429,4125301,15,SUPER__12 96.5164,75895897 79950000 920000 4687265
