qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoOcc1.0.SUPER__1,232672419,168608400,168647148,+,mMyoEvo1.0.SUPER__1,230788764,64470000,64512240,37150,43773,7,168606920_168647240_64468648_64512421
mMyoOcc1.0.SUPER__1,232672419,156790000,156833759,-,mMyoEvo1.0.SUPER__1,230788764,76205000,76254345,41003,50416,6,156790000_156834872_76203929_76254345
mMyoOcc1.0.SUPER__1,232672419,127122491,127185000,-,mMyoEvo1.0.SUPER__1,230788764,106790380,106856288,54247,66119,6,127122280_127185000_106790380_106856499
mMyoOcc1.0.SUPER__1,232672419,156605116,156709744,-,mMyoEvo1.0.SUPER__1,230788764,76330603,76440000,106801,126279,7,156590320_156709744_76330603_76456882
mMyoOcc1.0.SUPER__1,232672419,127190000,127319688,-,mMyoEvo1.0.SUPER__1,230788764,106611976,106720851,92804,129744,5,127190000_127319744_106611920_106720851
mMyoOcc1.0.SUPER__1,232672419,87495000,87520000,+,mMyoEvo1.0.SUPER__1,230788764,141287063,141313823,23357,26760,8,87495000_87520000_141287063_141313823
mMyoOcc1.0.SUPER__1,232672419,126619500,126750000,-,mMyoEvo1.0.SUPER__1,230788764,107295786,107405000,79638,131328,3,126618672_126750000_107295786_107405674
mMyoOcc1.0.SUPER__1,232672419,42759450,43126785,-,mMyoEvo1.0.SUPER__1,230788764,186785496,187175000,353624,418486,7,42735000_43132312_186779732_187198218
mMyoOcc1.0.SUPER__2,212937769,103721063,103910000,-,mMyoEvo1.0.SUPER__2,217004436,110823031,111012568,167708,190000,7,103720000_103910000_110823031_111012587
mMyoOcc1.0.SUPER__1,232672419,126838258,127120000,-,mMyoEvo1.0.SUPER__1,230788764,106972074,107228976,208195,281856,4,126838144_127120000_106972074_107229090
mMyoOcc1.0.SUPER__1,232672419,228955000,228991030,+,mMyoEvo1.0.SUPER__1,230788764,2970000,2977334,551861,641587,7,228955000_229585000_2335747_2977334
mMyoOcc1.0.SUPER__2,212937769,114250768,114506136,+,mMyoEvo1.0.SUPER__2,217004436,99872089,100145000,241384,298981,6,114250768_114529168_99872089_100171070
mMyoOcc1.0.SUPER__1,232672419,101312953,101402898,+,mMyoEvo1.0.SUPER__1,230788764,127360000,127455000,108916,152024,5,101310000_101440000_127356904_127508928
mMyoOcc1.0.SUPER__1,232672419,99915640,99954552,+,mMyoEvo1.0.SUPER__1,230788764,127107902,127150536,31821,42665,5,99915640_99954552_127107902_127150567
mMyoOcc1.0.SUPER__2,212937769,155875000,156011365,-,mMyoEvo1.0.SUPER__2,217004436,57695000,57831996,157527,191928,6,155875000_156066928_57645182_57831996
mMyoOcc1.0.SUPER__2,212937769,66339680,66480000,-,mMyoEvo1.0.SUPER__2,217004436,149230000,149236300,179776,189696,12,66290304_66480000_149051826_149236300
mMyoOcc1.0.SUPER__2,212937769,66070000,66115000,-,mMyoEvo1.0.SUPER__2,217004436,148886932,148939599,30690,52667,3,66070000_66115000_148886932_148939599
mMyoOcc1.0.SUPER__2,212937769,98025000,98058408,+,mMyoEvo1.0.SUPER__2,217004436,116680051,116713507,28513,33456,6,98025000_98058408_116680051_116713507
mMyoOcc1.0.SUPER__2,212937769,102772361,103300000,-,mMyoEvo1.0.SUPER__2,217004436,111135817,111685000,411497,549806,4,102771744_103300000_111135817_111685623
mMyoOcc1.0.SUPER__2,212937769,101895000,102560000,-,mMyoEvo1.0.SUPER__2,217004436,111918915,112548677,543635,665000,6,101895000_102560000_111918915_112548677
mMyoOcc1.0.SUPER__1,232672419,127910339,128873632,-,mMyoEvo1.0.SUPER__1,230788764,105090000,106170000,808532,1081727,5,127910000_128875000_105088613_106170340
mMyoOcc1.0.SUPER__2,212937769,130210312,130565000,-,mMyoEvo1.0.SUPER__2,217004436,83311839,83749404,291822,437565,4,130210312_130565000_83311839_83749404
mMyoOcc1.0.SUPER__1,232672419,227596144,228816794,-,mMyoEvo1.0.SUPER__1,230788764,3200000,4455000,1106317,1334150,6,227580384_228859872_3138536_4472686
mMyoOcc1.0.SUPER__2,212937769,92159734,93678788,-,mMyoEvo1.0.SUPER__2,217004436,121112104,122664872,1323143,1659498,5,92140296_93685000_121109399_122768897
mMyoOcc1.0.SUPER__3,212757328,112940000,113278069,-,mMyoEvo1.0.SUPER__3,215147351,101655000,102028798,236681,374239,3,112940000_113278504_101654559_102028798
mMyoOcc1.0.SUPER__2,212937769,30096,1086936,-,mMyoEvo1.0.SUPER__2,217004436,215877970,216975000,923751,1097462,6,29656_1086936_215877970_216975432
mMyoOcc1.0.SUPER__1,232672419,229600317,230944872,-,mMyoEvo1.0.SUPER__1,230788764,883145,2245000,1143462,1362050,6,229600000_230944872_883145_2245195
mMyoOcc1.0.SUPER__3,212757328,115730000,116388976,-,mMyoEvo1.0.SUPER__3,215147351,98640257,99304044,519778,663787,5,115730000_116388976_98640257_99304044
mMyoOcc1.0.SUPER__3,212757328,112240000,112935000,-,mMyoEvo1.0.SUPER__3,215147351,102143467,102851219,539920,707752,4,112240000_112935000_102143467_102851219
mMyoOcc1.0.SUPER__3,212757328,111655000,112167636,-,mMyoEvo1.0.SUPER__3,215147351,102855000,103393476,451442,539108,6,111655000_112168336_102854368_103393476
mMyoOcc1.0.SUPER__3,212757328,110080511,110741856,-,mMyoEvo1.0.SUPER__3,215147351,104300000,105003208,548157,704449,5,110080424_110743080_104298777_105003226
mMyoOcc1.0.SUPER__3,212757328,110860000,111628259,-,mMyoEvo1.0.SUPER__3,215147351,103460000,104287459,648359,834275,5,110860000_111641800_103453184_104287459
mMyoOcc1.0.SUPER__3,212757328,135660984,136034232,-,mMyoEvo1.0.SUPER__3,215147351,78346560,78738301,319831,391741,6,135660984_136034232_78346560_78738301
mMyoOcc1.0.SUPER__3,212757328,143700384,143775000,+,mMyoEvo1.0.SUPER__3,215147351,70397816,70477441,62904,79699,5,143700384_143775000_70397742_70477441
mMyoOcc1.0.SUPER__2,212937769,131532944,133560000,-,mMyoEvo1.0.SUPER__2,217004436,80607766,82664744,1745386,2083584,6,131476416_133560000_80607766_82687100
mMyoOcc1.0.SUPER__3,212757328,108785000,110080000,-,mMyoEvo1.0.SUPER__3,215147351,105077532,106484133,1063062,1406601,5,108785000_110080000_105077532_106484133
mMyoOcc1.0.SUPER__3,212757328,188671993,188782422,-,mMyoEvo1.0.SUPER__3,215147351,24330000,24448464,16714090,18825936,8,184926752_203300000_9625848_28451784
mMyoOcc1.0.SUPER__3,212757328,134337160,135605000,-,mMyoEvo1.0.SUPER__3,215147351,78750435,80025411,1074525,1274976,6,134337160_135605000_78750435_80025411
mMyoOcc1.0.SUPER__3,212757328,116605752,119311747,-,mMyoEvo1.0.SUPER__3,215147351,95715720,98403936,2139320,2707968,5,116605752_119313720_95713769_98403936
mMyoOcc1.0.SUPER__3,212757328,58796464,58986921,+,mMyoEvo1.0.SUPER__3,215147351,156135000,156344792,176064,217181,6,58790000_58990000_156130678_156347859
mMyoOcc1.0.SUPER__1,232672419,71039,2902683,-,mMyoEvo1.0.SUPER__1,230788764,227895428,230727696,2413223,2838656,6,70960_2909616_227895428_230727835
mMyoOcc1.0.SUPER__3,212757328,130570208,133818848,-,mMyoEvo1.0.SUPER__3,215147351,80596662,83867820,2822310,3271158,7,130570208_133818848_80596662_83867820
mMyoOcc1.0.SUPER__3,212757328,68283231,68341448,-,mMyoEvo1.0.SUPER__3,215147351,146892890,146929872,1299331,1520099,7,67010328_68494872_146892890_148412989
mMyoOcc1.0.SUPER__3,212757328,184943956,184960000,-,mMyoEvo1.0.SUPER__3,215147351,28314580,28394872,11768683,13252422,8,171930000_184960000_28314580_41567002
mMyoOcc1.0.SUPER__4,122401111,102383924,102505000,-,mMyoEvo1.0.SUPER__4,126131752,105342434,105500000,98237,161563,3,102382120_102505000_105342434_105503997
mMyoOcc1.0.SUPER__4,122401111,67600256,68019840,+,mMyoEvo1.0.SUPER__4,126131752,69028254,69516179,367108,487925,5,67600256_68019840_69028254_69516179
mMyoOcc1.0.SUPER__4,122401111,67565816,67595000,-,mMyoEvo1.0.SUPER__4,126131752,68976586,69011784,27295,35198,6,67565816_67595000_68976586_69011784
mMyoOcc1.0.SUPER__4,122401111,54422304,54450000,+,mMyoEvo1.0.SUPER__4,126131752,55215983,55251521,23376,35538,4,54422304_54450000_55215983_55251521
mMyoOcc1.0.SUPER__4,122401111,54097172,54417843,+,mMyoEvo1.0.SUPER__4,126131752,54725000,55060000,257314,337839,5,54096280_54418840_54724194_55062033
mMyoOcc1.0.SUPER__4,122401111,53410768,53480934,+,mMyoEvo1.0.SUPER__4,126131752,54178563,54255000,62208,77208,6,53410768_53481552_54178563_54255771
