qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoVel1.0.SUPER__1,234804448,231720000,232877905,+,mMyoYum1.0.SCAF__1,240344003,675836,1815000,11413,1160000,16,SUPER__1 97.7446,675836 1815000 231720000 232877905
mMyoVel1.0.SUPER__1,234804448,232881221,233121238,-,mMyoYum1.0.SCAF__1,240344003,2095000,2345000,2481,253829,14,SUPER__1 95.549,2095000 2345000 232881221 233121238
mMyoVel1.0.SUPER__1,234804448,234706441,234784685,-,mMyoYum1.0.SCAF__1,240344003,2345560,2424010,787,80000,11,SUPER__1 91.1033,2345560 2424010 234706441 234784685
mMyoVel1.0.SUPER__1,234804448,230771751,230890629,+,mMyoYum1.0.SCAF__1,240344003,3022056,3130000,1230,125000,12,SUPER__1 94.0055,3022056 3130000 230771751 230890629
mMyoVel1.0.SUPER__1,234804448,229680410,230767871,-,mMyoYum1.0.SCAF__1,240344003,3135000,4230000,10977,1122994,16,SUPER__1 97.6666,3135000 4230000 229680410 230767871
mMyoVel1.0.SUPER__1,234804448,222080000,227210000,-,mMyoYum1.0.SCAF__1,240344003,6741007,11877239,50774,5136232,18,SUPER__1 98.42,6741007 11877239 222080000 227210000
mMyoVel1.0.SUPER__1,234804448,191248291,207830000,-,mMyoYum1.0.SCAF__1,240344003,32800526,49520000,164468,16721846,19,SUPER__1 98.6327,32800526 49520000 191248291 207830000
mMyoVel1.0.SUPER__1,234804448,159149814,189880000,-,mMyoYum1.0.SCAF__1,240344003,49520110,80350000,307453,30848380,19,SUPER__1 98.616,49520110 80350000 159149814 189880000
mMyoVel1.0.SUPER__1,234804448,157612609,158582412,-,mMyoYum1.0.SCAF__1,240344003,80720000,81680000,10655,1080000,16,SUPER__1 97.6934,80720000 81680000 157612609 158582412
mMyoVel1.0.SUPER__1,234804448,155985000,157608968,-,mMyoYum1.0.SCAF__1,240344003,81745000,83382959,16409,1661549,17,SUPER__1 98.0965,81745000 83382959 155985000 157608968
