qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoVel1.0.SUPER__1,234804448,158685000,158783947,-,mMyoVol1.0.SUPER__1,242898603,77730000,77822524,76198,99488,5,158685000_158784488_77729459_77822524
mMyoVel1.0.SUPER__1,234804448,126753653,126777305,-,mMyoVol1.0.SUPER__1,242898603,110071840,110098208,22180,26571,7,126753504_126777312_110071688_110098259
mMyoVel1.0.SUPER__1,234804448,127927622,128128381,-,mMyoVol1.0.SUPER__1,242898603,108246136,108475000,148819,230262,3,127926352_128128464_108246053_108476315
mMyoVel1.0.SUPER__1,234804448,229631611,229683583,-,mMyoVol1.0.SUPER__1,242898603,2700995,2704488,71977,94472,5,229600000_229683720_2700995_2795467
mMyoVel1.0.SUPER__2,216113371,67601016,67752241,-,mMyoVol1.0.SUPER__3,218117916,150977552,151125794,126897,151680,6,67601016_67752696_150977104_151125794
mMyoVel1.0.SUPER__1,234804448,126786971,127562952,-,mMyoVol1.0.SUPER__1,242898603,109168869,109999360,659443,836189,5,126781256_127562952_109168869_110005058
mMyoVel1.0.SUPER__2,216113371,106876627,107046261,+,mMyoVol1.0.SUPER__3,218117916,110910000,111054256,118348,172416,4,106876408_107048824_110909876_111058783
mMyoVel1.0.SUPER__2,216113371,106211552,106860000,-,mMyoVol1.0.SUPER__3,218117916,111215940,111869576,534910,653636,5,106211552_106860000_111215940_111869576
mMyoVel1.0.SUPER__2,216113371,159185928,159285000,-,mMyoVol1.0.SUPER__3,218117916,57891512,57973935,72837,99072,5,159185928_159285000_57891512_57973935
mMyoVel1.0.SUPER__2,216113371,32030000,33515792,-,mMyoVol1.0.SUPER__3,218117916,185289599,186746265,1288060,1485792,7,32030000_33515792_185289599_186746265
mMyoVel1.0.SUPER__2,216113371,138770641,138819190,+,mMyoVol1.0.SUPER__3,218117916,78485852,78540000,41009,54628,5,138770640_138819664_78485852_78540480
mMyoVel1.0.SUPER__2,216113371,109825000,111037381,-,mMyoVol1.0.SUPER__3,218117916,106910000,108114090,977978,1213208,5,109825000_111038208_106909195_108114090
mMyoVel1.0.SUPER__3,212800901,92060000,92139872,-,mMyoVol1.0.SUPER__2,219449921,124348904,124421766,64594,79872,6,92060000_92139872_124348904_124421766
mMyoVel1.0.SUPER__2,216113371,133606885,134093929,-,mMyoVol1.0.SUPER__3,218117916,83170000,83680000,403513,511446,5,133606296_134094744_83169143_83680589
mMyoVel1.0.SUPER__2,216113371,104050000,105690000,-,mMyoVol1.0.SUPER__3,218117916,112282925,113803835,1238280,1640000,5,104050000_105690000_112282925_113803835
mMyoVel1.0.SUPER__3,212800901,58517688,58717001,+,mMyoVol1.0.SUPER__2,219449921,159470311,159676832,168792,206592,6,58517688_58717112_159470311_159676903
mMyoVel1.0.SUPER__3,212800901,58725000,59713464,-,mMyoVol1.0.SUPER__2,219449921,158444681,159458723,841282,1014042,6,58725000_59713464_158444681_159458723
mMyoVel1.0.SUPER__3,212800901,108187728,108540238,-,mMyoVol1.0.SUPER__2,219449921,106730000,107078720,1029611,1388467,4,108186184_109483592_105691888_107080355
mMyoVel1.0.SUPER__3,212800901,40555098,40665000,+,mMyoVol1.0.SUPER__2,219449921,177806216,177922412,100149,116196,7,40555000_40665000_177806216_177922412
mMyoVel1.0.SUPER__3,212800901,53715208,54243976,-,mMyoVol1.0.SUPER__2,219449921,164059132,164595820,436924,536688,5,53715208_54243976_164059132_164595820
mMyoVel1.0.SUPER__1,234804448,43027085,45991493,-,mMyoVol1.0.SUPER__1,242898603,198085000,201199104,2668282,3193495,6,42960248_45991544_198084922_201278417
mMyoVel1.0.SUPER__3,212800901,6732265,8760000,-,mMyoVol1.0.SUPER__2,219449921,210323807,212370000,1846290,2054912,8,6705088_8760000_210323807_212374420
mMyoVel1.0.SUPER__2,216113371,107057311,109807657,-,mMyoVol1.0.SUPER__3,218117916,108176664,110895000,2170396,2768208,5,107050000_109818208_108173578_110908880
mMyoVel1.0.SUPER__3,212800901,109594030,109643174,-,mMyoVol1.0.SUPER__2,219449921,105520000,105578080,45605,63005,4,109590000_109645000_105519089_105582094
mMyoVel1.0.SUPER__1,234804448,67442382,71900000,-,mMyoVol1.0.SUPER__1,242898603,171962041,176510000,3962121,4550197,7,67440352_71900000_171962041_176512238
mMyoVel1.0.SUPER__3,212800901,171760402,173073538,-,mMyoVol1.0.SUPER__2,219449921,40410592,41739488,1177100,1330967,7,171760000_173075000_40409013_41739980
mMyoVel1.0.SUPER__3,212800901,133580715,133697792,+,mMyoVol1.0.SUPER__2,219449921,80685000,80810000,101742,127328,6,133580000_133699424_80684308_80811636
mMyoVel1.0.SUPER__3,212800901,116721333,116823690,-,mMyoVol1.0.SUPER__2,219449921,98471200,98578080,89329,106901,6,116721320_116823848_98471179_98578080
