qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoEvo1.0.SUPER__1,230788764,64470000,64512368,+,mMyoVel1.0.SUPER__1,234804448,170417143,170456344,36522,42368,8,64470000_64512368_170417143_170456344
mMyoEvo1.0.SUPER__1,230788764,106794974,106856140,-,mMyoVel1.0.SUPER__1,234804448,128450000,128510000,53810,66797,5,106790241_106856416_128449822_128516619
mMyoEvo1.0.SUPER__1,230788764,106612097,106679592,-,mMyoVel1.0.SUPER__1,234804448,128527296,128598804,62226,107903,3,106612097_106720000_128517744_128598804
mMyoEvo1.0.SUPER__1,230788764,79805000,79930000,-,mMyoVel1.0.SUPER__1,234804448,155098429,155234095,100435,135666,5,79805000_79930000_155098429_155234095
mMyoEvo1.0.SUPER__1,230788764,76120000,76165029,-,mMyoVel1.0.SUPER__1,234804448,158886632,158943476,46180,91377,2,76120000_76200000_158852099_158943476
mMyoEvo1.0.SUPER__1,230788764,107231800,107395000,-,mMyoVel1.0.SUPER__1,234804448,127937763,128107696,112524,170041,3,107231800_107395000_127937763_128107804
mMyoEvo1.0.SUPER__1,230788764,187341354,187364295,-,mMyoVel1.0.SUPER__1,234804448,42895936,42918080,74424,118599,3,187340000_187455000_42865608_42984207
mMyoEvo1.0.SUPER__1,230788764,106968478,107158820,-,mMyoVel1.0.SUPER__1,234804448,128215982,128449722,160079,233740,4,106968384_107158848_128215982_128449722
mMyoEvo1.0.SUPER__2,217004436,77472922,77503664,+,mMyoVel1.0.SUPER__2,216113371,139260000,139298388,30582,40384,6,77470000_77503664_139258004_139298388
mMyoEvo1.0.SUPER__1,230788764,102340000,102629048,-,mMyoVel1.0.SUPER__1,234804448,132810248,133043706,200121,289488,4,102340000_102629488_132809811_133043706
mMyoEvo1.0.SUPER__1,230788764,106182436,106610000,-,mMyoVel1.0.SUPER__1,234804448,128678562,129055000,317803,429568,5,106180432_106610000_128678562_129057059
mMyoEvo1.0.SUPER__2,217004436,57624023,57665000,-,mMyoVel1.0.SUPER__2,216113371,159142763,159184744,38423,46517,6,57620840_57665000_159142763_159189280
mMyoEvo1.0.SUPER__1,230788764,130345000,130428336,-,mMyoVel1.0.SUPER__1,234804448,101408770,101488012,68778,83336,6,130345000_130428336_101408770_101488012
mMyoEvo1.0.SUPER__1,230788764,126420052,126712916,+,mMyoVel1.0.SUPER__1,234804448,108326024,108570000,207759,298720,4,126416280_126715000_108322291_108572096
mMyoEvo1.0.SUPER__2,217004436,109900000,110062560,+,mMyoVel1.0.SUPER__2,216113371,106878702,107049069,116915,170367,3,109900000_110062560_106878702_107049069
mMyoEvo1.0.SUPER__2,217004436,116680896,116720000,+,mMyoVel1.0.SUPER__2,216113371,100075367,100119329,30613,43962,4,116680896_116720000_100075367_100119329
mMyoEvo1.0.SUPER__2,217004436,215865640,216000000,+,mMyoVel1.0.SUPER__2,216113371,664273,807843,96445,143570,3,215865640_216000000_664273_807843
mMyoEvo1.0.SUPER__1,230788764,75962530,76108976,-,mMyoVel1.0.SUPER__1,234804448,158998123,159130000,143989,268976,2,75840000_76108976_158998123_159237918
mMyoEvo1.0.SUPER__2,217004436,111918337,112559472,-,mMyoVel1.0.SUPER__2,216113371,104045000,104721980,541056,677123,5,111918337_112559616_104044857_104721980
mMyoEvo1.0.SUPER__1,230788764,107565928,108382883,-,mMyoVel1.0.SUPER__1,234804448,126860232,127563336,600541,818048,5,107565928_108383976_126859140_127563367
mMyoEvo1.0.SUPER__2,217004436,110227420,111012440,-,mMyoVel1.0.SUPER__2,216113371,106122278,106861800,596833,785024,5,110227416_111012440_106122278_106861803
mMyoEvo1.0.SUPER__2,217004436,111122424,111914104,-,mMyoVel1.0.SUPER__2,216113371,104814049,105679738,597101,865689,4,111122424_111914104_104814049_105679738
mMyoEvo1.0.SUPER__2,217004436,122635424,122740000,-,mMyoVel1.0.SUPER__2,216113371,94100000,94144352,57056,104576,3,122635424_122740000_94067591_94144352
mMyoEvo1.0.SUPER__2,217004436,183908248,185375000,-,mMyoVel1.0.SUPER__2,216113371,32026627,33514494,1302690,1487867,7,183908248_185375000_32026627_33514494
mMyoEvo1.0.SUPER__3,215147351,101757136,102024629,-,mMyoVel1.0.SUPER__3,212800901,111820000,112112009,213184,301392,4,101757136_102045904_111810617_112112009
mMyoEvo1.0.SUPER__2,217004436,112640903,114075000,-,mMyoVel1.0.SUPER__2,216113371,102586657,104039744,1161005,1455755,5,112638200_114075000_102586657_104042412
mMyoEvo1.0.SUPER__3,215147351,97673878,98398748,-,mMyoVel1.0.SUPER__3,212800901,116010000,116694872,537775,727040,4,97672704_98399744_116008881_116696052
mMyoEvo1.0.SUPER__3,215147351,71000000,71310000,+,mMyoVel1.0.SUPER__3,212800901,142317208,142638152,263753,320944,6,71000000_71310000_142317208_142638152
mMyoEvo1.0.SUPER__3,215147351,70400527,70479096,+,mMyoVel1.0.SUPER__3,212800901,143165384,143235008,66521,81280,7,70397816_70479096_143162838_143235008
mMyoEvo1.0.SUPER__3,215147351,102130136,102852264,-,mMyoVel1.0.SUPER__3,212800901,111020499,111798169,556384,777670,4,102130136_102852312_111020499_111798169
mMyoEvo1.0.SUPER__3,215147351,98411816,99302526,-,mMyoVel1.0.SUPER__3,212800901,115015184,115916340,660752,903638,4,98411816_99303208_115012702_115916340
mMyoEvo1.0.SUPER__3,215147351,174321024,174430000,+,mMyoVel1.0.SUPER__3,212800901,40555000,40663306,99943,108976,9,174321024_174430000_40554953_40663306
mMyoEvo1.0.SUPER__2,217004436,114128184,116675000,-,mMyoVel1.0.SUPER__2,216113371,100123621,102579955,2020819,2546816,5,114128184_116675000_100123621_102579955
mMyoEvo1.0.SUPER__3,215147351,99402804,101515000,-,mMyoVel1.0.SUPER__3,212800901,112935624,115010000,1711451,2113920,5,99401080_101515000_112935624_115011725
mMyoEvo1.0.SUPER__3,215147351,146888537,146925000,-,mMyoVel1.0.SUPER__3,212800901,67795261,67840001,30955,50000,3,146875000_146925000_67795261_67840001
