qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,id,seq
mMyoLuc1.0.SUPER__1,244374582,70350,2937799,+,mMyoThy1#0#SUPER__1,230758872,50818,2860795,27876,2890000,14,SUPER__1 95.9873,50818 2860795 70350 2937799
mMyoLuc1.0.SUPER__1,244374582,2960000,30771675,+,mMyoThy1#0#SUPER__1,230758872,3103409,31470000,268996,28369635,15,SUPER__1 97.0431,3103409 31470000 2960000 30771675
mMyoLuc1.0.SUPER__1,244374582,30855969,45616711,+,mMyoThy1#0#SUPER__1,230758872,31471332,46560000,144208,15095257,15,SUPER__1 96.9962,31471332 46560000 30855969 45616711
mMyoLuc1.0.SUPER__1,244374582,88775000,89158636,+,mMyoThy1#0#SUPER__1,230758872,89745077,90125000,5226,561380,14,SUPER__1 95.7294,89745077 90125000 88775000 89158636
mMyoLuc1.0.SUPER__1,244374582,89360000,89906851,-,mMyoThy1#0#SUPER__1,230758872,90225000,90822341,6402,659731,14,SUPER__1 96.146,90225000 90822341 89360000 89906851
mMyoLuc1.0.SUPER__1,244374582,89986124,99243699,+,mMyoThy1#0#SUPER__1,230758872,90960000,100465000,93326,9780308,15,SUPER__1 96.953,90960000 100465000 89986124 99243699
mMyoLuc1.0.SUPER__1,244374582,106200000,107904543,+,mMyoThy1#0#SUPER__1,230758872,101131374,102923919,17255,1792545,15,SUPER__1 96.8408,101131374 102923919 106200000 107904543
mMyoLuc1.0.SUPER__1,244374582,118336637,136079087,+,mMyoThy1#0#SUPER__1,230758872,103400000,121624307,178067,18225389,15,SUPER__1 96.9508,103400000 121624307 118336637 136079087
mMyoLuc1.0.SUPER__1,244374582,136215147,136895000,+,mMyoThy1#0#SUPER__1,230758872,121630000,122439809,7955,813843,14,SUPER__1 96.3462,121630000 122439809 136215147 136895000
mMyoLuc1.0.SUPER__1,244374582,137475000,137621597,+,mMyoThy1#0#SUPER__1,230758872,122882327,123055000,1649,175811,11,SUPER__1 91.4369,122882327 123055000 137475000 137621597
mMyoLuc1.0.SUPER__1,244374582,137720583,137980000,+,mMyoThy1#0#SUPER__1,230758872,123060000,123318826,2518,260000,13,SUPER__1 94.5114,123060000 123318826 137720583 137980000
mMyoLuc1.0.SUPER__1,244374582,137981876,138045000,+,mMyoThy1#0#SUPER__1,230758872,123445000,123512537,650,67904,10,SUPER__1 89.0245,123445000 123512537 137981876 138045000
mMyoLuc1.0.SUPER__1,244374582,138047767,138182017,+,mMyoThy1#0#SUPER__1,230758872,123580000,123690000,1371,140000,11,SUPER__1 92.3329,123580000 123690000 138047767 138182017
mMyoLuc1.0.SUPER__1,244374582,138250052,138665000,+,mMyoThy1#0#SUPER__1,230758872,123691000,124126477,4195,435477,13,SUPER__1 95.4742,123691000 124126477 138250052 138665000
mMyoLuc1.0.SUPER__1,244374582,138776804,139757898,+,mMyoThy1#0#SUPER__1,230758872,124135910,125225000,10661,1090074,15,SUPER__1 96.7059,124135910 125225000 138776804 139757898
mMyoLuc1.0.SUPER__1,244374582,139810000,142714241,+,mMyoThy1#0#SUPER__1,230758872,125225835,128269406,29799,3043571,15,SUPER__1 97.1243,125225835 128269406 139810000 142714241
mMyoLuc1.0.SUPER__1,244374582,142800000,164116435,+,mMyoThy1#0#SUPER__1,230758872,128272991,150330000,219607,22192144,15,SUPER__1 97.1804,128272991 150330000 142800000 164116435
mMyoLuc1.0.SUPER__1,244374582,164359170,166633482,+,mMyoThy1#0#SUPER__1,230758872,150520000,152815000,22425,2299434,15,SUPER__1 96.8982,150520000 152815000 164359170 166633482
mMyoLuc1.0.SUPER__1,244374582,168100000,170170000,+,mMyoThy1#0#SUPER__1,230758872,154593054,156739360,20696,2146306,15,SUPER__1 97.018,154593054 156739360 168100000 170170000
