qname,qlen,qstart,qend,strand,tname,tlen,tstart,tend,nmatch,alen,mapq,Id
mMyoEvo1.0.SUPER__1,230788764,64470000,64512240,+,mMyoOcc1.0.SUPER__1,232672419,168608400,168647148,35891,42240,7,64470000_64512240_168608400_168647148
mMyoEvo1.0.SUPER__1,230788764,76205000,76254345,-,mMyoOcc1.0.SUPER__1,232672419,156790000,156833759,40624,50000,6,76205000_76255000_156789322_156833759
mMyoEvo1.0.SUPER__1,230788764,106790380,106856288,-,mMyoOcc1.0.SUPER__1,232672419,127122491,127185000,54435,66288,6,106790000_106856288_127122491_127185375
mMyoEvo1.0.SUPER__1,230788764,76330603,76440000,-,mMyoOcc1.0.SUPER__1,232672419,156605116,156709744,93189,109568,7,76330432_76440000_156605116_156710046
mMyoEvo1.0.SUPER__1,230788764,106611976,106720851,-,mMyoOcc1.0.SUPER__1,232672419,127190000,127319688,95379,132537,5,106611976_106723592_127187151_127319688
mMyoEvo1.0.SUPER__1,230788764,141287063,141313823,+,mMyoOcc1.0.SUPER__1,232672419,87495000,87520000,136718,173440,6,141155000_141328440_87384971_87530238
mMyoEvo1.0.SUPER__1,230788764,107295786,107405000,-,mMyoOcc1.0.SUPER__1,232672419,126619500,126750000,77971,131288,3,107295000_107405000_126619500_126750788
mMyoEvo1.0.SUPER__1,230788764,186785496,187175000,-,mMyoOcc1.0.SUPER__1,232672419,42759450,43126785,328106,389504,7,186785496_187175000_42759450_43126785
mMyoEvo1.0.SUPER__2,217004436,110823031,111012568,-,mMyoOcc1.0.SUPER__2,212937769,103721063,103910000,167355,189568,7,110823000_111012568_103721063_103910038
mMyoEvo1.0.SUPER__1,230788764,106972074,107228976,-,mMyoOcc1.0.SUPER__1,232672419,126838258,127120000,207788,282487,4,106970000_107228976_126838258_127120745
mMyoEvo1.0.SUPER__1,230788764,2970000,2977334,-,mMyoOcc1.0.SUPER__1,232672419,228955000,228991030,88038,108955,6,2970000_3069744_228882075_228991030
mMyoEvo1.0.SUPER__2,217004436,99872089,100145000,+,mMyoOcc1.0.SUPER__2,212937769,114250768,114506136,226294,274104,6,99870896_100145000_114248617_114506136
mMyoEvo1.0.SUPER__1,230788764,127360000,127455000,+,mMyoOcc1.0.SUPER__1,232672419,101312953,101402898,77712,95000,6,127360000_127455000_101312953_101402898
mMyoEvo1.0.SUPER__1,230788764,127107902,127150536,+,mMyoOcc1.0.SUPER__1,232672419,99915640,99954552,109391,145536,5,127005000_127150536_99823293_99954635
mMyoEvo1.0.SUPER__2,217004436,57695000,57831996,-,mMyoOcc1.0.SUPER__2,212937769,155875000,156011365,113797,156696,4,57695000_57851696_155872352_156011365
